Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tritaxia rugolosa,Tritaxia globulifera,Tritaxa spp.,Pseudoclavulina rugolosa,Pseudoclavulina globulifera,Oridorsalis umbonatus,Nuttallides truempyi,Lenticulina spp.,Dentalina spp.,Aragonia velascoensis,Aragonia ouezzanensis,Spiroplectammina spectabilis,Spiroplectammina jarvisi,Osangularia velascoensis,Osangularia plummerae,Gyroidinoides spp.,Gyroidinoides globosa,Gavelinella beccariiformis,Gaudryina pyramidata,Buliminella grata,Bulimina velascoensis,Stilostomella subspinosa,Stilostomella spp.,Quadratobuliminella pyramidalis,Nodosaria spp.,Conorbinoides hillebrandti,Bulimina trinitatensis,Neoflabellina semireticulata,Marssonella trochoides,Bulimina midwayensis,Quadrimorphina profunda,Pleurostomella spp.,Oridorsalis tener,Clinapertina complanata,Bulimina semicostata,Bulimina jarvisi,Bulimina impendens,Stilostomella gracillima,Stilostomella abyssorum,Pyrgo murrhina,Pullenia quinqueloba,Pullenia bulloides,Martinottiella sp.,Karreriella bradyi,Gaudryina spp.,Anomalinoides globulosus,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Uvigerina hispidocostata,Quadrimorphina spp.,Chrysalogonium longicostatum,Uvigerina spinicostata,Uvigerina hispida,Pyrgo lucernula,Gyroidinoides girardanus,Eggerella bradyi,Uvigerina peregrina,Sphaeroidina bulloides,Cibicidoides subspiratus,Cibicidoides robertsonianus,Cibicidoides incrassatus,Cibicidoides bradyi,Bulimina striata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A,  1,H,CC,  21.00,      4.9100,benthics ,Benthic Foraminifers                         ,F              ,VG                ,                 ,                    ,            ,                        ,                           ,                     ,                    ,                ,              ,                     ,                     ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,                 ,                     ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,R                ,                       ,                    ,                ,                  ,                        ,                       ,R             ,                    ,F                 ,                  ,                  ,              ,                        ,T                         ,R                    ,                        ,                   ,                            ,                      ,R                ,R              ,                        ,                ,R                  ,T                     ,T                       ,+                          ,R                       ,R                  ,R               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A,  3,H,CC,  20.00,     24.3400,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                 ,                    ,            ,                        ,                           ,                     ,                    ,                ,T             ,                     ,                     ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,                 ,                     ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,C                ,                       ,                    ,                ,                  ,                        ,                       ,R             ,                    ,F                 ,                  ,                  ,              ,                        ,F                         ,                     ,R                       ,R                  ,                            ,T                     ,R                ,+              ,T                       ,R               ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A,  5,H,CC,  30.00,     43.3700,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                 ,                    ,            ,                        ,                           ,                     ,                    ,                ,              ,                     ,                     ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,                 ,                     ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,R                ,                       ,                    ,                ,                  ,                        ,                       ,R             ,                    ,R                 ,R                 ,                  ,              ,                        ,C                         ,                     ,T                       ,R                  ,T                           ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A,  6,H,CC,  18.00,     49.3800,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                 ,                    ,            ,                        ,                           ,                     ,                    ,                ,              ,                     ,                     ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,                 ,                     ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,T                ,                       ,                    ,                ,                  ,R                       ,F                      ,F             ,                    ,R                 ,R                 ,T                 ,              ,                        ,A                         ,R                    ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
