Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilica	Reticulofenestra minutula	Discoaster spp.	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Pyrocyclus inversus	Calcidiscus macintyrei	Pyrocyclus sp.	Placolith (small)	Dictyococcites spp.	Pyrocyclus orangensis	Reticulofenestra perplexa	Reticulofenestra gelida	Calcidiscus leptoporus	Reticulofenestra spp.	Discoaster variabilis	Discoaster sp. cf. intercalaris	Reticulofenestra spp. (small)	Gephyrocapsa (small)	Gephyrocapsa oceanica	Gephyrocapsa spp.	Dictyococcites bisectus	Cyclicargolithus abisectus	Gephyrocapsa caribbeanica	Gephyrocapsa sp. (3 microns)	Emiliania huxleyi	Comment



  SR	                 	                 	                  	              	145	 887	A	  1	H	 1	 110.00	      1.1000	Olafsson 	Nannofossils                                 	C              	M                 	                               	                         	               	                           	C                    	                        	                   	                      	              	                 	                   	                     	                         	                       	                      	                     	                     	                               	                             	                    	                     	F                	                       	                          	                         	                            	F                	from Leg 145 SR; Ch 39; Table 14; p 630-632

  SR	                 	                 	                  	              	145	 887	A	  1	H	 2	 110.00	      2.6000	Olafsson 	Nannofossils                                 	C              	M                 	                               	                         	               	                           	C                    	                        	                   	                      	              	                 	                   	                     	                         	                       	                      	                     	                     	                               	                             	                    	                     	R                	                       	                          	                         	                            	R                	from Leg 145 SR; Ch 39; Table 14; p 630-632

  SR	                 	                 	                  	              	145	 887	A	  1	H	 3	 110.00	      4.1000	Olafsson 	Nannofossils                                 	C              	M                 	                               	                         	               	                           	C                    	                        	                   	                      	              	                 	                   	                     	                         	                       	                      	                     	                     	                               	                             	                    	R                    	                 	                       	                          	                         	C                           	F                	from Leg 145 SR; Ch 39; Table 14; p 630-632

  SR	                 	                 	                  	              	145	 887	A	  1	H	 4	 110.00	      5.6000	Olafsson 	Nannofossils                                 	C              	P                 	                               	                         	               	                           	F                    	                        	                   	                      	              	                 	                   	                     	                         	                       	                      	                     	                     	                               	                             	                    	R                    	F                	                       	                          	                         	                            	                 	from Leg 145 SR; Ch 39; Table 14; p 630-632

  SR	                 	                 	                  	              	145	 887	A	  2	H	 1	 110.00	      7.8000	Olafsson 	Nannofossils                                 	C              	M                 	                               	                         	               	                           	F                    	                        	                   	                      	              	                 	                   	                     	                         	                       	                      	                     	                     	                               	                             	                    	F                    	C                	                       	                          	                         	                            	                 	from Leg 145 SR; Ch 39; Table 14; p 630-632

  SR	                 	                 	                  	              	145	 887	A	  2	H	 2	 110.00	      9.3000	Olafsson 	Nannofossils                                 	C              	P                 	                               	                         	               	                           	F                    	                        	                   	                      	              	                 	                   	                     	                         	                       	                      	                     	                     	                               	                             	                    	                     	C                	                       	                          	                         	                            	                 	from Leg 145 SR; Ch 39; Table 14; p 630-632

