Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongaster tetras,Spongaster (unspecified taxon or taxa),Theocorythium trachelium dianae,Stylochlamidium asteriscus,Eucyrtidium (unspecified taxon or taxa),Didymocyrtis tetrathalamus,Carpocanistrum (unspecified taxon or taxa),Amphirhopalum ypsilon,Spongocore puella,Spongaster tetras tetras,Lamprocyclas maritalis maritalis,Tetrapyle octacantha,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  2,H,CC,   0.00,     14.2100,Aitchison,Radiolarians                                 ,R              ,M                 ,                 ,R                                     ,                               ,R                         ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,R                   ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  3,H,CC,  10.00,     18.6000,Aitchison,Radiolarians                                 ,R              ,M                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  4,H,CC,  14.00,     30.7200,Aitchison,Radiolarians                                 ,R              ,M                 ,                 ,                                      ,                               ,F                         ,                                       ,                          ,                                          ,                     ,                 ,R                       ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  5,H,CC,  15.00,     42.1000,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  6,H,CC,  11.00,     45.2800,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A,  7,H,CC,  11.00,     58.7900,Aitchison,Radiolarians                                 ,F              ,M                 ,                 ,                                      ,                               ,                          ,F                                      ,                          ,                                          ,                     ,                 ,                        ,                                ,R                   ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 12,H,CC,  13.00,    109.5300,Aitchison,Radiolarians                                 ,R              ,P                 ,R                ,                                      ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
