Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cytheropteron hamatum	Krithe sp. (juvenile)	Cytheropteron alatum	Cytheropteron arcuatum	Krithe cf. bartonensis	Cytheropteron crassipinatum	Cytheropteron sp. (juvenile)	Cytheropteron cf. sedovi	Argilloecia conoidea	Cytheropteron cf. testudo	Eucytheridea sp. (juvenile)	Rabilimis mirabilis	Elofsonella concinna	Cytheropteron inflatum	Cytheromorpha fuscata	Cytheropteron latissimum	Krithe glacialis	Roundstonia globulifera	Comment



  SR	                 	                 	                  	              	104	 644	A	  1	H	 1	  57.00	      0.5700	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  1	H	 1	 100.00	      1.0000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  1	H	 3	 140.00	      4.4000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	+                      	Total specimens = 3; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  1	H	 4	  40.00	      4.9000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	+                     	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 4; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  1	H	 4	  80.00	      5.3000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	+               	                       	Total specimens = 7; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  1	H	 4	 100.00	      5.5000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	+                       	                	                       	Total specimens = 2; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  1	H	 5	  80.00	      6.8000	Malz     	Ostracodes                                   	               	                  	                     	+                    	+                   	                      	                      	                           	                            	                        	+                   	                         	                           	                   	                    	+                     	+                    	                        	                	                       	Total specimens = 7; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  1	H	 6	  20.00	      7.7000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	+                  	+                   	                      	                     	                        	                	                       	Total specimens = 5; from ODP 104 SR Chapter 38 Table 5 p 772

