Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina atlantica (sinistral)	Globorotalia inflata	Globigerina falconensis	Globigerina bulloides	Globigerinita glutinata	Globorotalia scitula	Globigerinita uvula	Globigerina quinqueloba	Comment



  IR	                 	                 	NSPF6             	              	104	 644	A	  1	H	CC	  21.00	      9.2100	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                                      	                    	                       	                     	                       	                    	                   	R                      	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	  3	H	CC	  37.00	     24.8000	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                                      	                    	                       	                     	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	  5	H	CC	  17.00	     42.8000	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                                      	                    	                       	                     	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	  7	H	CC	  41.00	     60.1500	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                                      	                    	                       	                     	                       	                    	                   	R                      	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	  9	H	CC	  28.00	     80.8800	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	R                                    	                                      	                    	                       	                     	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	 11	H	CC	  30.00	    101.8300	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	R                                    	                                      	R                   	                       	                     	                       	                    	C                  	C                      	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	 13	H	CC	  45.00	    121.4500	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	C                                    	                                      	                    	                       	                     	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	 15	H	CC	  17.00	    140.2700	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	                                     	                                      	                    	                       	                     	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	 17	H	CC	  36.00	    158.1900	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	                                      	                    	R                      	R                    	R                      	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF6             	              	104	 644	A	 18	H	CC	  25.00	    168.0600	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	                                      	                    	R                      	R                    	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF5             	              	104	 644	A	 19	H	CC	  13.00	    175.7000	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	A                                    	                                      	                    	R                      	R                    	R                      	                    	                   	C                      	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF5             	              	104	 644	A	 21	H	CC	  32.00	    186.8200	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	                                     	                                      	                    	                       	R                    	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF5             	              	104	 644	A	 23	H	CC	  39.00	    201.9900	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	F                                    	                                      	                    	R                      	C                    	                       	R                   	R                  	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF5             	              	104	 644	A	 29	H	CC	  30.00	    226.0500	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	R                                    	                                      	                    	                       	                     	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF4             	              	104	 644	A	 31	H	CC	  17.00	    237.7400	Jansen   	Planktonic Foraminifers                      	               	                  	C                                      	C                                    	R                                     	R                   	                       	R                    	C                      	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

  IR	                 	                 	NSPF4             	              	104	 644	A	 34	H	 7	  24.00	    254.0900	Jansen   	Planktonic Foraminifers                      	               	                  	R                                      	R                                    	C                                     	R                   	R                      	C                    	                       	                    	                   	                       	ODP 104 IR  Chapter 6 Table 5  p 631

