Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spumellaria indetrminant immature forms	Spongaster ?tetras	Siphocampe arachnea	Pseudodictyophimus gracilipes tetracanthus	Lophospyris quadripes	Lophospyris pentagona quadriforis	Hexacontium pachydermum	Cycladophora davisiana davisiana	Corocalyptra craspedota	Ceratocyrtis histricosa	Botryostrobus auritus group	Artostrobus seriatus	Artostrobus lineata	Artostrobus jorgenseni	Antarctissa whitei	Stylodictya tenuispina	Lithomelissa setosa	Echinomma leptodemum	Corythospyris fiscella	Amphimelissa setosa	Lithelius spiralis	Pseudodictyophimus gracilipes	Cycladophora davisiana	Eucyrtidium acuminatum	Cromyechinus borealis	Comment



  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 11	H	CC	  30.00	    101.8300	Goll     	Radiolarians                                 	F              	M                 	-                                      	-                 	-                  	-                                         	                     	-                                	-                      	VA                              	                       	-                      	C                          	+                   	C                  	-                     	-                 	                      	                   	C                   	T                     	?                  	                  	+                            	C                     	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 12	H	CC	  30.00	    111.5300	Goll     	Radiolarians                                 	C              	M                 	-                                      	-                 	F                  	-                                         	                     	-                                	-                      	F                               	                       	-                      	F                          	                    	                   	-                     	-                 	                      	                   	A                   	T                     	?                  	                  	                             	                      	+                     	C                    	from ODP 104 IR  Chapter 6  Table 3  p 629

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 13	H	CC	  45.00	    121.4500	Goll     	Radiolarians                                 	F              	M                 	-                                      	-                 	-                  	-                                         	                     	-                                	-                      	C                               	                       	-                      	-                          	R                   	                   	-                     	-                 	                      	                   	                    	                      	                   	C                 	                             	C                     	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 17	H	CC	  36.00	    158.1900	Goll     	Radiolarians                                 	R              	M                 	                                       	                  	                   	                                          	                     	                                 	                       	                                	                       	                       	                           	                    	                   	                      	                  	                      	                   	                    	T                     	                   	C                 	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 18	H	CC	  25.00	    168.0600	Goll     	Radiolarians                                 	R              	M                 	                                       	                  	                   	                                          	                     	                                 	C                      	                                	                       	                       	                           	                    	+                  	                      	                  	                      	                   	                    	                      	?                  	C                 	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 19	H	 3	  26.00	    171.4600	Goll     	Radiolarians                                 	R              	P                 	R                                      	-                 	-                  	F                                         	                     	-                                	-                      	-                               	                       	T                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

