Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba Group,Neogloboquadrina pachyderma (sin.),Globigerina bulloides,Globorotalia theyeri,Globorotalia scitula,Globigerinita uvula Group,Globigerinita glutinata,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Pulleniatina obliquiloculata,Globigerinita minuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,B,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,                               ,A                                 ,A                    ,                    ,F                   ,                         ,C                      ,30                                     ,0                                    ,R                           ,C                   ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,B,  1,H, 1,  89.00,      0.8900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                               ,                                  ,                     ,                    ,                    ,                         ,                       ,28                                     ,2                                    ,                            ,                    ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,B,  1,H,CC,  16.00,      1.6600,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                              ,A                                 ,A                    ,R                   ,F                   ,R                        ,F                      ,                                       ,                                     ,                            ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,B,  3,H,CC,  37.00,     21.4200,Brunner  ,Planktonic Foraminifers                      ,R              ,M                 ,R                              ,R                                 ,R                    ,                    ,                    ,                         ,                       ,                                       ,                                     ,                            ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
