Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra cf. pseudoumbilica,Pseudoemiliania lacunosa,Pontosphaera pacifica,Helicosphaera sellii,Helicosphaera carteri,Discolithina japonica,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Braarudosphaera bigelowii,Gephyrocapsa sp.,Syracosphaera pulchra,Syracosphaera mediterranea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  1,R, 2,  68.00,    344.4800,Spiegler ,Nannofossils                                 ,C              ,G                 ,                                   ,C                       ,                     ,                    ,F                    ,                     ,F                    ,R                     ,R                     ,                         ,                ,R                    ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  1,R, 3, 127.00,    346.5700,Spiegler ,Nannofossils                                 ,F              ,M                 ,                                   ,R                       ,                     ,F                   ,F                    ,R                    ,F                    ,R                     ,                      ,R                        ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  1,R,CC,  15.00,    347.5300,Spiegler ,Nannofossils                                 ,F              ,M                 ,                                   ,R                       ,                     ,F                   ,R                    ,                     ,F                    ,R                     ,                      ,                         ,                ,R                    ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  2,R, 2,  83.00,    354.2300,Spiegler ,Nannofossils                                 ,C              ,                  ,                                   ,                        ,                     ,                    ,                     ,                     ,C                    ,                      ,F                     ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  2,R,CC,   0.00,    355.1300,Spiegler ,Nannofossils                                 ,R              ,M                 ,R                                  ,R                       ,                     ,R                   ,F                    ,                     ,F                    ,R                     ,R                     ,                         ,F               ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  6,R, 2,  60.00,    391.8700,Spiegler ,Nannofossils                                 ,R              ,P                 ,F                                  ,                        ,                     ,                    ,R                    ,                     ,R                    ,                      ,                      ,                         ,                ,R                    ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
