Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Reticulofenestra sp. (5-7 microns)	Pontosphaera sp.	Micrantholithus sp.	Helicosphaera kamptneri	Hayaster perplexus	Discoaster variabilis	Discoaster sp.	Discoaster brouweri	Ceratolithus sp.	Calcidiscus macintyrei	Calcidiscus leptoporus	Reticulofenestra umbilica	Dictyococcites sp.	Ceratolithus rugosus	Umbilicosphaera mirabilis	Syracosphaera pulchra	Reticulofenestra pseudoumbilica (<7 microns)	Pseudoemiliania lacunosa	Oolithotus fragilis	Discoaster triradiatus	Discoaster tamalis	Discoaster surculus	Discoaster pentaradiatus	Discoaster pansus	Discoaster asymmetricus	Catinaster coalitus	Reticulofenestra sp. (<5 microns)	Discoaster sp. (3-rayed)	Coccolithus pelagicus	Amaurolithus sp.	Umbilicosphaera sp.	Reticulofenestra sp.	Scyphosphaera sp.	Rhabdosphaera clavigera	Discoaster quinqueramus	Triquetrorhabdulus rugosus	Discoaster intercalaris	Discoaster challengeri	Pontosphaera japonica	Pontosphaera discopora	Rhabdosphaera sp.	Coccolithus sp.	Pontosphaera distincta	Gephyrocapsa sp. (< 3.5 microns)	Syracosphaera sp.	Ceratolithus cristatus	Discoaster sp. (5-rayed)	Gephyrocapsa oceanica (4-5.5 microns)  	Scapholithus fossilis	Ceratolithus telesmus	Cyclicargolithus floridanus	Sphenolithus moriformis	Syracosphaera clava	Pontosphaera multipora	Gephyrocapsa spp. (large >5.5 microns)	Discoaster deflandrei	Calcidiscus sp.	Discoaster berggrenii	Comment



  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	B	 11	R	 2	  46.00	    175.7600	Staerker 	Nannofossils                                 	R              	E                 	rS                         	                                  	S               	                   	C                      	                  	rR                   	rS            	rR                 	                	                      	C                     	                         	                  	                    	A                        	C                    	                                            	rS                      	                   	                      	                  	rR                 	rS                      	                 	                       	                   	                                 	                        	S                    	                	                   	                    	                 	C                      	rR                     	                          	                       	                      	S                    	S                     	                 	               	                      	V                               	                 	R                     	                        	A                                      	S                    	                     	rR                         	rR                     	R                  	                      	                                      	                     	R              	                     	from ODP Leg 134 SR Chapter 10 Table 8 pp 224-227

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	B	 12	R	 1	   5.00	    183.5500	Staerker 	Nannofossils                                 	R              	E                 	rC                         	                                  	S               	                   	C                      	                  	rR                   	rS            	rS                 	                	                      	C                     	                         	                  	                    	A                        	C                    	                                            	rS                      	                   	                      	                  	rR                 	rS                      	                 	                       	                   	                                 	                        	S                    	                	                   	R                   	                 	C                      	rS                     	                          	                       	                      	S                    	S                     	                 	               	                      	A                               	                 	R                     	                        	A                                      	S                    	                     	rR                         	rR                     	R                  	R                     	                                      	                     	R              	                     	from ODP Leg 134 SR Chapter 10 Table 8 pp 224-227

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	B	 13	R	 2	  20.00	    194.8000	Staerker 	Nannofossils                                 	R              	E                 	rC                         	                                  	S               	                   	C                      	                  	rR                   	rS            	rS                 	                	                      	C                     	                         	                  	                    	A                        	C                    	                                            	rS                      	                   	                      	                  	rR                 	rS                      	                 	                       	                   	                                 	                        	S                    	                	                   	R                   	                 	C                      	rS                     	                          	                       	                      	S                    	S                     	                 	               	                      	A                               	                 	R                     	                        	A                                      	S                    	R                    	rR                         	rR                     	R                  	R                     	                                      	                     	R              	rR                   	from ODP Leg 134 SR Chapter 10 Table 8 pp 224-227

  SR	Middle Pleistocene	                 	CN14b             	              	134	 833	B	 14	R	 1	  50.00	    203.3000	Staerker 	Nannofossils                                 	R              	E                 	rC                         	                                  	S               	                   	C                      	                  	rR                   	rS            	rS                 	                	                      	C                     	                         	                  	                    	A                        	C                    	                                            	rS                      	                   	                      	                  	rR                 	rS                      	                 	                       	                   	                                 	                        	S                    	                	                   	R                   	                 	C                      	rS                     	                          	                       	                      	S                    	S                     	                 	               	                      	A                               	                 	R                     	                        	A                                      	S                    	R                    	rR                         	rR                     	R                  	R                     	                                      	                     	R              	rR                   	from ODP Leg 134 SR Chapter 10 Table 8 pp 224-227
