Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera spp.,Helicosphaera inversa,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Discolithina spp.,Coccolithus pelagicus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C,  1,H,CC,  12.00,     94.4800,Firth    ,Nannofossils                                 ,C              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,1                 ,0                      ,0                       ,0                 ,0                    ,18                      ,42                   ,87                       ,143              ,0                ,0                    ,9                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C,  3,H,CC,  10.00,    114.0100,Firth    ,Nannofossils                                 ,C              ,G                 ,5                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,0                       ,3                 ,0                    ,14                      ,67                   ,104                      ,88               ,0                ,0                    ,19                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C,  5,H, 5, 115.00,    130.6500,Firth    ,Nannofossils                                 ,A              ,M                 ,3                      ,0                         ,1                  ,0                    ,0                    ,0                 ,0                      ,0                       ,2                 ,0                    ,13                      ,172                  ,10                       ,73               ,0                ,0                    ,26                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C,  6,H, 3,   0.00,    136.2000,Firth    ,Nannofossils                                 ,A              ,G                 ,6                      ,0                         ,0                  ,1                    ,0                    ,1                 ,0                      ,0                       ,4                 ,0                    ,22                      ,179                  ,16                       ,47               ,0                ,0                    ,24                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C,  7,H,CC,   0.00,    145.1900,Firth    ,Nannofossils                                 ,A              ,G                 ,3                      ,2                         ,1                  ,2                    ,1                    ,0                 ,0                      ,0                       ,0                 ,0                    ,169                     ,47                   ,20                       ,47               ,0                ,0                    ,8                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
