Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudobolivina munda,Praecystammina globigeriniformis,Paratrochamminoides spp.,Hormosina ovulum ovulum,Hormosina ovuloides,Haplophragmoides multicamerus,Haplophragmoides fraudulentus,Haplophragmoides ex gr. perexplicatus-constictus,Glomospira irregularis,Ammodiscus cretaceus,Trochamminoides cf. proteus,Subreophax scalaris,Rhizammina/Dendrophrya excelsa group,Plectorecurvoides/Recurvoides (fragments),Plectorecurvoides parvus/rotundus,Paratrochamminoides semipellucidus,Paratrochamminoides dubius,Paratrochamminoides corpulentus,Paratrochamminoides (indeterminant fragments),Karrerulina cf. conversa,Hormosina/Hyperammina spp. (fragments),Hormosina crassa,Haplophragmoides spp. (fragments),Haplophragmoides biumbilicalis,Glomospira charoides,Buzasina pacifica,Bolivinopsis parvissimus,Haplophragmoides sp.,Glomospira serpens,Haplophragmoides decussatus,Aschemocella (?) (fragments),Hormosina ovulum gigantea,Paratrochamminoides intricatus,Glomospira gordialis,Kalamopsis grzybowskii,Comment
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R, 4,   5.00,     24.7500,Wightman ,Benthic Foraminifers                         ,               ,                  ,                    ,                                ,                        ,                       ,                   ,                             ,                             ,2                                               ,                      ,                    ,                           ,                   ,5                                   ,                                         ,                                 ,                                  ,                          ,                               ,38                                           ,                        ,1                                     ,                ,7                                ,                              ,                    ,                 ,                        ,                    ,                  ,2                          ,17                          ,                         ,                              ,                    ,                      ,Identity of H. decussatus is questionable; Total agglutinated forams = 70; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R, 4,  27.00,     24.9700,Wightman ,Benthic Foraminifers                         ,               ,                  ,1                   ,1                               ,                        ,                       ,                   ,                             ,                             ,                                                ,1                     ,                    ,                           ,                   ,                                    ,                                         ,                                 ,                                  ,                          ,                               ,                                             ,                        ,                                      ,                ,                                 ,                              ,                    ,                 ,                        ,1                   ,1                 ,                           ,                            ,                         ,                              ,                    ,                      ,Total agglutinated forams = 4; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R, 4,  35.00,     25.0500,Wightman ,Benthic Foraminifers                         ,               ,                  ,                    ,                                ,                        ,                       ,                   ,                             ,                             ,                                                ,                      ,                    ,                           ,                   ,7                                   ,                                         ,                                 ,                                  ,                          ,                               ,8                                            ,                        ,1                                     ,                ,                                 ,                              ,                    ,                 ,                        ,                    ,                  ,                           ,                            ,                         ,                              ,                    ,                      ,Indeterminant agglutinated fragments = 12; Total agglutinated forams = 28; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R,CC,   0.00,     25.2400,Wightman ,Benthic Foraminifers                         ,               ,                  ,1                   ,16                              ,                        ,                       ,                   ,                             ,2                            ,21                                              ,                      ,                    ,                           ,                   ,12                                  ,                                         ,                                 ,                                  ,                          ,                               ,90                                           ,                        ,                                      ,                ,10                               ,                              ,                    ,                 ,4                       ,                    ,                  ,                           ,                            ,                         ,                              ,                    ,                      ,Total agglutinated forams = 156; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  5,R, 1,  15.00,     30.0500,Wightman ,Benthic Foraminifers                         ,               ,                  ,1                   ,26                              ,                        ,17                     ,1                  ,11                           ,9                            ,120                                             ,2                     ,1                   ,3                          ,9                  ,65                                  ,5                                        ,9                                ,4                                 ,14                        ,52                             ,6                                            ,1                       ,77                                    ,8               ,38                               ,10                            ,15                  ,3                ,4                       ,                    ,                  ,                           ,                            ,                         ,                              ,                    ,                      ,Count of T. cf protues includes fragments; Total agglutinated forams = 508; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  5,R,CC,  11.00,     30.2600,Wightman ,Benthic Foraminifers                         ,               ,                  ,1                   ,4                               ,9                       ,2                      ,7                  ,14                           ,1                            ,47                                              ,1                     ,2                   ,                           ,                   ,                                    ,                                         ,                                 ,                                  ,                          ,                               ,                                             ,                        ,                                      ,                ,                                 ,                              ,                    ,                 ,                        ,                    ,                  ,                           ,                            ,                         ,                              ,                    ,                      ,Total agglutinated forams = 88; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
