Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spp.,Reticulofenestra umbilica,Pseudoemiliania lacunosa,Helicosphaera sellii,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Helicosphaera inversa,Helicosphaera carteri,Discoaster variabilis,Discoaster tamalis,Helicosphaera wallichii,Discoaster asymmetricus,Gephyrocapsa spp. (small),Discoaster triradiatus,Gephyrocapsa spp. medium,Gephyrocapsa spp. (large),Reticulofenestra asanoi,Gephyrocapsa sp.3 medium,Emiliania huxleyi,Gephyrocapsa omega,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E,  1,H,CC,   0.00,      3.6400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,                        ,                    ,                   ,                        ,                   ,                     ,                      ,                      ,                      ,                     ,                     ,                     ,                  ,                       ,                       ,                         ,                      ,                        ,                         ,                       ,                        ,D                ,                  ,< 0.085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E,  2,H,CC,   0.00,     13.2300,Raffi    ,Nannofossils                                 ,               ,                  ,                 ,                         ,2                       ,                    ,                   ,1                       ,                   ,C                    ,                      ,                      ,F                     ,                     ,F                    ,                     ,                  ,                       ,                       ,A                        ,                      ,A                       ,                         ,                       ,                        ,A                ,F                 ,> 0.085    < 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E,  3,H,CC,   0.00,     22.9800,Raffi    ,Nannofossils                                 ,               ,                  ,1                ,                         ,                        ,                    ,                   ,                        ,                   ,F                    ,F                     ,                      ,A                     ,                     ,C                    ,                     ,                  ,                       ,                       ,A                        ,                      ,A                       ,                         ,                       ,                        ,A                ,F                 ,> 0.085   < 0.26  - many reworked spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E,  4,H,CC,   0.00,     32.3300,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,                        ,                    ,                   ,                        ,                   ,F                    ,                      ,                      ,A                     ,                     ,F                    ,                     ,                  ,                       ,                       ,A                        ,                      ,A                       ,                         ,                       ,                        ,A                ,F                 ,> 0.085   < 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
