Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia crassaformis,Sphaeroidinella dehiscens,Menardella miocenica,Menardella limbata,Hirsutella hirsuta,Globoconella inflata,Globigerinoides fistulosus,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Pulleniatina obliquiloculata,Menardella menardii (sinistral),Globorotalia tumida,Globoturborotalita woodi,Globoturborotalita rubescens,Globoconella triangula,Globigerinoides obliquus,Globigerina falconensis,Truncorotalia crassaformis hessi,Neogloboquadrina pachyderma,Hirsutella margaritae,Globorotalia tumida flexuosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,E,1,H,CC,0,3.64,Chaisson ,Planktonic Foraminifers                      ,A              ,M                 ,                          ,                         ,                    ,                  ,                  ,A                   ,                          ,                                     ,F                                    ,                            ,R                              ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,inflata very abundant -> dissolution? pyrite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,E,2,H,CC,0,13.23,Chaisson ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,                         ,                    ,                  ,F                 ,A                   ,                          ,                                     ,+                                    ,                            ,                               ,F                  ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,E,3,H,CC,0,22.98,Chaisson ,Planktonic Foraminifers                      ,C              ,M                 ,+                         ,                         ,                    ,                  ,                  ,+                   ,                          ,+                                    ,+                                    ,+                           ,                               ,+                  ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,+                           ,flexuosa present >0.068 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E,4,H,CC,0,32.33,Chaisson ,Planktonic Foraminifers                      ,F              ,P                 ,                          ,                         ,                    ,                  ,                  ,+                   ,                          ,                                     ,                                     ,                            ,                               ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,mica many of fragments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,E,8,H,CC,16,70.31,Chaisson ,Planktonic Foraminifers                      ,A              ,G                 ,+                         ,R                        ,                    ,                  ,                  ,                    ,                          ,                                     ,F                                    ,R                           ,R                              ,F                  ,                        ,R                           ,                      ,                        ,R                      ,                                ,                           ,r                    ,R                           ,<0.401 Ma ?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
