Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Orbulina universa,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 985,B,  1,H,CC,  11.00,      3.4100,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,D                                      ,T                ,R                      ,from 162SR.Ch 2.Table 9.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 985,B,  2,H,CC,  20.00,     13.1300,Flower   ,Planktonic Foraminifers                      ,F              ,G                 ,D                                      ,                 ,                       ,from 162SR.Ch 2.Table 9.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 985,B,  4,H,CC,  33.00,     31.7300,Flower   ,Planktonic Foraminifers                      ,T              ,M                 ,D                                      ,                 ,                       ,from 162SR.Ch 2.Table 9.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 985,B,  5,H,CC,  15.00,     41.6400,Flower   ,Planktonic Foraminifers                      ,T              ,M                 ,D                                      ,                 ,                       ,from 162SR.Ch 2.Table 9.
,,,,,,,,,,,,,,,,,,,,
