Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella munda	Tenuitella gemma	Tenuitella clemenciae	Tenuitella angustiumbilicata	Subbotina praeturritilina	Subbotina angiporoides angiporoides	Subbotina angiporoides	Paragloborotalia siakensis	Paragloborotalia pseudocontinuosa	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides variabilis	Globorotaloides suteri	Globorotaloides sp. 1	Globoquadrina tripartita	Globoquadrina tapuriensis	Globoquadrina sellii	Globoquadrina rohri	Globoquadrina praedehiscens	Globigerinoides praeprimordius	Globigerina venezuelana	Globigerina sp. aff. G. ampliapertura	Globigerina prasaepis	Globigerina praebulloides	Globigerina officinalis	Globigerina euapertura	Globigerina ampliapertura	Dentoglobigerina sp. aff. D. larmeui	Dentoglobigerina larmeui	Dentoglobigerina globularis	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelinid (unspecified taxon or taxa)	Catapsydrax unicavus	Catapsydrax martini	Catapsydrax dissimilis dissimilis	Cassigerinella chipolensis	Turborotalia pseudoampliapertura/increbescens	Turborotalia pseudoampliapertura	Turborotalia increbescens	Subbotina utilisindex	Subbotina gortanii	Paragloborotalia sp.	Globorotalia obesa	Globigerinita juvenilis	Globigerina ouachitaensis	Globigerina ciperoensis	Dentoglobigerina galavisi/baroemoenensis	Catapsydrax sp.	Tenuitella clemenciae/munda	Globigerina ciperoensis/anguliofficinalis	Catapsydrax dissimilis ciperoensis	Subbotina brazieri	Globigerina sp. 1	Globigerina anguliofficinalis	Protentella sp. 1	Protentella navazuelensis	Paragloborotalia semivera	Globigerinella? sp.	Globigerina praebulloides occlusa	Dentoglobigerina globularis/altispira globosa	Globigerina anguliofficinalis/angulisuturalis	Dentoglobigerina altispira globosa	Globorotaloides permicus	Globigerina angulisuturalis	Cassigerinella martinezpicoi	Protentella sp.	Subbotina praeturritilina/gortanii	Globigerinita juvenilis/uvula	Globigerinita uvula	Cassigerinella globulosa	Globigerina sp. 2	Globigerina fariasi	Globigerina woodi	Globorotaloides sp. 2	Globoquadrina binaiensis	Protentella sp. aff. P. prolixa	Globorotalia pseudokugleri (ancestral form)	Globorotalia pseudokugleri	Globigerinoides primordius	Globigerina ciperoensis ottnangiensis	Globorotalia obesa/praesiphonifera	Globoquadrina praedehiscens/dehiscens	Protentella clavaticamerata	Globoquadrina dehiscens	Globorotalia pseudokugleri/kugleri	Globorotaloides sp. aff. G. stainforthi	Globorotalia kugleri	Globorotaloides stainforthi	Globigerinita glutinata	Streptochilus sp.	Globigerinoides trilobus	Globigerinoides immaturus	Globigerinoides bollii	Comment



  SR	Miocene          	                 	N4                	              	115	 709	B	 21	X	 1	  80.00	    188.0000	Premoli Silva	Planktonic Foraminifers                      	               	                  	cf              	+               	                     	+                           	                         	                                   	                      	+                         	                                 	                            	+                          	                          	+                     	                     	+                       	                         	+                   	+                  	+                          	                              	+                      	                                     	                     	                         	+                      	+                     	                         	+                                   	                        	                           	cf                       	                               	                                            	                    	                   	+                                	                          	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	cf                     	                                        	+              	                           	                                         	+                                 	+                 	                 	cf                           	                 	                         	+                        	+                  	                                 	+                                            	                                             	                                  	                        	                           	                            	+              	                                  	+                            	+                  	                        	+                	                   	+                	                     	                        	                               	+                                          	+                         	+                         	+                                    	                                  	+                                    	                           	                       	                                  	                                       	A                   	+                          	+                      	VR               	                        	+                        	cf                    	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Miocene          	                 	N4                	              	115	 709	B	 21	X	 2	  80.00	    189.5000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	                         	                                   	                      	+                         	+                                	                            	+                          	cf                        	+                     	+                    	+                       	                         	+                   	+                  	+                          	                              	+                      	                                     	                     	+                        	+                      	+                     	                         	+                                   	+                       	                           	+                        	                               	                                            	                    	                   	                                 	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	                         	                       	                                        	+              	                           	                                         	+                                 	+                 	+                	                             	                 	                         	+                        	                   	+                                	                                             	                                             	+                                 	                        	                           	                            	               	                                  	+                            	+                  	                        	+                	                   	+                	+                    	+                       	                               	                                           	+                         	                          	+                                    	                                  	                                     	                           	                       	                                  	                                       	+                   	+                          	+                      	VR               	cf                      	+                        	cf                    	reworking present. from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Miocene          	                 	N4                	              	115	 709	B	 21	X	 3	  80.00	    191.0000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	                	+                    	+                           	                         	                                   	                      	+                         	+                                	                            	+                          	                          	+                     	                     	+                       	                         	+                   	+                  	                           	                              	                       	                                     	+                    	+                        	+                      	+                     	                         	+                                   	+                       	                           	+                        	                               	                                            	                    	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	                         	                       	                                        	+              	                           	                                         	+                                 	+                 	+                	cf                           	                 	                         	+                        	                   	+                                	                                             	                                             	+                                 	                        	                           	                            	               	                                  	                             	+                  	                        	+                	                   	+                	+                    	+                       	+                              	+                                          	+                         	+                         	+                                    	+                                 	                                     	                           	                       	                                  	                                       	C                   	+                          	+                      	                 	cf                      	+                        	cf                    	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Miocene          	                 	N4                	              	115	 709	B	 21	X	 4	  80.00	    192.5000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	                         	                                   	                      	+                         	+                                	                            	+                          	                          	+                     	                     	cf                      	                         	+                   	+                  	+                          	                              	+                      	                                     	                     	+                        	+                      	                      	                         	+                                   	                        	+                          	+                        	                               	                                            	                    	+                  	+                                	+                         	                                             	                                	                         	                     	                  	+                   	+                 	+                      	+                        	                       	                                        	+              	                           	                                         	+                                 	+                 	+                	                             	R                	                         	                         	+                  	                                 	+                                            	                                             	+                                 	+                       	                           	                            	               	                                  	+                            	+                  	                        	+                	                   	+                	+                    	+                       	                               	                                           	+                         	+                         	                                     	+                                 	                                     	                           	                       	                                  	+                                      	+                   	+                          	+                      	                 	                        	+                        	cf                    	reworking present. from 115 SR. Chapter 19. Table 5. pages 294-297.
