Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia tumida flexuosa	Globorotalia tumida (right)	Globorotalia tumida (left)	Globorotalia scitula	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerinoides ruber (high)	Globigerinoides conglobatus	Globigerinita glutinata	Globigerina rubescens	Globigerina quinqueloba	Globigerina calida	Globigerina bulloides	Comment



  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  1	H	CC	  34.00	     39.2900	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	-                                    	R                           	-                	-                                      	-                                    	F                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	C                                	C                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  2	H	CC	  24.00	     48.7100	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	F                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	F                                	F                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  3	H	CC	  21.00	     58.1700	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	C                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	F                                	F                                  	F                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  4	H	CC	  25.00	     67.7300	Showers  	Planktonic Foraminifers                      	F              	G                 	-                                    	C                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	R                        	F                                	R                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  5	H	CC	  20.00	     77.1300	Showers  	Planktonic Foraminifers                      	F              	G                 	-                                    	F                                    	-                           	-                	-                                      	-                                    	A                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	F                                	R                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

