Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Osangularia sp.	Lenticulina spp.	Dentalina spp.	Saracenaria spp.	Ramulina tetrahedralis	Ramulina tappanae	Protosangularia utaturensis	Lagena spp.	Globulina spp.	Vaginulinopsis harpa	Oolina globosa	Lingulina loryi	Remesella sp.	Marginulinopsis spp.	Gaudryina dividens	Gavelinella spp.	Tristix excavata	Spirillina spp.	Protomarssonella pareoxycona	Praedorothia praehauteriviana	Gaudryina spp.	Frondicularia sp.	Bulimina spp.	Lingulina spp.	Kadriayina gradata	Dorothia gradata	Protosangularia albiana	Hanzawaia compressa	Pleurostomella spp.	Nodosaria spp.	Gyroidinoides infracretaceus	Gyroidinoides globosa	Dorothia conula	Astacolus parallelus	Tritaxia gaultina	Dorothia spp.	Protosangularia cenomaniana	Pseudoclavulina spp.	Comment



  IR	                 	                 	                  	              	198	1213	B	  2	R	 1	   4.00	    199.3400	benthics 	Benthic Foraminifers                         	R              	M                 	               	                	R             	                	                      	                 	F                          	           	R             	                    	              	               	F            	                    	F                 	                	                	               	                            	                             	              	                 	             	              	                  	R               	                       	                   	                   	              	R                           	                     	R              	                    	                 	             	                           	T                   	       

  IR	                 	                 	                  	              	198	1213	B	  3	R	 1	  14.00	    209.0400	benthics 	Benthic Foraminifers                         	F              	P                 	               	R               	R             	                	                      	                 	                           	           	              	                    	              	               	             	                    	                  	                	                	               	                            	                             	              	                 	             	              	                  	                	A                      	                   	                   	              	C                           	                     	               	                    	F                	             	F                          	                    	       

  IR	                 	                 	                  	              	198	1213	B	  5	R	 1	   0.00	    228.3000	benthics 	Benthic Foraminifers                         	T              	P                 	               	                	              	                	                      	                 	T                          	           	              	                    	              	               	             	                    	R                 	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	T                           	+                    	R              	                    	R                	+            	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	  6	R	 1	  83.00	    238.6300	benthics 	Benthic Foraminifers                         	F              	M                 	               	R               	F             	                	                      	T                	C                          	           	T             	                    	              	               	C            	                    	C                 	                	                	               	                            	                             	              	                 	             	              	                  	R               	                       	R                  	T                  	R             	A                           	F                    	F              	R                   	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	  9	R	 1	   9.00	    266.4900	benthics 	Benthic Foraminifers                         	R              	M                 	               	R               	T             	T               	                      	                 	                           	           	R             	                    	T             	               	A            	                    	                  	T               	                	T              	+                           	C                            	              	T                	             	+             	                  	                	T                      	C                  	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	  9	R	 1	  70.00	    267.1000	benthics 	Benthic Foraminifers                         	A              	M                 	               	F               	R             	                	                      	                 	                           	           	T             	                    	T             	               	             	                    	                  	                	                	               	F                           	R                            	              	T                	             	R             	+                 	T               	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

