Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis tensa,Thyrsocyrtis hirsuta,Theocotyle venezuelensis,Podocyrtis sinuosa,Podocyrtis diamesa,Lithocyclia ocellus,Lithochytris vespertilio,Dictyoprora mongolfieri,Thyrsocyrtis robusta,Thyrsocyrtis rhizodon,Spongatractus pachystylus,Thyrsocyrtis triacantha,Eusyringium lagena,Eusyringium fistuligerum,Podocyrtis  ampla,Podocyrtis trachodes,Podocyrtis mitra,Phormocyrtis striata striata,Sethochytris triconiscus,Podocyrtis helenae,Podocyrtis fasciolata,Podocyrtis chalara,Calocyclas turris,Calocyclas bandyca,Thyrsocyrtis  tetracantha,Tristylospyris triceros,Theocyrtis tuberosa,Lychnodictyum audax,Centrobotrys petrushevskayae,Lithocyclia angusta,Artophormis gracilis,Didymocyrtis prismatica,Stichocorys delmontensis,Lychnocanoma elongata,Dorcadospyris ateuchus,Centrobotrys thermophila,Calocycletta virginis,Liriospyris mutuaria,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),              ,143, 869,A,  1,H,CC,  21.00,      9.6600,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,+                       ,                     ,                      ,                        ,+                    ,+                   ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),              ,143, 869,A,  2,H,CC,  12.00,     19.5100,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,+                      ,+                       ,                     ,+                     ,                        ,+                    ,+                   ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),              ,143, 869,A,  3,H,CC,  16.00,     28.9300,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,+                  ,                            ,                   ,                    ,+                      ,+                       ,                     ,+                     ,                        ,+                    ,+                   ,from Leg 143 SR; Chapter 34; Table 1; p. 572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),              ,143, 869,A,  4,H, 1,  90.00,     29.6000,Aitchison,Radiolarians                                 ,               ,                  ,                  ,                    ,                        ,                  ,                  ,                   ,                        ,                       ,                    ,                     ,                         ,                       ,                  ,                        ,                 ,                    ,                ,                            ,                        ,                  ,                     ,                  ,                 ,                  ,                         ,                       ,                   ,                   ,                            ,                   ,                    ,                       ,+                       ,+                    ,+                     ,+                       ,+                    ,                    ,from Leg 143 SR; Chapter 34; Table 1; p. 572
