Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Marginotruncana pseudolinneiana	Globigerinelloides prairiehillensis	Archaeoglobigerina sp.	Hedbergella sp. cf. H. planispira	Globigerinelloides sp.	Archaeoglobigerina cretacea	Archaeoglobigerina blowi	Heterohelix sp.	Globigerinelloides subcarinatus	Heterohelix globulosa	Globigerinelloides alvarezi	Gansserina wiedenmayeri	Comment



  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  3	R	 1	   3.00	     69.3300	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	                                 	                      	                           	1                       	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  4	R	 1	  16.00	     78.8600	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	?                     	                                 	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  5	R	 1	  13.00	     88.4300	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	1                     	                                 	                      	                           	                        	               	                               	                     	                           	?1                     	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  5	R	 1	  41.00	     88.7100	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	                                 	                      	                           	?                       	1              	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  5	R	 1	 105.00	     89.3500	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	                      	1                                	                      	                           	                        	?              	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  6	R	 1	  11.00	     98.1100	Erba     	Planktonic Foraminifers                      	               	                  	                               	1                                  	1                     	                                 	                      	                           	                        	1              	                               	                     	1                          	1                      	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  7	R	 1	   7.00	    107.6700	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	1                     	                                 	                      	                           	                        	1              	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  7	R	 1	  16.00	    107.7600	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	1                     	                                 	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

  SR	Campanian        	Maestrichtian    	                  	              	144	 873	A	  7	R	 1	  30.00	    107.9000	Erba     	Planktonic Foraminifers                      	               	                  	                               	                                   	1                     	                                 	                      	                           	                        	               	                               	                     	                           	                       	from ODP Leg 144 SR; Ch 8; Table 4; p 163

