Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Transversopontis pulcheroides	Transversopontis pulcher	Toweius pertusus	Toweius gammation	Toweius eminens	Thoracosphaera tuberosa	Thoracosphaera saxea	Thoracosphaera heimii	Sphenolithus stellatus	Sphenolithus radians	Sphenolithus orphanknollensis	Sphenolithus moriformis	Sphenolithus editus	Sphenolithus conspicuus	Sphenolithus anarrhopus	Semihololithus kerabyi	Scyphosphaera tercisensis	Scapholithus fossilis	Prinsius bisulcus	Pontosphaera plana	Pontosphaera ocellata	Neocrepidolithus bukryi	Neococcolithes protenus	Neochiastozygus junctus	Neochiastozygus chiastus	Markalius inversus	Lophodolithus nascens	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Fasciculithus bobii	Fasciculithus billii	Ericsonia ovalis	Ericsonia formosa	Ericsonia cava	Ellipsolithus macellus	Ellipsolithus lajollaensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster diastypus	Discoaster cruciformis	Discoaster binodosus	Discoaster barbadiensis	Cruciplacolithus mutatus	Coronocyclus prionion	Coccolithus pelagicus	Chiphragmalithus barbatus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus eograndis	Chiasmolithus consuetus	Chiasmolithus californicus	Campylosphaera dela	Transversopontis latus	Toweius crassus	Toweius callosus	Sphenolithus spiniger	Sphenolithus pseudoradians	Sphenolithus predistentus	Sphenolithus furcatolithoides	Scyphosphaera columella	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Pontosphaera multipora	Neococcolithes dubius	Nannotetrina cristata	Lophodolithus mochlophorus	Lanternithus duocavus	Helicosphaera seminulum	Helicosphaera lophota	Discoaster tanii	Discoaster strictus	Discoaster septemradiatus	Discoaster saipanensis	Discoaster nodifer	Discoaster martinii	Discoaster germanicus	Discoaster gemmifer	Discoaster deflandrei	Discoaster bifax	Dictyococcites scrippsae	Dictyococcites daviesii	Cyclicargolithus pseudogammation	Coccolithus eopelagicus	Chiphragmalithus acanthodes	Chiasmolithus titus	Chiasmolithus nitidus	Chiasmolithus gigas	Chiasmolithus expansus	Bramletteius serraculoides	Sphenolithus intercalaris	Reticulofenestra hillae	Ericsonia obruta	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Comment

  SR	                 	                 	CP13b             	              	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	A              	M                 	R                      	                         	                             	                        	                	                 	               	                       	R                   	                     	                      	C                   	                             	C                      	                   	                       	                       	                      	                         	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	C                	              	                      	                          	                    	                   	                    	                      	F                   	C                      	                        	                     	A                    	                         	F                    	F                    	                       	                       	                          	                   	                      	               	                	F                    	F                         	                         	R                            	R                      	                    	                         	C                        	                                 	R                     	                     	                     	                          	                     	R                      	R                    	                	F                  	                         	F                     	                  	                   	                     	                   	                     	                	                        	                       	                                	R                      	                           	R                  	R                    	R                  	R                     	                          	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP10              	              	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	C              	M                 	R                      	                         	                             	                        	                	F                	               	                       	R                   	                     	                      	C                   	F                            	A                      	                   	                       	                       	                      	                         	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	A                	              	                      	                          	C                   	C                  	                    	                      	F                   	C                      	                        	                     	C                    	R                        	F                    	                     	                       	                       	                          	                   	                      	               	                	                     	                          	                         	                             	                       	                    	                         	                         	                                 	                      	                     	                     	R                         	                     	R                      	                     	                	F                  	                         	                      	                  	                   	                     	                   	                     	                	                        	                       	                                	                       	R                          	                   	                     	                   	                      	                          	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP11              	              	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	A              	G                 	                       	                         	                             	                        	                	F                	               	                       	                    	R                    	                      	C                   	F                            	A                      	                   	                       	                       	                      	                         	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	A                	R             	                      	                          	R                   	F                  	                    	R                     	F                   	A                      	                        	                     	A                    	R                        	C                    	R                    	                       	                       	                          	                   	                      	R              	R               	                     	                          	                         	                             	                       	F                   	F                        	F                        	                                 	R                     	R                    	F                    	F                         	R                    	                       	R                    	                	F                  	R                        	F                     	                  	                   	R                    	                   	                     	                	                        	                       	                                	                       	                           	F                  	                     	                   	                      	                          	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP10              	              	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	F              	P                 	                       	                         	                             	                        	                	                 	               	                       	                    	                     	                      	F                   	                             	C                      	                   	                       	                       	                      	                         	                     	                 	                  	                     	                       	R                      	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	C                	              	                      	                          	F                   	R                  	                    	                      	F                   	F                      	                        	                     	F                    	                         	R                    	R                    	                       	                       	                          	R                  	                      	               	                	                     	                          	                         	                             	                       	                    	F                        	                         	                                 	                      	                     	                     	                          	                     	                       	                     	                	                   	R                        	R                     	                  	                   	                     	                   	R                    	                	                        	                       	                                	                       	                           	                   	                     	                   	                      	                          	                         	                       	                	                       	                           	                         	                      	zone assignment uncertain; from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP10              	CP12a         	144	 873	A	  1	R	 1	  21.00	     54.5100	Watkins  	Nannofossils                                 	F              	M                 	                       	                         	                             	                        	                	                 	               	                       	                    	                     	                      	F                   	                             	C                      	                   	                       	                       	                      	                         	                     	                 	                  	                     	                       	                       	                       	                        	                  	                     	                  	                           	                      	                   	                    	                	C                	              	                      	                          	F                   	F                  	R                   	                      	R                   	F                      	                        	                     	C                    	                         	F                    	                     	                       	                       	                          	                   	                      	               	                	                     	                          	                         	                             	                       	                    	F                        	                         	                                 	                      	                     	                     	                          	                     	                       	                     	                	                   	                         	                      	                  	                   	                     	                   	                     	                	                        	                       	                                	                       	                           	                   	                     	                   	                      	                          	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

  SR	                 	                 	CP4               	              	144	 873	A	  2	R	 1	   0.00	     59.8000	Watkins  	Nannofossils                                 	F              	M                 	                       	                         	                             	                        	R               	                 	F              	                       	F                   	                     	                      	                    	                             	                       	                   	                       	C                      	                      	                         	R                    	?                	R                 	                     	R                      	                       	F                      	R                       	                  	                     	R                 	R                          	F                     	F                  	F                   	F               	                 	A             	C                     	                          	                    	                   	                    	                      	                    	                       	                        	                     	?                    	                         	                     	                     	                       	C                      	F                         	                   	                      	               	                	                     	                          	                         	                             	                       	                    	                         	                         	                                 	                      	                     	                     	                          	                     	                       	                     	                	                   	                         	                      	                  	                   	                     	                   	                     	                	                        	                       	                                	                       	                           	                   	                     	                   	                      	                          	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 2; p 101

  SR	                 	                 	CP10              	              	144	 873	A	  2	R	 1	   0.00	     59.8000	Watkins  	Nannofossils                                 	C              	M                 	R                      	F                        	R                            	R                       	                	F                	               	R                      	R                   	R                    	R                     	C                   	R                            	A                      	F                  	R                      	                       	R                     	R                        	                     	                 	                  	R                    	                       	R                      	                       	                        	R                 	R                    	                  	                           	                      	                   	                    	                	A                	              	                      	R                         	F                   	C                  	R                   	R                     	F                   	C                      	R                       	F                    	C                    	R                        	F                    	R                    	R                      	R                      	                          	F                  	                      	               	                	                     	                          	                         	                             	                       	                    	                         	                         	                                 	                      	                     	                     	                          	                     	                       	                     	                	                   	                         	                      	                  	                   	                     	                   	                     	                	                        	                       	                                	                       	                           	                   	                     	                   	                      	                          	                         	                       	                	                       	                           	                         	                      	from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103

