Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Spongurus pylomaticus	Saturnalis circularis	Lamprocyrtis heteroporos	Lamprocyclas hannai	Axoprunum angelinum	Actinomma leptodermum	Phormostichoartus fistula	Phormostichoartus corbula	Eucyrtidium calvertense	Theocorythium trachelium trachelium	Pterocanium trilobum	Didymocyrtis tetrathalamus tetrathalamus	Cycladophora cornutoides	Eucyrtidium teuscheri teuscheri	Eucyrtidium acuminatum	Lamprocyrtis neoheteroporos	Stichocorys delmontensis	Amphirhopalum ypsilon	Cycladophora pliocenica	Pterocanium praetextum eucolpum	Didymocyrtis avita	Cycladophora sakaii	Cycladophora davisiana	Eucyrtidium anomalum	Lamprocyrtis nigriniae	Acanthodesmia viniculata	Spongaster tetras tetras	Comment



  IR	                 	                 	                  	              	175	1084	A	  1	H	CC	   0.00	      2.8800	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	                   	                     	                         	                         	+                      	+                                  	+                   	                                        	1                       	+                              	1                     	                           	                        	+                    	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	RN16              	B invaginata  	175	1084	A	  2	H	CC	  11.00	     12.7700	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	                   	                     	                         	                         	+                      	+                                  	+                   	                                        	1                       	+                              	1                     	                           	                        	1                    	                       	1                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	  3	H	CC	  22.00	     22.5100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	                   	                     	                         	                         	                       	+                                  	+                   	+                                       	+                       	+                              	+                     	                           	                        	+                    	                       	                               	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	  4	H	CC	  10.00	     31.8900	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	                     	                        	+                  	                   	                     	                         	                         	1                      	+                                  	+                   	+                                       	                        	+                              	+                     	                           	                        	+                    	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	  5	H	CC	  32.00	     41.6800	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                    	                     	                        	+                  	                   	                     	                         	                         	+                      	                                   	                    	+                                       	                        	                               	                      	                           	                        	1                    	                       	1                              	                  	                   	+                     	                    	                      	                        	                        	       

  IR	                 	                 	                  	              	175	1084	A	  6	H	CC	  14.00	     51.0300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                    	1                    	                        	+                  	                   	                     	                         	                         	                       	+                                  	+                   	1                                       	                        	1                              	+                     	                           	                        	                     	                       	+                              	                  	                   	+                     	                    	                      	                        	                        	       

