Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitella munda,Tenuitella gemma,Tenuitella clemenciae,Subbotina angiporoides,Paragloborotalia nana,Globigerina praebulloides,Catapsydrax unicavus,Catapsydrax dissimilis,Tenuitellinata angustiumbilicata,Globorotaloides suteri,Globigerinita glutinata,Chiloguembelina cubensis,Turborotalia euapertura,Globorotaloides variabilis,Globigerinita uvula,Globigerina eamesi,Globoturborotalita woodi,Globorotalia incognita,Globigerina bulloides,Paragloborotalia semivera,Paragloborotalia continuosa,Globoquadrina dehiscens,Globigerinella obesa,Globigerina quinqueloba,Dentoglobigerina praedehiscens,Globigerinita praestainforthi,Globoturborotalita connecta,Globorotalia praescitula,Globorotalia praemenardii,Globorotalia peripheroronda,Globorotalia miozea,Globorotalia conica,Praeorbulina curva,Globorotalia zealandica,Orbulina universa,Globorotalia scitula,Globorotalia panda,Globorotalia challengeri,Paragloborotalia nympha,Paragloborotalia mayeri,Globoturborotalita decoraperta,Orbulina suturalis,Globorotalia miotumida,Globorotalia juanai,Globorotalia conoidea,Globorotalia conomiozea,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticuloides,Globorotalia puncticulata,Globorotalia crassula,Globorotalia crassaformis,Globigerina falconensis,Globorotalia triangula,Globorotalia inflata,Globorotalia crassaconica,Globorotalia crassacarina,Globigerinella aequilateralis,Globigerina umbilicata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1171,C,  1,H,CC,   6.00,      9.6500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                ,                ,                     ,                      ,                     ,                         ,                    ,                      ,                                ,                      ,+                      ,                        ,                       ,                          ,+                  ,                  ,                        ,                      ,+                    ,                         ,                           ,                       ,                    ,+                      ,                              ,                             ,                           ,                        ,                         ,                           ,                   ,                   ,                  ,                       ,                 ,+                   ,                  ,                        ,                       ,                       ,                              ,                  ,                      ,                   ,                     ,                       ,+                                      ,                           ,                         ,+                    ,+                        ,+                      ,+                     ,+                   ,+                        ,+                        ,+                            ,+                     ,Gr. truncatulinoides rare to absent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1171,C,  2,H,CC,   8.00,     19.2400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                ,                ,                     ,                      ,                     ,                         ,                    ,                      ,                                ,                      ,+                      ,                        ,                       ,                          ,+                  ,                  ,                        ,                      ,+                    ,                         ,                           ,                       ,                    ,+                      ,                              ,                             ,                           ,                        ,                         ,                           ,                   ,                   ,                  ,                       ,                 ,+                   ,                  ,                        ,                       ,                       ,                              ,                  ,                      ,                   ,                     ,                       ,+                                      ,                           ,                         ,+                    ,+                        ,+                      ,                      ,+                   ,+                        ,+                        ,+                            ,                      ,Gr. inflata rare
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1171,C,  3,H,CC,  17.00,     28.5600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                ,                ,                     ,                      ,                     ,                         ,                    ,                      ,                                ,                      ,+                      ,                        ,                       ,                          ,+                  ,                  ,                        ,                      ,+                    ,                         ,                           ,                       ,                    ,+                      ,                              ,                             ,                           ,                        ,                         ,                           ,                   ,                   ,                  ,                       ,                 ,+                   ,                  ,                        ,                       ,                       ,                              ,                  ,                      ,                   ,                     ,                       ,+                                      ,                           ,                         ,+                    ,+                        ,+                      ,+                     ,+                   ,+                        ,+                        ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN12b         ,189,1171,C,  4,H,CC,  14.00,     37.8000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                ,                ,                     ,                      ,                     ,                         ,                    ,                      ,                                ,                      ,+                      ,                        ,                       ,                          ,+                  ,                  ,                        ,                      ,+                    ,                         ,                           ,                       ,                    ,+                      ,                              ,                             ,                           ,                        ,                         ,                           ,                   ,                   ,                  ,                       ,                 ,+                   ,                  ,                        ,                       ,                       ,                              ,                  ,                      ,                   ,                     ,                       ,+                                      ,+                          ,+                        ,+                    ,+                        ,+                      ,                      ,                    ,                         ,                         ,                             ,                      ,       
