Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Unidentified benthic forams,Stilostomella spp.,Pullenia quinqueloba,Pleurostomella spp.,Ostracoda spp.,Lenticulina spp.,Laticarinina pauperata,Karreriella bradyi,Gyroidinoides spp.,Eggerella bradyi,Dentalina spp.,Cibicidoides spp.,Uvigerina peregrina,Uvigerina hispida,Pullenia spp.,Pullenia bulloides,Parrelloides bradyi,Osangularia culter,Oridorsalis umbonatus,Nonion spp.,Melonis barleeanus,Gyroidina zealandica,Gyroidina orbicularis,Globocassidulina subglobosa,Bulimina aculeata,Bolivinopsis spp.,Bolboforma spp.,Anomalinoides spp.,Anomalinoides globulosus,Sigmoilina tenuis,Pyrulina spp.,Nuttallides umbonifera,Cibicidoides mundulus,Cassidulina spp.,Bulimina marginata,Bolivina huneri,Orthomorphina spp.,Heronallenia lingulata,Bolivina spp.,Rectuvigerina spp.,Quinqueloculina spp.,Bulimina alazanensis,Textularia spp.,Hopkinsina mioindex,Fontbotia wuellerstorfi,Epistominella exigua,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 15,X,CC,  13.00,    134.4500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                  ,                           ,R                 ,                    ,R                  ,R             ,T               ,T                     ,                  ,T                 ,                ,T             ,                 ,                   ,                 ,             ,T                 ,                   ,                  ,R                    ,           ,T                 ,                    ,                     ,T                          ,                 ,                 ,               ,                  ,                        ,                 ,             ,                      ,R                    ,T               ,                  ,R              ,                  ,                      ,             ,                  ,                    ,                    ,               ,T                  ,                       ,T                   ,B/P: 1/140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 17,X,CC,  11.00,    150.1800,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                  ,                           ,R                 ,                    ,                   ,R             ,T               ,                      ,                  ,                  ,                ,              ,                 ,                   ,                 ,             ,R                 ,                   ,                  ,                     ,           ,                  ,                    ,                     ,                           ,                 ,                 ,               ,                  ,                        ,                 ,             ,                      ,R                    ,                ,                  ,               ,T                 ,                      ,             ,T                 ,                    ,                    ,T              ,                   ,T                      ,                    ,B/P: 1/180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 19,X,CC,  12.00,    172.7600,benthics ,Benthic Foraminifers                         ,R              ,G                 ,                  ,T                          ,R                 ,                    ,                   ,R             ,T               ,T                     ,                  ,                  ,                ,              ,                 ,                   ,R                ,             ,                  ,                   ,                  ,T                    ,           ,T                 ,                    ,                     ,T                          ,                 ,                 ,               ,                  ,                        ,                 ,             ,T                     ,R                    ,                ,                  ,               ,                  ,                      ,             ,T                 ,                    ,                    ,T              ,T                  ,                       ,                    ,B/P: 1/180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C, 21,X,CC,  18.00,    190.1100,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R                 ,                           ,T                 ,                    ,                   ,T             ,                ,                      ,                  ,                  ,                ,T             ,                 ,                   ,T                ,             ,R                 ,                   ,                  ,                     ,           ,                  ,                    ,                     ,T                          ,                 ,                 ,T              ,                  ,                        ,                 ,T            ,                      ,R                    ,                ,                  ,               ,                  ,                      ,T            ,R                 ,T                   ,T                   ,               ,                   ,                       ,                    ,B/P: 1/140
