Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tepka perforata,Eucyrtidium diaphanes,Dorcadospyris ateuchus,Didymocyrtis prismatica,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Cyclampterium pegetrum,Calocycletta virginis,Calocycletta serrata,Calocycletta robusta,Theocorys spongoconus,Dorcadospyris simplex,Carpocanopsis favosa,Stichocorys delmontensis,Liriospyris stauropora,Carpocanopsis cingulata,Stichocorys wolffii,Didymocyrtis mammifera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. costata (RN4)  ,D. alata (RN5),101, 627,B, 18,X, 1,  60.00,    162.8000,Palmer-Julson,Radiolarians                                 ,F              ,                  ,               ,                     ,                      ,                       ,                       ,                     ,                      ,                     ,                    ,                    ,                     ,                     ,                    ,R                       ,                      ,                       ,C                  ,R                     ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),S. wolffii (RN3),101, 627,B, 19,X, 1,  21.00,    172.0100,Palmer-Julson,Radiolarians                                 ,R              ,                  ,               ,                     ,                      ,                       ,R                      ,                     ,                      ,                     ,                    ,                    ,                     ,                     ,                    ,                        ,                      ,                       ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),S. wolffii (RN3),101, 627,B, 19,X, 1, 122.00,    173.0200,Palmer-Julson,Radiolarians                                 ,F              ,                  ,               ,                     ,                      ,R                      ,                       ,                     ,                      ,R                    ,                    ,                    ,                     ,                     ,                    ,R                       ,                      ,                       ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),S. wolffii (RN3),101, 627,B, 19,X, 2,  46.00,    173.7600,Palmer-Julson,Radiolarians                                 ,C              ,                  ,               ,                     ,                      ,                       ,                       ,F                    ,                      ,R                    ,                    ,                    ,R                    ,                     ,r                   ,                        ,                      ,                       ,R                  ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),S. wolffii (RN3),101, 627,B, 19,X, 3,  20.00,    175.0000,Palmer-Julson,Radiolarians                                 ,F              ,                  ,               ,                     ,                      ,                       ,                       ,                     ,                      ,                     ,                    ,                    ,R                    ,                     ,                    ,                        ,                      ,                       ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),S. wolffii (RN3),101, 627,B, 19,X, 4,  20.00,    176.5000,Palmer-Julson,Radiolarians                                 ,C              ,                  ,               ,R                    ,R                     ,                       ,F                      ,C                    ,                      ,                     ,                    ,                    ,F                    ,                     ,                    ,                        ,                      ,                       ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. delmontense (RN2),S. wolffii (RN3),101, 627,B, 19,X, 5,  20.00,    178.0000,Palmer-Julson,Radiolarians                                 ,C              ,                  ,               ,R                    ,R                     ,                       ,                       ,R                    ,                      ,                     ,                    ,                    ,R                    ,                     ,                    ,R                       ,r                     ,r                      ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,101, 627,B, 19,X, 6,  60.00,    179.9000,Palmer-Julson,Radiolarians                                 ,C              ,                  ,R              ,                     ,F                     ,R                      ,F                      ,                     ,                      ,                     ,                    ,                    ,r                    ,r                    ,r                   ,                        ,                      ,                       ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,101, 627,B, 19,X, 7,  20.00,    181.0000,Palmer-Julson,Radiolarians                                 ,F              ,                  ,R              ,R                    ,                      ,R                      ,F                      ,F                    ,                      ,                     ,F                   ,                    ,F                    ,R                    ,                    ,                        ,                      ,                       ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,101, 627,B, 19,X,CC,  20.00,    181.5000,Palmer-Julson,Radiolarians                                 ,C              ,                  ,R              ,r                    ,R                     ,F                      ,R                      ,R                    ,r                     ,F                    ,C                   ,C                   ,                     ,                     ,                    ,                        ,                      ,                       ,                   ,                      ,from Palmer; ODP 101 SR Chapter 5 Table 2 p 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
