Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Pyrgo spp.,Pullenia bulloides,Oridorsalis umbonatus,Nuttallides umbonifera,Nonionella atlantica,Nodosaria spp.,Melonis sp.,Melonis pompilioides,Melonis barleeanus,Lagena spp.,Hoeglundina elegans,Gyroidinoides spp.,Globocassidulina subglobosa,Globobulimina affinis,Gavelinopsis translucens,Fontbotia wuellerstorfi,Epistominella exigua,Elphidium spp.,Eggerella bradyi,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina crassa,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Bulimina alazanensis,Bulimina aculeata,Brizalina subaenariensis,Bolivinita quadrilatera,Bolivina pseudopunctata,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  1,H,CC,  10.00,      7.4700,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,-                     ,-                  ,F                  ,-                  ,-                 ,-         ,R                 ,R                    ,-                     ,F                   ,-             ,-          ,-                   ,F                 ,-          ,-                  ,F                 ,-                          ,R                    ,-                       ,-                      ,-                   ,F             ,-               ,-                       ,-                   ,-                 ,C                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,F             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  2,H,CC,  28.00,     17.2900,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,R                     ,-                  ,-                  ,-                  ,-                 ,-         ,R                 ,R                    ,-                     ,F                   ,-             ,-          ,-                   ,-                 ,-          ,-                  ,-                 ,-                          ,R                    ,-                       ,-                      ,F                   ,F             ,-               ,-                       ,-                   ,-                 ,C                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,T                      ,T             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  3,H,CC,  19.00,     26.9800,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,-                     ,-                  ,F                  ,-                  ,-                 ,-         ,R                 ,F                    ,-                     ,-                   ,-             ,-          ,-                   ,F                 ,-          ,-                  ,-                 ,-                          ,F                    ,-                       ,A                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  4,H,CC,  25.00,     36.6000,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,R                     ,R                  ,-                  ,T                  ,-                 ,R         ,F                 ,C                    ,T                     ,R                   ,-             ,-          ,-                   ,F                 ,-          ,T                  ,R                 ,R                          ,-                    ,-                       ,C                      ,R                   ,R             ,-               ,-                       ,-                   ,T                 ,R                   ,-                 ,T                   ,-                   ,-                ,-                       ,-                      ,T                      ,-             ,       
