Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Stylacontarium acquilonium	Lamprocyrtis heteroporos	Anthocyrtidium pliocenica	Stylochlamidium  venustum	Pterocanium korotnevi	Pseudocubus warreni	Lychnocanoma nipponica sakaii	Eucyrtidium teuscheri group	Dictyophimus crisiae	Clathrocyclas bicornis	Ceratospyris hyperborea	Botryostrobus praetumidulus	Actinomma popofskii	Gondwanaria dogieli	Eucyrtidium erythromystax	Eucyrtidium calvertense	Phormostichoartus fistula	Lipmanella virchowii	Botryostrobus tumidulus	Rhizosphaera antarctica	Phormostichoartus crustula	Eucyrtidium acuminatum	Spongotrochus glacialis	Sphaeropyle langii	Siphostichartus scalaris	Pterocanium auritum	Cycladophora craspedota	Lamprocyrtis neoheteroporos	Cycladophora davisiana davisiana	Stylodictya validispina	Comment



  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  1	H	CC	  12.00	      4.4700	Caulet   	Radiolarians                                 	A              	M                 	A                     	A                         	A                       	                         	                         	                     	                   	                             	                           	A                   	A                     	                       	                           	A                  	                   	                         	                       	                         	                    	                       	                       	                          	                      	A                      	                  	                        	                   	                       	                           	A                               	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  2	H	CC	  24.00	     14.5300	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	+                          	+                   	+                     	+                      	                           	+                  	+                  	                         	+                      	                         	+                   	+                      	+                      	+                         	                      	                       	+                 	+                       	                   	+                      	                           	+                               	+                      	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  3	H	CC	  23.00	     24.0000	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	                           	+                   	+                     	+                      	                           	+                  	+                  	                         	+                      	                         	                    	+                      	+                      	                          	                      	                       	+                 	                        	                   	+                      	+                          	+                               	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  4	H	CC	  20.00	     33.3900	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	+                          	+                   	+                     	+                      	                           	+                  	+                  	                         	+                      	                         	+                   	+                      	+                      	+                         	                      	                       	                  	                        	                   	                       	+                          	+                               	                       	from IR. Ch 16. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1022	A	  5	H	CC	  19.00	     42.9100	Caulet   	Radiolarians                                 	F              	G                 	+                     	+                         	+                       	                         	+                        	+                    	+                  	+                            	                           	+                   	+                     	+                      	                           	+                  	+                  	                         	+                      	                         	                    	                       	+                      	                          	                      	                       	+                 	+                       	                   	+                      	+                          	+                               	                       	from IR. Ch 16. Table 7.

