Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia opima nana,Globigerina spp.,Catapsydrax dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P15               ,              ,124, 770,C,  1,R, 2,  92.00,    386.2200,Nederbragt,Planktonic Foraminifers                      ,R              ,                  ,R                      ,A               ,A                     ,ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163
,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P15               ,              ,124, 770,C,  1,R, 4,   2.00,    388.2500,Nederbragt,Planktonic Foraminifers                      ,R              ,                  ,                       ,A               ,                      ,ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163
,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,P15               ,              ,124, 770,C,  1,R,CC,  16.00,    393.0300,Nederbragt,Planktonic Foraminifers                      ,C              ,                  ,T                      ,A               ,A                     ,ichthyoliths & ben.forams occurred same sample from ODP Leg 124 SR Chapter 11 Table 2 p 163
,,,,,,,,,,,,,,,,,,,,
