Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zelkova taxa,Ulmus taxa,Tsuga taxa,Tilia taxa,Taxodiaceae taxa,Rhus taxa,Quercus (evergreen) taxa,Quercus (deciduous)  taxa,Pterocarya taxa,Pinus taxa,Picea taxa,Pasania  taxa,Metasequoia  taxa,Liquidambar taxa,Larix taxa,Gramineae taxa,Fagus taxa,Ericaceae taxa,Ephedra taxa,Dacrydium taxa,Corylus taxa,Castanea taxa,Carya taxa,Carpinus taxa,Alnus taxa,Acer taxa,Juglans taxa,Betula taxa,Abies taxa,Aesculus  taxa,Cupressaceae taxa,Chenopodiaceae taxa,Sparganium taxa,Patrinia taxa,Nyssa  taxa,Fupingopollenites taxa,Alangium  taxa,Engelhardia taxa,Celtis taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B,  9,R, 1,  74.00,    376.7400,Yamanoi  ,Pollen/Spores                                ,               ,                  ,3.0%        ,3.0%      ,9         ,          ,10.5%           ,         ,24.5%                   ,5.0%                     ,5.5%           ,15        ,46        ,3.5%         ,4.0%             ,.5%             ,          ,              ,12.5%     ,              ,1.5%        ,              ,.5%         ,.5%          ,10.5%     ,3.5%         ,3.5%      ,1.0%     ,            ,4.0%       ,          ,              ,                 ,2.0%               ,               ,             ,           ,                      ,              ,                ,1.0%       ,in assemblage of 100 grains others indicated-30 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 12,R, 2, 116.00,    407.5600,Yamanoi  ,Pollen/Spores                                ,               ,                  ,2.5%        ,4.5%      ,5         ,.5%       ,7.0%            ,         ,18.5%                   ,9.0%                     ,5.5%           ,26        ,20        ,9.5%         ,1.5%             ,2.0%            ,.5%       ,              ,20.5%     ,              ,            ,.5%           ,.5%         ,4.0%         ,2.5%      ,3.5%         ,1.0%      ,1.5%     ,.5%         ,3.0%       ,          ,              ,1.0%             ,.5%                ,               ,             ,           ,                      ,              ,                ,           ,in assemblage of 100 grains others indicated-49 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 13,R, 2,  73.00,    416.7300,Yamanoi  ,Pollen/Spores                                ,               ,                  ,1.5%        ,2.0%      ,3         ,1.5%      ,3.0%            ,         ,28.0%                   ,7.0%                     ,5.0%           ,24        ,10        ,5.5%         ,                 ,3.0%            ,1.5%      ,.5%           ,24.5%     ,.5%           ,.5%         ,              ,            ,3.0%         ,6.0%      ,2.0%         ,1.5%      ,.5%      ,            ,1.0%       ,          ,              ,1.0%             ,                   ,               ,             ,           ,                      ,              ,1.0%            ,           ,in assemblage of 100 grains others indicated-63 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 14,R, 2,  71.00,    426.4100,Yamanoi  ,Pollen/Spores                                ,               ,                  ,.5%         ,3.0%      ,5         ,          ,3.0%            ,.5%      ,13.5%                   ,16.0%                    ,4.0%           ,12        ,36        ,4.5%         ,2.0%             ,4.0%            ,1.0%      ,              ,23.0%     ,              ,1.0%        ,.5%           ,            ,1.0%         ,8.0%      ,4.5%         ,1.0%      ,1.5%     ,1.5%        ,2.0%       ,          ,.5%           ,                 ,.5%                ,.5%            ,.5%          ,.5%        ,1.0%                  ,.5%           ,                ,           ,in assemblage of 100 grains others indicated-47 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478
