Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbellosphaera irregularis	Syracosphaera pulchra	Sphenolithus abies/neoabies	Scapholithus fossilis	Rhabdosphaera clavigera	Pontosphaera sp.	Pontosphaera japonica	Oolithotus fragilis	Helicosphaera kamptneri	Gephyrocapsa spp. small (<3.5 microns)	Gephyrocapsa spp. large (>5.5 microns)	Gephyrocapsa oceanica (4-5.5 microns)  	Discoaster variabilis	Discoaster sp.	Discoaster brouweri	Cribrocentrum sp.	Coccolithus pelagicus	Ceratolithus sp.	Ceratolithus cristatus	Calcidiscus leptoporus	Discoaster surculus	Discoaster pentaradiatus	Discoaster quinqueramus	Reticulofenestra pseudoumbilica (>7microns)	Calcidiscus macintyrei	Ceratolithus telesmus	Discosphaera tubifera	Umbilicosphaera mirabilis	Emiliania huxleyi	Pseudoemiliania lacunosa	Pontosphaera discopora	Dictyococcites sp.	Comment



  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  1	H	 1	 110.00	      1.1000	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rA                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	                                      	C                                      	rS                   	rS            	rS                 	                 	R                    	S               	C                     	C                     	rR                 	rS                      	rS                     	                                           	                      	R                    	                     	                         	A                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  1	H	 3	 114.00	      4.1400	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rA                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	                                      	C                                      	rS                   	rS            	rS                 	                 	R                    	S               	R                     	C                     	rR                 	rS                      	rS                     	                                           	                      	R                    	                     	                         	A                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  2	H	 1	  92.00	      6.8200	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rA                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rS                   	rS            	rS                 	                 	R                    	S               	R                     	C                     	rR                 	rS                      	rS                     	                                           	                      	R                    	                     	S                        	A                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

  SR	Late Pleistocene 	                 	CN15              	              	134	 832	A	  2	H	 4	  72.00	     11.1200	Staerker 	Nannofossils                                 	               	                  	rS                        	C                    	rA                         	rC                   	C                      	S               	C                    	                   	S                      	A                                     	S                                     	C                                      	rS                   	rS            	rS                 	                 	R                    	S               	R                     	C                     	rR                 	rS                      	rS                     	                                           	                      	R                    	                     	S                        	A                	                        	                      	                  	from ODP Leg 134 SR Chapter 10 Table 7 p. 211

