Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stensioina beccariiformis	Spiroplectammina grzybowskii	Pullenia cretacea	Praebulimina spinata	Praebulimina reussi	Pleurostomella sp.	Osangularia sp.	Osangularia cordieriana	Notoplanulina aff. compressa	Lenticulina macrodisca	Gyroidinoides quadratus	Gyroidinoides nitidus	Gyroidinoides globosa	Globorotalites umbilicatus	Gavelinella velascoensis	Gavelinella sp. 2	Gavelinella sandidgei	Gavelinella eriksdalensis	Ellipsopolymorphina sp.	Ellipsoglandulina sp.	Dentalina sp.	Coryphostoma midwayensis	Anomalinoides sp.	Agglutinated sp.	Pyramidina sp. 1	Pleurostomella zuberi	Pleurostomella subnodosa	Oolina sp.	Notoplanulina rakauroana	Nodosaria aff. affinis	Lenticulina sp. 1	Gyroidina noda	Gavelinella sp. 1	Pyramidina triangularis	Osangularia velascoensis	Marssonella oxycona	Lenticulina navicula	Guttulina adhaerens	Globorotalites sp.	Dentalina marcki	Dentalina gracilis	Dentalina basitorta	Bolivinopsis rosula	Pyrulina aff. apiculata	Oolina apiculata	Aragonia sp. 1	Pyramidina sp. 2	Pullenia americana	Praebulimina cf. prolixa	Marginulina sp. 2	Gyroidinoides sp. 1	Glandulina manifesta	Frondicularia aff. steinecki	Dentalina sp B	Dentalina luma	Cibicides ribbingi	Dentalina sp. 2	Valvulineria lenticula	Stilostomella alexanderi	Quadrimorphina halli	Ceratobulimina cretacea	Alabamina dorsoplana	Stilostomella sp.	Nuttallinella coronula	Globulina lacrima	Glandulina sp.	Gavelinella stephensoni	Ellipsoidella solida	Dentalina inornata	Lagena sp.	Fissurina sp.	Osangularia texana	Marginulina sp.	Gyroidinoides goudkoffi	Arenobulimina americana	Gaudryina sp.	Frondicularia sp.	Ellipsoidella gracillima	Ellipsoglandulina velascoensis	Dentalina basiplanata	Stilostomella pseudoscripta	Dentalina sororia	Pyramidina szajnochae	Dentalina confluens	Saracenaria sp.	Ramulina sp.	Pleurostomella binaria	Oolina globosa	Nodosaria limbata	Marginulina curvatura	Gyroidinoides diversus	Guttulina sp.	Dorothia confraga	Praebulimina sp.	Gyroidinoides sp.	Bolivinoides granulatus	Stilostomella stephensoni	Conorboides sp.	Vaginulina sp.	Praebulimina aspera	Gyroidinoides concinna	Globimorphina sp.	Alabamina australis obscura	Quadrimorphina sp. 1	Lagena semiinterrupta	Praebulimina sp. 1	Marginulina bullata	Patellina subcretacea	Dentalina catenula	Alabamina australis	Gyroidinoides cf. nonionoides	Lenticulina sp. 2	Lagena grahami	Eouvigerina sculptura	Dentalina aff. consobrina	Charltonina ripleyensis	Bolivinoides draco draco	Bolivina  aff. pondi	Comment



  SR	                 	                 	                  	              	120	 750	A	 15	R	 3	 124.00	    350.3400	Quilty   	Benthic Foraminifers                         	               	                  	+                        	+                           	+                	                    	+                  	                  	               	                       	                            	+                     	+                      	                     	                     	+                         	+                       	                 	                     	+                        	+                      	                     	             	                        	+                	                	                	                     	                        	          	                        	+                     	                 	+             	+                	                       	                        	                   	                    	                   	                  	                	                  	                   	+                  	                       	                	              	                	+                 	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	+                	+                     	                 	              	                       	                    	+                 	+         	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	+                     	             	+                	                	                 	+                      	                         	               	              	                   	                      	                 	                           	                    	                     	                  	+                  	                     	+                 	+                  	                             	+                	+             	+                    	+                        	+                      	+                       	+                   	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 16	R	 2	  28.00	    357.5800	Quilty   	Benthic Foraminifers                         	               	                  	+                        	+                           	                 	                    	                   	                  	               	+                      	                            	                      	                       	+                    	                     	                          	+                       	                 	                     	                         	                       	                     	             	                        	                 	                	                	                     	                        	          	                        	                      	                 	              	                 	+                      	                        	                   	                    	                   	                  	                	                  	+                  	                   	                       	                	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	                     	+                 	+                  	+                            	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 16	R	 3	  28.00	    359.0800	Quilty   	Benthic Foraminifers                         	               	                  	+                        	                            	                 	                    	                   	                  	               	                       	                            	+                     	                       	+                    	                     	+                         	                        	                 	                     	                         	                       	                     	             	+                       	                 	                	                	                     	                        	          	                        	                      	                 	              	+                	                       	                        	                   	                    	                   	                  	                	                  	                   	                   	                       	+               	              	                	                  	                        	                 	                   	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	                 	+                     	                 	              	                       	                    	                  	          	             	                  	               	+                      	                       	             	                 	                        	                              	                     	                           	+                	                     	                   	               	            	                      	              	                 	                     	+                     	             	+                	                	+                	                       	                         	               	              	                   	                      	                 	                           	                    	                     	                  	                   	+                    	+                 	+                  	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	A	 16	R	 4	  28.00	    360.5800	Quilty   	Benthic Foraminifers                         	               	                  	+                        	+                           	+                	                    	+                  	                  	               	+                      	                            	                      	+                      	                     	                     	+                         	+                       	                 	                     	                         	                       	                     	             	                        	+                	                	                	                     	                        	          	                        	+                     	                 	+             	                 	D                      	                        	                   	                    	                   	                  	+               	                  	                   	                   	                       	                	              	                	                  	                        	                 	+                  	                    	                            	              	              	                  	               	                      	                        	                    	                       	                    	+                	                      	                 	              	                       	                    	                  	          	             	                  	               	                       	                       	             	                 	                        	                              	                     	                           	                 	                     	                   	               	            	                      	              	                 	                     	                      	             	                 	                	                 	                       	                         	               	              	                   	                      	                 	                           	+                   	                     	+                 	+                  	                     	                  	                   	                             	                 	              	                     	                         	                       	                        	                    	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412
