Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia ampliapertura	Subbotina gortanii	Paragloborotalia opima nana	Globoquadrina tripartita	Chiloguembelina cubensis	Cassigerinella chipolensis	Globigerina ciperoensis	Paragloborotalia opima opima	Globigerina angulisuturalis	Paragloborotalia pseudokugleri	Globoquadrina binaiensis	Catapsydrax dissimilis	Paragloborotalia kugleri	Globoquadrina dehiscens	Globigerinoides trilobus	Dentoglobigerina altispira	Catapsydrax unicavus	Jenkinsella siakensis	Paragloborotalia mayeri	Globigerinoides altiapertura	Globorotalia praescitula	Globorotalia peripheroronda	Globigerinatella insueta	Praeorbulina sicana	Praeorbulina glomerosa	Globigerinoides ruber	Orbulina universa	Orbulina suturalis	Globorotalia peripheroacuta	Zeaglobigerina nepenthes	Globigerinoides sacculifer	Globigerinoides obliquus	Sphaeroidinellopsis seminulina	Globorotalia plesiotumida	Neogloboquadrina acostaensis	Globigerinoides extremus	Globigerinoides conglobatus	Sphaeroidinellopsis kochi	Sphaeroidinella dehiscens	Globorotalia tumida	Pulleniatina (S)	Globorotalia multicamerata	Globorotalia tosaensis	Globigerinoides fistulosus	Pulleniatina obliquiloculata	Globorotalia inflata	Globorotalia truncatulinoides	Globorotalia menardii	Neogloboquadrina dutertrei	Globorotalia crassaformis	Globigerinoides ruber (pink)	Comment



  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  1	H	CC	   7.00	      0.6700	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	F                           	F                   	P                            	F                    	A                         	                         	                            	<0.12 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  2	H	CC	  15.00	     10.3700	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	F                           	F                   	R                            	F                    	A                         	                         	F                           	>0.12 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  3	H	CC	   6.00	     19.8500	forams   	Planktonic Foraminifers                      	A              	M                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	F                           	F                   	R                            	F                    	A                         	                         	P                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1148	A	  4	H	CC	  30.00	     29.4600	forams   	Planktonic Foraminifers                      	A              	G                 	                          	                  	                           	                        	                        	                          	                       	                            	                           	                              	                        	                      	                        	                       	                        	                          	                    	                     	                       	                            	                        	                           	                        	                   	                      	A                    	                 	                  	                           	                        	                          	                        	                              	                         	                            	                        	                           	                         	                         	                   	                	                          	                      	                          	F                           	F                   	                             	R                    	A                         	                         	                            	>0.4 Ma
