Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina ciperoensis,Praeorbulina sicana,Catapsydrax dissimilis,Fohsella birnageae,Praeorbulina curva,Globigerinatella insueta,Paragloborotalia mayeri,Dentoglobigerina altispira,Fohsella peripheroacuta,Fohsella lobata,Fohsella fohsi fohsi,Globorotalia plesiotumida,Globoturborotalita nepenthes,Neogloboquadrina acostaensis,Globorotalia pseudomiocenica,Globigerinoides extremus,Globorotalia lenguaensis,Globorotalia (Hirsutella) cibaoensis,Globorotalia tumida,Menardella miocenica,Globorotalia margaritae,Globigerinoides fistulosus,Truncorotalia truncatulinoides,Truncorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,Pt1a              ,Pt1b          ,194,1195,B,  1,H,CC,  10.00,      8.3600,planks   ,Planktonic Foraminifers                      ,A              ,VG                ,                       ,                   ,                      ,                  ,                  ,                        ,                       ,                          ,                       ,               ,                    ,                         ,                            ,                            ,                            ,                        ,                        ,                                    ,                   ,                    ,                       ,                          ,R                             ,F                      ,Lower N23 (>0.6 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,Pt1a              ,Pt1b          ,194,1195,B,  2,H,CC,   9.00,     17.4900,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                   ,                      ,                  ,                  ,                        ,                       ,                          ,                       ,               ,                    ,                         ,                            ,                            ,                            ,                        ,                        ,                                    ,                   ,                    ,                       ,                          ,F                             ,F                      ,Lower N23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,PL6 - IndoPac     ,Pt1a          ,194,1195,B,  3,H,CC,  12.00,     27.2300,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                   ,                      ,                  ,                  ,                        ,                       ,                          ,                       ,               ,                    ,                         ,                            ,                            ,                            ,F                       ,                        ,                                    ,                   ,                    ,                       ,F                         ,                              ,                       ,N22-N21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,PL2               ,Pl1b          ,194,1195,B,  6,H,CC,  16.00,     55.5500,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                   ,                      ,                  ,                  ,                        ,                       ,A                         ,                       ,               ,                    ,                         ,R                           ,                            ,                            ,                        ,                        ,                                    ,F                  ,R                   ,R                      ,                          ,                              ,                       ,Base N20. No Gds.fistulosus.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
