Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
355-U1456B-1H,0,69,0,0.69,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-1H-1-A,0,9,0,0.09,,,nannofossil ooze,,nannofossil ooze,,,brown,10YR 6/4 (light yellowish brown),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,gradational,horizontal,thinly bedded,,,,,,,,,,,,
355-U1456B-1H-1-A,9,24,0.09,0.24,,,nannofossil ooze,,nannofossil ooze,,,brown,10YR 7/4 (very pale brown),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,gradational,horizontal,medium bedded,,,,,,,,,,,,
355-U1456B-1H-1-A,24,42,0.24,0.42,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,
355-U1456B-1H-CC-A,0,22,0.42,0.64,,,silt,with sand,silt with sand,,,white,10YR 6/1 (gray),,silt,2,fine sand,4,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,
355-U1456B-2H,0,907,0.6,9.67,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-1-A,0,18,0.6,0.78,,,clay,with silt,clay with silt,,,green,GLEY 1 4/10Y (dark greenish gray),70,clay,1,silt,2,,,silt,with sand,silt,silt with sand,silt with sand,,GLEY 1 4/10Y (dark greenish gray),30,silt,2,very fine sand,3,,100,erosive,scoured,,,,,,,,,,,,,,
355-U1456B-2H-1-A,18,58,0.78,1.18,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,light green,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,erosive,scoured,,,,,,,,,,,,,,
355-U1456B-2H-1-A,58,98,1.18,1.58,,nannofossil rich,clay,with foraminifers,nannofossil rich clay with foraminifers,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-1-A,98,124,1.58,1.84,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-2-A,0,17,2.1,2.27,,nannofossil rich,clay,with foraminifers,nannofossil rich clay with foraminifers,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-2-A,17,35,2.27,2.45,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,white,GLEY 1 7/10Y (light greenish grey),70,,,,,,,silt,with clay,silt,silt with clay,silt with clay,brown,GLEY 1 5/10Y (greenish gray),30,,,,,,100,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-2-A,35,113,2.45,3.23,,,nannofossil ooze,,nannofossil ooze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-3-A,0,23,3.6,3.83,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-3-A,23,40,3.83,4,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,erosive,scoured,,,,,,,,,,,,,,
355-U1456B-2H-3-A,40,50,4,4.1,,nannofossil rich,silt,with foraminifers,nannofossil rich silt with foraminifers,,,green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,erosive,wavy,,,,,,,,,,,,,,
355-U1456B-2H-3-A,50,114,4.1,4.74,,nannofossil rich,clay,with foraminifers,nannofossil rich clay with foraminifers,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-4-A,0,9,5.1,5.19,,,silt,with foraminifers,silt with foraminifers,,,green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-4-A,9,78,5.19,5.88,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-4-A,78,99,5.88,6.09,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-4-A,99,114,6.09,6.24,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-5-A,0,113,6.6,7.73,,,nannofossil ooze,,nannofossil ooze,,,,,,,,,,,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-5-A,113,116,7.73,7.76,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-6-A,0,11,8.1,8.21,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-6-A,11,54,8.21,8.64,,,nannofossil ooze,with foraminifers,nannofossil ooze with foraminifers,,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,,,,,,,,,bioturbated,bioturbated,,,,,,,,,,,,,,
355-U1456B-2H-6-A,54,103,8.64,9.13,,nannofossil rich,clay,with foraminifers,nannofossil rich clay with foraminifers,,,green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-2H-CC-A,0,18,9.48,9.66,,nannofossil rich,clay,with foraminifers,nannofossil rich clay with foraminifers,,,green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-3H,0,960,10.1,19.7,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456B-3H-1-A,0,10,10.1,10.2,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,gradational,,,,,,,,,,,,,,
355-U1456B-3H-1-A,10,81,10.2,10.91,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),10,silt,2,silt,2,,100,erosive,scoured,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-1-A,81,114,10.91,11.24,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 5/10Y (greenish gray),90,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),10,silt,2,silt,2,,100,,,,,,,,,,,,,,,,
355-U1456B-3H-2-A,0,16,11.6,11.76,,nannofossil rich,clay,,nannofossil rich clay,,normal grading,green,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),20,silt,2,silt,2,,100,gradational,gradational,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-2-A,16,23,11.76,11.83,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),80,clay,1,clay,1,,foraminifer rich,sand,,foraminifer rich sand,foraminifer rich sand,sand,gray,GLEY 1 3/10Y (very dark greenish gray),20,fine sand,4,fine sand,4,,100,erosive,scoured,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-2-A,23,52,11.83,12.12,,nannofossil rich,clay,,nannofossil rich clay,,normal grading,green,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,green,GLEY 1 4/10Y (dark greenish gray),30,silt,2,silt,2,,100,erosive,scoured,,thinly bedded,normally graded,,,,,,,,,,,
355-U1456B-3H-2-A,52,65,12.12,12.25,,nannofossil rich,clay,,nannofossil rich clay,,,green,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,,,,,,,,
355-U1456B-3H-2-A,65,75,12.25,12.35,,foraminifer rich,sand,,foraminifer rich sand,,,gray,GLEY 1 3/10Y (very dark greenish gray),,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,,gradational,gradational,,medium bedded,,,,,,,,,,,,
