Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita humilis,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis (sin.),Orbulina universa,Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia merotumida,Globorotalia menardii (sin.),Globorotalia menardii (dex.),Globorotalia margaritae,Globorotalia juanai,Globorotalia cibaoensis,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina baroemoenensis,Globigerinoides sacculifer (without sack),Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinoides extremus,Globigerinita uvula,Globigerinita glutinata,Globigerinella obesa,Globigerinella aequilateralis,Globigerina woodi,Globigerina nepenthes,Globigerina bulloides,Globigerina apertura,Dentoglobigerina altispira,Globorotalia theyeri,Neogloboquadrina dutertrei,Globorotalia limbata (sin.),Globorotalia limbata (dex.),Globigerina falconensis (?),Globorotalia tumida,Candeina nitida,Beella praedigitata,Sphaeroidinella dehiscens,Pulleniatina primalis (dex.),Globorotalia miocenica,Globigerinoides ruber (white),Globorotalia anfracta,Globorotalia puncticulata,Globorotalia inflata,Globorotalia ungulata,Globorotalia tosaensis,Globoquadrina conglomerata,Globigerinella calida,Tenuitellid taxa,Globigerina rubescens,Globigerina quinqueloba,Globorotalia truncatulinoides,Globorotalia crassula,Pulleniatina obliquiloculata,Globigerinoides tenellus,Globigerinoides fistulosus,Globorotalia crassaformis,Globigerinoides ruber (pink),Turborotalita quinqueloba,P-D intergrade,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia truncatulinoides (sin.),Globorotalia truncatulinoides (dex.),Globorotalia menardii,Globorotalia hirsuta,Globorotalia flexuosa,Globoquadrina hexagona,Globigerinoides sacculifera (with sack),Globigerinoides conglobatus,Globigerina falconensis,Globigerina digitata,Globigerina calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1,   0.00,      0.0000,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.6%              ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,1.7%                                     ,                          ,                        ,                        ,                   ,1.7%                   ,                    ,.6%                          ,                 ,                     ,1.9%                 ,                    ,                          ,.0%                 ,73.4%                     ,                           ,                           ,                           ,.2%                ,               ,                   ,.0%                      ,                            ,                      ,2.1%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.0%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.4%                         ,.0%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,4.7%          ,.4%                                    ,3.6%                                 ,.0%                                 ,.0%                                 ,6.1%                 ,.0%                 ,.0%                  ,.2%                   ,1.3%                                   ,.0%                        ,.0%                    ,1.1%                ,.0%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1,  17.00,      0.1700,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.0%              ,                                  ,                                  ,                         ,                            ,                        ,.0%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,1.8%                                     ,                          ,                        ,                        ,                   ,2.0%                   ,                    ,1.3%                         ,                 ,                     ,4.3%                 ,                    ,                          ,.0%                 ,59.5%                     ,                           ,                           ,                           ,.0%                ,               ,                   ,.0%                      ,                            ,                      ,3.3%                         ,.0%                  ,                         ,.0%                 ,                     ,                      ,.3%                       ,                     ,                ,.0%                  ,                       ,                             ,                     ,.5%                         ,.3%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,11.7%         ,.0%                                    ,7.3%                                 ,.0%                                 ,.0%                                 ,3.8%                 ,.0%                 ,.0%                  ,1.3%                  ,1.3%                                   ,.0%                        ,.3%                    ,.3%                 ,.5%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1,  28.00,      0.2800,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,.3%              ,                                  ,                                  ,                         ,                            ,                        ,.3%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,2.0%                                     ,                          ,                        ,                        ,                   ,2.5%                   ,                    ,1.1%                         ,                 ,                     ,7.8%                 ,                    ,                          ,.0%                 ,49.0%                     ,                           ,                           ,                           ,.0%                ,               ,                   ,.6%                      ,                            ,                      ,5.9%                         ,.0%                  ,                         ,.3%                 ,                     ,                      ,.3%                       ,                     ,                ,.6%                  ,                       ,                             ,                     ,.3%                         ,.3%                     ,                          ,.0%                      ,.0%                         ,.0%                      ,13.1%         ,.0%                                    ,5.0%                                 ,.0%                                 ,.0%                                 ,5.0%                 ,.0%                 ,.0%                  ,.6%                   ,1.4%                                   ,.3%                        ,2.0%                   ,.0%                 ,1.4%              ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 847,B,  1,H, 1,  45.00,      0.4500,Farrell  ,Planktonic Foraminifers                      ,               ,                  ,                     ,                              ,                                  ,                            ,1.5%             ,                                  ,                                  ,                         ,                            ,                        ,.4%                 ,                         ,                       ,                            ,                            ,                       ,                   ,                       ,                         ,                       ,                            ,3.3%                                     ,                          ,                        ,                        ,                   ,2.6%                   ,                    ,.4%                          ,                 ,                     ,12.9%                ,                    ,                          ,.0%                 ,44.9%                     ,                           ,                           ,                           ,.4%                ,               ,                   ,.0%                      ,                            ,                      ,5.2%                         ,.0%                  ,                         ,1.1%                ,                     ,                      ,.7%                       ,                     ,                ,.4%                  ,                       ,                             ,                     ,2.2%                        ,.4%                     ,                          ,1.5%                     ,.0%                         ,.0%                      ,12.5%         ,.0%                                    ,.0%                                  ,.0%                                 ,.0%                                 ,7.4%                 ,.0%                 ,.0%                  ,.0%                   ,1.1%                                   ,.0%                        ,.0%                    ,.0%                 ,.7%               ,from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
