Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Dictyococcites bisectus,Chiasmolithus altus,Cyclicargolithus floridanus,Sphenolithus moriformis,Helicosphaera intermedia,Discoaster deflandrei,Cyclicargolithus abisectus,Coccolithus pelagicus,Coccolithus miopelagicus,Discoaster spp.,Calcidiscus leptoporus,Pontosphaera spp.,Calcidiscus premacintyrei,Calcidiscus macintyrei,Reticulofenestra spp.,Discoaster kugleri,Reticulofenestra gelida,Reticulofenestra pseudoumbilica,Helicosphaera spp.,Reticulofenestra perplexa,Discoaster surculus,Triquetrorhabdulus rugosus,Gephyrocapsa > 4.5,Pseudoemiliania lacunosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C,  1,H,CC,   6.00,      9.6500,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                   ,                           ,                       ,                        ,                     ,                          ,                     ,                        ,               ,                      ,                 ,                         ,                      ,                     ,                  ,                       ,                               ,                  ,                         ,                   ,                          ,C                 ,C                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C,  2,H,CC,   8.00,     19.2400,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                   ,                           ,                       ,                        ,                     ,                          ,                     ,                        ,               ,C                     ,                 ,                         ,                      ,                     ,                  ,                       ,                               ,                  ,                         ,                   ,                          ,A                 ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C,  3,H,CC,  17.00,     28.5600,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                   ,                           ,                       ,                        ,                     ,                          ,                     ,                        ,               ,C                     ,                 ,                         ,F                     ,                     ,                  ,                       ,                               ,                  ,                         ,                   ,                          ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C,  4,H,CC,  14.00,     37.8000,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                   ,                           ,                       ,                        ,                     ,                          ,                     ,                        ,               ,C                     ,                 ,                         ,R                     ,                     ,                  ,C                      ,                               ,                  ,                         ,                   ,                          ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,C,  5,H,CC,  17.00,     47.8600,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                   ,                           ,                       ,                        ,                     ,                          ,                     ,                        ,               ,C                     ,                 ,                         ,C                     ,                     ,                  ,A                      ,                               ,                  ,                         ,                   ,                          ,                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
