Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongaster (unspecified taxon or taxa),Eucyrtidium (unspecified taxon or taxa),Carpocanistrum (unspecified taxon or taxa),Spongaster tetras tetras,Botryostrobus auritus/australis,Axoprunum angelinum,Amphirhopalum ypsilon,Didymocyrtis tetrathalamus,Tetrapyle octacantha,Lamprocyclas maritalis maritalis,Dictyophimus hirundo group.,Theocorythium trachelium dianae,Dictyocoryne truncatum,Stylochlamidium asteriscus,Hymeniastrum euclidis,Spongocore puella,Plectopyramis dodecomma,Spongaster tetras,Pterocanium praetextum,Druppatractus acquilonius,Euchitonia furcata,Peripyramis circumtexta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B,  9,R,CC,  19.00,    463.7900,Aitchison,Radiolarians                                 ,R              ,M                 ,                                      ,R                                      ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,R                 ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 10,R,CC,   0.00,    474.2600,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,R                                      ,                                          ,                        ,                               ,                   ,                     ,                          ,R                   ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,R                      ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 13,R,CC,   8.00,    504.8000,Aitchison,Radiolarians                                 ,C              ,M                 ,                                      ,R                                      ,                                          ,                        ,                               ,                   ,F                    ,R                         ,R                   ,                                ,                           ,                               ,                      ,F                         ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,R                      ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 16,R,CC,   8.00,    531.6500,Aitchison,Radiolarians                                 ,R              ,P                 ,R                                     ,                                       ,                                          ,                        ,                               ,                   ,                     ,                          ,                    ,                                ,                           ,                               ,                      ,                          ,                     ,                 ,                       ,                 ,                      ,                         ,                  ,                       ,from ODP Leg 126 SR Chapter 21 Table 6 p 326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
