Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globigerinoides obliquus obliquus	Globigerina nepenthes	Globigerina decoraperta	Globorotalia merotumida	Globorotalia margaritae	Globorotalia cibaoensis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinita glutinata	Neogloboquadrina acostaensis (dextral)	Globigerinoides obliquus extremus	Globorotaloides hexagona	Globorotalia scitula	Globorotalia plesiotumida	Globorotalia conomiozea	Globigerinella aequilateralis	Globigerina bulloides	Pulleniatina praecursor	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina humerosa	Globorotalia puncticulata	Globorotalia limbata	Globorotalia crassaformis crassaformis	Globigerinoides conglobatus	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis (sinistral)	Globorotalia tumida	Globorotalia menardii	Globigerina apertura	Globorotalia multicamerata	Globorotalia miocenica	Globigerinoides ruber (white)	Globigerina falconensis	Globorotalia exilis	Globorotalia crassula	Sphaeroidinella dehiscens	Globorotalia pertenuis	Beella digitata	Globorotalia tosaensis	Globigerinella obesa	Pulleniatina obliquiloculata	Globorotalia inflata	Globigerina rubescens	Globorotalia crassaformis hessi	Globigerinoides tenellus	Globorotalia truncatulinoides	Globorotalia crassaformis viola	Globigerina quinqueloba	Globigerinoides ruber (pink)	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 657	A	  1	H	CC	   9.00	      7.0500	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	A                                    	                                 	                     	                       	                       	                       	                       	                       	R                       	R                         	R                      	F                                     	                                 	                        	R                   	                         	                       	R                            	R                    	                       	                                       	                         	                         	                    	R                                     	                           	                          	                                        	                   	                     	                    	                          	                      	F                            	                       	                   	R                    	                         	                      	R              	                      	                    	                            	C                   	                     	                               	                        	F                            	                               	                       	R                           	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	G. truncatulinoides	              	108	 657	A	  2	H	CC	  11.00	     16.8400	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	A                                    	                                 	                     	                       	                       	                       	                       	                       	                        	R                         	R                      	F                                     	                                 	                        	R                   	                         	                       	R                            	F                    	                       	                                       	                         	                         	                    	R                                     	R                          	                          	                                        	R                  	R                    	                    	                          	                      	F                            	                       	                   	                     	                         	                      	               	                      	                    	                            	R                   	                     	                               	                        	R                            	                               	R                      	R                           	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	G. truncatulinoides	              	108	 657	A	  3	H	CC	   9.00	     26.3300	Weaver   	Planktonic Foraminifers                      	C              	M                 	                              	R                	A                                    	                                 	                     	                       	                       	                       	                       	                       	R                       	R                         	R                      	F                                     	                                 	                        	R                   	                         	                       	R                            	C                    	                       	                                       	                         	                         	                    	R                                     	                           	                          	                                        	                   	R                    	                    	                          	                      	F                            	                       	                   	                     	R                        	                      	               	                      	                    	R                           	F                   	R                    	                               	                        	R                            	                               	R                      	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77

  SR	                 	                 	G. truncatulinoides	              	108	 657	A	  4	H	CC	   3.00	     35.7200	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	A                                    	                                 	                     	                       	                       	                       	                       	                       	R                       	R                         	R                      	F                                     	                                 	                        	                    	                         	                       	R                            	                     	                       	                                       	                         	                         	                    	R                                     	                           	                          	                                        	R                  	R                    	                    	                          	                      	R                            	                       	                   	                     	                         	                      	               	                      	                    	                            	F                   	R                    	R                              	                        	R                            	                               	R                      	                            	from ODP Leg 108 SR Chapter 5 Table 3 p 77
