Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Isthmolithus recurvus,Dictyococcites bisectus,Reticulofenestra dictyoda,Discoaster saipanensis,Dictyococcites scrippsae,Coccolithus pelagicus,Coccolithus formosus,Coccolithus eopelagicus,Reticulofenestra hillae,Discoaster nodifer,Cyclicargolithus floridanus,Chiasmolithus oamaruensis,Discoaster tanii ornatus,Discoaster deflandrei,Clausicoccus subdistichus,Zygrhablithus bijugatus,Transversopontis pulcher,Discoaster tanii,Chiasmolithus altus,Braarudosphaera bigelowii,Blackites spinosus,Sphenolithus moriformis,Reticulofenestra hampdenensis,Discoaster trinidadensis,Clausicoccus fenestratus,Reticulofenestra lockerii,Reticulofenestra orangensis,Helicosphaera compacta,Reticulofenestra minutula,Reticulofenestra haqii,Chiasmolithus expansus,Rhabdosphaera vitrea,Chiasmolithus solitus,Discoaster adamanteus,Coronocyclus nitescens,Discoaster ono,Discoaster calcaris,Sphenolithus predistentus,Cyclicargolithus abisectus,Umbilicosphaera sibogae,Syracosphaera pulchra,Sphenolithus neoabies,Helicosphaera kamptneri,Discoaster variabilis,Reticulofenestra pseudoumbilicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra minuta,Reticulofenestra gelida,Discoaster surculus,Discoaster brouweri,Discoaster berggrenii,Dictyococcites antarcticus,Discoaster tristellifer,Discoaster pentaradiatus,Discoaster exilis,Discoaster braarudii,Discoaster asymmetricus,Amaurolithus tricorniculatus,Amaurolithus primus,Amaurolithus delicatus,Triquetrorhabdulus rugosus,Sphenolithus abies,Helicosphaera carteri,Geminilithella rotula,Discoaster neohamatus,Discoaster loeblichii,Scyphosphaera spp.,Pontosphaera japonica,Discoaster triradiatus,Discoaster tamalis,Ceratolithus separatus,Pseudoemiliania lacunosa,Small Gephyrocapsa spp.,Rhabdosphaera clavigera,Helicosphaera sellii,Helicosphaera hyalina,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Gartnerago obliquum,Reticulofenestra asanoi,Gephyrocapsa aperta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1128,B,  1,H,CC,  14.00,      5.6300,Shafik   ,Nannofossils                                 ,C              ,VG                ,                         ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,R                    ,                                ,                      ,C                     ,                       ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,C                    ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,C                       ,                       ,R                      ,                    ,F                    ,C                    ,C                        ,                   ,F                      ,C                  ,D. variabilis is reworked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN19              ,NN19          ,182,1128,B,  2,H,CC,  21.00,     15.5000,Shafik   ,Nannofossils                                 ,C              ,VG                ,                         ,                     ,R                      ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,R                    ,                                ,                      ,C                     ,A                      ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,C                    ,                     ,                     ,                     ,F                 ,                     ,                      ,                  ,R                     ,C                       ,                       ,R                      ,R                   ,F                    ,A                    ,A                        ,R                  ,                       ,                   ,"Minor reworking from Cretaceous, Paleogene and Neogene"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19              ,NN19          ,182,1128,B,  3,H, 2,  18.00,     16.8800,Shafik   ,Nannofossils                                 ,C              ,M                 ,                         ,                     ,C                      ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,                         ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,C                     ,C                     ,A                      ,                       ,                   ,                   ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,C                    ,                     ,                     ,                     ,                  ,F                    ,                      ,                  ,                      ,C                       ,C                      ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,Very minor reworking from Paleogene.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN18          ,182,1128,B,  3,H,CC,  21.00,     23.1900,Shafik   ,Nannofossils                                 ,C              ,G                 ,                         ,                     ,                       ,                         ,                      ,                        ,C                    ,                    ,                       ,                       ,                  ,                           ,                         ,                        ,                     ,                         ,                       ,                        ,                ,                   ,                         ,                  ,                       ,                             ,                        ,                        ,                         ,                           ,                      ,A                        ,                      ,                      ,                    ,                     ,                     ,                      ,              ,                   ,                         ,                          ,                       ,                     ,                     ,                       ,                     ,                                ,C                     ,C                     ,A                      ,                       ,                   ,C                  ,                     ,                          ,                       ,                        ,                 ,                    ,                       ,                            ,                   ,                      ,                          ,                  ,                     ,                     ,                     ,                     ,                  ,                     ,                      ,                  ,                      ,C                       ,                       ,                       ,                    ,                     ,                     ,                         ,                   ,                       ,                   ,       
