leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
47,398,D,PLIOCENE,,271.0,280.5,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
47,398,D,UPPER MIOCENE,,318.5,328.0,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
47,398,D,UPPER MIOCENE,MIDDLE MIOCENE,366.0,375.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5,   16, 10.5,DSDP INITIAL REPORTS
47,398,D,MIDDLE MIOCENE,,394.5,442.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
47,398,D,LOWER MIOCENE,,451.5,461.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
47,398,D,LOWER MIOCENE,UPPER OLIGOCENE,470.5,480.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
47,398,D,LOWER MIOCENE,,489.5,499.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
47,398,D,LOWER MIOCENE,UPPER OLIGOCENE,508.5,518.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
47,398,D,UPPER OLIGOCENE,,527.5,565.5,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
47,398,D,MIDDLE OLIGOCENE,,565.5,575.0,,NO AGE GIVEN,,NO AGE GIVEN,   29,   32, 30.5,DSDP INITIAL REPORTS
47,398,D,LOWER OLIGOCENE,UPPER EOCENE,584.5,603.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   30,   43, 36.5,DSDP INITIAL REPORTS
47,398,D,UPPER EOCENE,,603.5,622.5,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
47,398,D,UPPER EOCENE,MIDDLE EOCENE,622.5,641.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 37.5,   49,43.25,DSDP INITIAL REPORTS
