Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia increbescens,Turborotalia cunialensis,Turborotalia cocoaensis,Turborotalia ampliapertura,Tenuitellinata angustiumbilicata,Tenuitella gemma,Subbotina (?) eocaena,Subbotina linaperta,Subbotina angiporoides,Pseudohastigerina spp.,Hantkenina alabamensis,Globigerina yeguaensis,Globigerina pseudovenezuelana,Globigerina ouachitaensis,Globigerina gortanii,Globigerina euapertura,Chiloguembelina cubensis,Chiloguembelina cf. C. martini,Catapsydrax unicavus,Catapsydrax dissimilis,Cassigerinella chipolensis,Paragloborotalia nana,Globoquadrina venezuelana,Turborotalia pomeroli,Turborotalia cerroazulensis,Globigerina tapuriensis,Globorotaloides suteri,Globigerina tripartita,Paragloborotalia opima,Globigerina sellii,Globigerina praebulloides,Globigerina ciperoensis,Globigerina angulisuturalis,Globigerinoides primordius,Globigerinita glutinata,Globigerinella obesa,Paragloborotalia semivera-mayeri group,Paragloborotalia pseudokugleri,Globoquadrina tripartita,Globoquadrina sellii,Globigerina officinalis,Globigerina fariasi,Globigerina ciperoensis ciperoensis,Orbulina universa,Orbulina suturalis,Orbulina bilobata,Globorotalia mayeri,Globorotalia fohsi lobata,Globorotalia fohsi fohsi,Globorotalia acrostoma,Globoquadrina dehiscens,Globoquadrina baroemoenensis,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides subquadratus,Globigerinoides quadrilobatus,Globigerinoides obliquus,Globigerina decoraperta,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis disjuncta,Globorotalia menardii,Globorotalia fohsi robusta,Globorotalia cf. praemenardii,Globigerinoides sacculifer,Praeorbulina glomerosa,Neogloboquadrina continuosa,Globorotalia praemenardii,Globoquadrina altispira globosa,Globigerina falconensis,Sphaeroidinellopsis seminulina,Globorotalia scitula,Globigerinella aequilateralis,Globigerina druryi,Neogloboquadrina pseudopima,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globorotalia lenguaensis,Globorotalia juanai,Globorotalia cf. Gr. conoidea,Globigerinoides siegliei,Globigerinoides extremus,Globigerinoides bulloideus,Globigerina nepenthes,Globigerina bulloides,Candeina nitida,Globorotalia merotumida,Globorotalia limbata,Globorotalia cibaoensis,Globorotalia cf. Gr. multicamerata,Neogloboquadrina humerosa,Globorotalia multicamerata,Globigerinoides bollii,Sphaeroidinellopsis paenedehiscens,Globigerinoides conglobatus,Neogloboquadrina blowi,Globorotalia margaritae,Pulleniatina primalis,Globorotalia cf. Gr. margaritae,Globigerinoides ruber,Globigerina apertura,Globigerina quinqueloba,Globorotalia miocenica,Globorotalia exilis,Globorotalia cf. Gr. plesiotumida,Globigerina cf. nepenthes,Neogloboquadrina pseudopachyderma,Neogloboquadrina dutertrei,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globigerinoides trilobus fistulosus,Globigerina umbilicata,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globorotalia crassaformis hessi,Globorotalia cf. Gr. miocenica,Globorotalia tosaensis tenuitheca,Pulleniatina obliquiloculata,Globorotalia ungulata,Globorotalia inflata,Globorotalia hirsuta,Globigerina rubescens,Globorotalia tumida,Globorotalia flexuosa,Globorotalia crassaformis viola,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 628,A,  1,H, 2,  25.00,      1.7500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,F                ,                  ,R                ,                   ,                         ,r                       ,                      ,                       ,                            ,                                 ,R                       ,                            ,R                            ,                        ,                       ,                                ,                             ,R                    ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,F                            ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,r                       ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,R                          ,                      ,                       ,                     ,                               ,F                    ,                    ,                       ,r                     ,                   ,                                 ,                         ,                                 ,F                         ,                     ,R                                     ,r                                  ,                      ,R                        ,F                            ,r                              ,                              ,r                                ,R                           ,R                    ,R                   ,R                   ,R                    ,F                  ,r                    ,r                              ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 628,A,  1,H,CC,  14.00,      3.5500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,R                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,r                                ,R                       ,                            ,F                            ,                        ,                       ,                                ,                             ,F                    ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,F                            ,                  ,R                          ,                            ,                         ,                        ,                   ,                             ,                        ,r                       ,                          ,                     ,                     ,R              ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,F                          ,                      ,                       ,                     ,                               ,F                    ,                    ,R                      ,r                     ,                   ,                                 ,                         ,                                 ,R                         ,                     ,R                                     ,r                                  ,                      ,F                        ,F                            ,T                              ,                              ,                                 ,R                           ,R                    ,R                   ,T                   ,R                    ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 628,A,  2,H, 3,  25.00,      6.8500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,C                ,                  ,                 ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,R                       ,                            ,                             ,                        ,                       ,                                ,                             ,R                    ,                          ,                             ,C                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,R                            ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,R              ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,R                          ,                      ,                       ,                     ,                               ,F                    ,                    ,                       ,C                     ,R                  ,                                 ,                         ,                                 ,                          ,R                    ,R                                     ,                                   ,                      ,R                        ,                             ,                               ,                              ,R                                ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 628,A,  2,H,CC,   3.00,     12.9400,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                         ,                        ,                       ,                          ,                                ,                ,                     ,                   ,                      ,                      ,                      ,                      ,                             ,                         ,                    ,                      ,                        ,                              ,                    ,                      ,                          ,                     ,                         ,                     ,                           ,                       ,                      ,                      ,                      ,                  ,                         ,                       ,                           ,                          ,R                      ,                    ,                                      ,                              ,                        ,                    ,                       ,                   ,                                   ,F                ,                  ,R                ,                   ,                         ,                        ,                      ,                       ,                            ,                                 ,R                       ,                            ,F                            ,                        ,                       ,                                ,                             ,R                    ,                          ,                             ,F                         ,                      ,                           ,                         ,                               ,                       ,                              ,                    ,R                            ,                  ,                           ,                            ,                         ,                        ,                   ,                             ,                        ,                        ,                          ,                     ,                     ,               ,                       ,                    ,                       ,                                  ,                         ,                          ,                      ,                                  ,R                          ,                      ,                       ,                     ,                               ,F                    ,                    ,                       ,R                     ,R                  ,                                 ,R                        ,                                 ,                          ,                     ,R                                     ,                                   ,                      ,R                        ,D                            ,D                              ,T                             ,                                 ,                            ,                     ,                    ,                    ,                     ,                   ,                     ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 6 p 20-23
