Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Krithe cf. trinidadensis,Henryhowella sp.,Cytherella spp.,Cardobairdia spp.,Bythocypris? spp.,Trachyleberidea sp. 1 & 2,Macrocypris sp.,Cytheropteron spp.,Bairdiidae (all taxa),Argillocea? sp.,Ambocythere? spp.,Agrenocythere cf. gosnoldia,Paracytheridea? sp. 2,Krithe sp.,Echinocythereis sp. 1,Cytheropteron trinidadensis,Bradleya cf. dictyon,Jugosocythereis spp.,Neocaudites cf. maccagnoi,Paracytheridea cf. byramensis,Ocultocythereis sp. 1,Loxoconcha sp. 1,Hulingsina sp. 1,Xestoleberis sp.,Radimella sp. 1 & 2,Puriana cf. fissispinata,Puriana cf. convoluta,Paracypris sp.,Gangamocytheridea cf. dictyon,Cytherura cf wardensis,Cushmanidea? sp.,Agrenocythere hazelae,Cytherelloidea sp.,Pseudocythere sp.,Semicytherura sp. 1,Kangarina abyssicola,Caudites sp. 2,Hulingsina cf. tuberculata,Bythoceratina spp.,Bythoceratina sp. 3,Loxoconcha fischeri,Pterygocythereis spp.,Hulingsina sp. 2,Uroleberis sp.,Malzella sp.,Brachycythere sp.,Poseidonamicus pintoi,Ornatoleberis sp.,Echinocythereis margarifera,Echinocythereis spp.,Echinocythereis echinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  2,H, 5,  50.00,     10.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,+                 ,                     ,               ,                 ,                           ,                     ,+         ,                     ,                           ,+                   ,                    ,                         ,                             ,                     ,                ,                ,+               ,+                  ,                        ,                     ,+             ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,+                  ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  2,H, 6,  50.00,     11.6000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,+                ,+                ,                         ,               ,+                 ,+                    ,               ,+                ,                           ,                     ,+         ,                     ,                           ,                    ,                    ,+                        ,+                            ,?                    ,+               ,+               ,+               ,+                  ,+                       ,                     ,              ,+                            ,                      ,+               ,+                    ,+                 ,+                ,+                  ,                    ,+             ,+                         ,+                 ,                   ,+                  ,                     ,                ,+             ,            ,                 ,                     ,+                ,                           ,+                   ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  3,H, 1,  50.00,     13.7000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,+              ,                 ,                 ,                         ,               ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,+                       ,                     ,+             ,                             ,                      ,                ,                     ,                  ,+                ,                   ,+                   ,+             ,+                         ,                  ,                   ,+                  ,                     ,                ,+             ,            ,                 ,                     ,+                ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  3,H, 2,  50.00,     15.2000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,+                        ,               ,+                 ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,+                   ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,+                       ,                     ,              ,+                            ,                      ,                ,                     ,+                 ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,+                ,                           ,                    ,+                       ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  3,H, 3,  50.00,     16.7000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,+              ,                  ,+                    ,               ,                 ,                           ,                     ,+         ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,+               ,                ,+                  ,+                       ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,+                 ,                   ,                   ,+                    ,                ,              ,            ,                 ,                     ,+                ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  3,H, 4,  50.00,     18.2000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,+                        ,               ,+                 ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,+                       ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,+                  ,                    ,+             ,                          ,                  ,                   ,                   ,+                    ,                ,              ,            ,                 ,                     ,                 ,                           ,+                   ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  3,H, 5,  50.00,     19.7000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,+                        ,+              ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,+                   ,                    ,                         ,+                            ,                     ,+               ,                ,+               ,+                  ,+                       ,                     ,+             ,+                            ,                      ,                ,                     ,+                 ,                 ,                   ,+                   ,+             ,+                         ,                  ,                   ,+                  ,                     ,+               ,              ,+           ,                 ,                     ,+                ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  3,H, 6,  50.00,     21.2000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,?                ,                 ,+                        ,               ,                  ,+                    ,+              ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,+                  ,+                       ,                     ,              ,                             ,                      ,                ,+                    ,                  ,                 ,                   ,                    ,              ,                          ,+                 ,                   ,                   ,                     ,                ,+             ,            ,                 ,                     ,                 ,+                          ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  4,H, 1,  50.00,     23.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,               ,                  ,+                    ,               ,                 ,                           ,                     ,+         ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,                ,                ,+               ,                   ,+                       ,                     ,+             ,                             ,                      ,                ,+                    ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,                   ,+                    ,                ,              ,            ,                 ,+                    ,+                ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  4,H, 2,  50.00,     24.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,                 ,                 ,+                        ,               ,+                 ,+                    ,+              ,                 ,                           ,                     ,          ,                     ,                           ,+                   ,+                   ,                         ,+                            ,                     ,                ,                ,+               ,                   ,+                       ,                     ,+             ,                             ,                      ,                ,+                    ,                  ,                 ,                   ,                    ,              ,                          ,+                 ,                   ,+                  ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  4,H, 3,  50.00,     26.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,+                ,+                        ,               ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,+                   ,                         ,+                            ,                     ,                ,                ,+               ,+                  ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,+                         ,                  ,                   ,                   ,                     ,+               ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  4,H, 4,  50.00,     27.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,+                ,+                        ,+              ,+                 ,+                    ,+              ,                 ,                           ,                     ,+         ,                     ,                           ,+                   ,                    ,                         ,                             ,                     ,                ,                ,+               ,+                  ,                        ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,+                  ,                     ,                ,              ,            ,+                ,+                    ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  4,H, 6,  50.00,     30.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,               ,                 ,                 ,+                        ,               ,+                 ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,+               ,+               ,+                  ,+                       ,                     ,              ,+                            ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,                          ,                  ,                   ,+                  ,+                    ,                ,              ,            ,                 ,+                    ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  4,H, 7,  50.00,     32.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,                 ,+                ,                         ,               ,                  ,+                    ,+              ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,+               ,+               ,                ,+                  ,+                       ,                     ,              ,                             ,                      ,                ,                     ,+                 ,                 ,+                  ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,+                ,+                    ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  5,H, 1,  50.00,     33.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,+              ,                 ,+                ,                         ,+              ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,+               ,+                  ,+                       ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,+                  ,                    ,              ,+                         ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  5,H, 3,  50.00,     36.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,+                        ,+              ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,+               ,                ,+                  ,+                       ,                     ,+             ,                             ,                      ,                ,                     ,                  ,                 ,+                  ,                    ,+             ,+                         ,+                 ,                   ,                   ,                     ,+               ,              ,            ,+                ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  5,H, 4,  50.00,     37.6000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,+                        ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,                ,+               ,+               ,+                  ,+                       ,+                    ,              ,+                            ,                      ,?               ,+                    ,                  ,+                ,+                  ,                    ,              ,+                         ,                  ,                   ,                   ,                     ,                ,              ,            ,+                ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  5,H, 5,  50.00,     39.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,+              ,+                 ,+                    ,               ,                 ,+                          ,                     ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,                ,+               ,+               ,                   ,                        ,+                    ,+             ,+                            ,                      ,                ,+                    ,                  ,                 ,                   ,                    ,              ,+                         ,                  ,                   ,                   ,                     ,                ,              ,+           ,+                ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  5,H, 6,  50.00,     40.6000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,+               ,+               ,                ,                   ,+                       ,                     ,              ,                             ,                      ,+               ,+                    ,                  ,                 ,                   ,                    ,              ,+                         ,                  ,                   ,                   ,+                    ,                ,              ,+           ,+                ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  6,H, 1,  50.00,     42.4000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,               ,                 ,                 ,+                        ,               ,+                 ,+                    ,               ,                 ,                           ,+                    ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,+                       ,+                    ,              ,+                            ,                      ,+               ,                     ,                  ,                 ,+                  ,+                   ,              ,                          ,                  ,                   ,                   ,                     ,                ,+             ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  6,H, 2,  50.00,     43.9000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,                ,               ,                 ,                 ,                         ,+              ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,+                   ,                         ,+                            ,                     ,+               ,+               ,                ,+                  ,+                       ,+                    ,+             ,+                            ,                      ,+               ,                     ,+                 ,                 ,+                  ,                    ,+             ,+                         ,                  ,                   ,                   ,+                    ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  6,H, 3,  50.00,     45.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,+              ,                 ,                 ,                         ,+              ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,                ,+               ,+               ,+                  ,+                       ,                     ,              ,+                            ,                      ,                ,                     ,                  ,                 ,+                  ,                    ,              ,+                         ,                  ,+                  ,+                  ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  6,H, 4,  50.00,     46.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,+                        ,+              ,+                 ,+                    ,               ,                 ,                           ,                     ,+         ,                     ,                           ,                    ,+                   ,                         ,+                            ,+                    ,+               ,+               ,                ,+                  ,+                       ,+                    ,              ,+                            ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,+                         ,                  ,                   ,                   ,                     ,+               ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  6,H, 5,  50.00,     48.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+               ,               ,                 ,                 ,                         ,+              ,+                 ,+                    ,               ,+                ,                           ,                     ,          ,                     ,                           ,?                   ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,                        ,                     ,              ,+                            ,                      ,                ,                     ,                  ,                 ,                   ,                    ,              ,+                         ,                  ,                   ,+                  ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  6,H, 6,  50.00,     49.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,?              ,                  ,+                    ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,+                       ,                     ,              ,+                            ,+                     ,                ,                     ,                  ,                 ,+                  ,                    ,              ,+                         ,                  ,+                  ,+                  ,+                    ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  6,H,CC,  25.00,     51.5100,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,+                ,                         ,               ,                  ,+                    ,+              ,                 ,                           ,+                    ,          ,                     ,                           ,                    ,                    ,                         ,+                            ,                     ,+               ,+               ,+               ,+                  ,+                       ,                     ,              ,+                            ,                      ,+               ,                     ,                  ,+                ,+                  ,                    ,              ,+                         ,                  ,+                  ,+                  ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  7,H, 3,  50.00,     55.0000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,                     ,               ,                 ,                           ,                     ,          ,                     ,                           ,                    ,                    ,                         ,                             ,                     ,                ,                ,                ,                   ,+                       ,                     ,              ,                             ,                      ,                ,                     ,                  ,                 ,+                  ,                    ,              ,                          ,                  ,                   ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A,  7,H, 5,  50.00,     58.0000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,                ,               ,                 ,                 ,                         ,               ,                  ,+                    ,               ,+                ,                           ,+                    ,          ,                     ,                           ,+                   ,+                   ,                         ,                             ,                     ,                ,+               ,                ,+                  ,+                       ,                     ,              ,+                            ,                      ,                ,                     ,                  ,+                ,+                  ,+                   ,              ,                          ,                  ,+                  ,                   ,                     ,                ,              ,            ,                 ,                     ,                 ,                           ,                    ,                        ,from Guernet & Fourcade; ODP 101 SR Ch 8 Table 1 p 141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
