Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Vermiculithina arca,Transversopontis pulcher,Thoracosphaera saxea,Thoracosphaera fossata,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra hillae,Pyrocyclus orangensis,Pontosphaera versa,Pontosphaera plana,Pontosphaera pectinata,Peritrachelina joidesa,Pemma papillatum,Pedinocyclus larvalis,Microrhabdulus attenuatus,Lanternithus minutus,Isthmolithus recurvus,Helicopontosphaera reticulata,Helicopontosphaera recta,Helicopontosphaera perch-nielseniae,Helicopontosphaera intermedia,Helicopontosphaera euphratis,Helicopontosphaera compacta,Hayella situliformis,Ericsonia subdisticha,Ericsonia formosa,Discolithina segmenta,Discoaster tanii,Discoaster saipanensis,Discoaster nodifer,Discoaster deflandrei,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus eopelagicus,Coccolith species C,Coccolith species A,Chiasmolithus titus,Chiasmolithus altus,Calcidiscus protoannulus,Bramletteius serraculoides,Braarudosphaera discula,Braarudosphaera bigelowii,Micrantholithus flos,Transversopontis exilis,Hayaster perplexus,Helicopontosphaera obliqua,Ericsonia fenestrata,Cyclicargolithus abisectus,Scyphosphaera apsteinii,Helicopontosphaera wilcoxonii,Helicopontosphaera seminulum,Sphenolithus distentus,Discoaster adamanteus,Coccolith species B,Coccolith species D,Sphenolithus ciperoensis,Coccolithus miopelagicus,Thoracosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 16,H, 1,  80.00,    137.4000,Moran    ,Nannofossils                                 ,A              ,G                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,C                 ,F                 ,                      ,F                     ,                ,                     ,F                        ,                    ,                     ,                             ,C                       ,                                   ,C                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,F                      ,A                          ,C                     ,C                    ,C                      ,C                  ,                   ,                   ,                   ,C                       ,                          ,F                      ,C                        ,F                   ,                       ,F                 ,F                         ,F                   ,C                         ,F                      ,                             ,F                           ,                      ,                     ,C                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 16,H, 3,  80.00,    140.4000,Moran    ,Nannofossils                                 ,A              ,M                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,C                 ,F                 ,R                     ,                      ,                ,                     ,F                        ,                    ,                     ,                             ,F                       ,F                                  ,F                            ,C                           ,?                          ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,F                       ,F                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,F                  ,C                       ,                          ,F                      ,F                        ,C                   ,                       ,C                 ,C                         ,C                   ,C                         ,F                      ,                             ,                            ,                      ,F                    ,F                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 16,H, 5,  80.00,    143.4000,Moran    ,Nannofossils                                 ,P              ,M                 ,F                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,                     ,C                 ,F                 ,R                     ,                      ,                ,                     ,F                        ,                    ,                     ,                             ,F                       ,F                                  ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,C                    ,R                       ,F                      ,A                          ,C                     ,A                    ,C                      ,                   ,                   ,                   ,                   ,F                       ,                          ,F                      ,F                        ,F                   ,                       ,C                 ,C                         ,C                   ,C                         ,F                      ,                             ,R                           ,                      ,F                    ,F                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19b             ,              ,101, 628,A, 16,H,CC,  22.00,    146.3000,Moran    ,Nannofossils                                 ,P              ,M                 ,C                      ,                   ,                        ,F                   ,                      ,                          ,                         ,A                      ,                         ,                       ,F                    ,F                 ,F                 ,                      ,                      ,                ,                     ,F                        ,                    ,                     ,                             ,C                       ,F                                  ,F                            ,C                           ,                           ,                    ,                     ,                 ,F                    ,                ,                      ,                  ,A                    ,                        ,F                      ,A                          ,C                     ,C                    ,C                      ,                   ,                   ,                   ,F                  ,F                       ,                          ,F                      ,F                        ,F                   ,                       ,                  ,F                         ,C                   ,C                         ,F                      ,                             ,                            ,                      ,F                    ,F                  ,                   ,C                       ,F                       ,                       ,from Moran & Watkins; ODP 101 SR Chapter 4 Table 1 p 90-91
