Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus radians	Sphenolithus moriformis	Sphenolithus furcatolithoides	Reticulofenestra samodurovii	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Pontosphaera segmenta	Pontosphaera formosa	Pedinocyclus larvalis	Nannotetrina sp. (small)	Markalius sp. 1	Markalius inversus	Lanternithus minutus	Holococcolith type A	Helicosphaera seminulum	Helicosphaera lophota	Ericsonia formosa	Discoaster saipanensis	Discoaster barbadiensis	Cyclicargolithus floridanus	Cruciplacolithus vanheckae	Cruciplacolithus staurion	Cruciplacolithus spp.	Coccolithus sp.1	Coccolithus pelagicus	Coccolithus eopelagicus	Chiasmolithus titus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus gigas	Campylosphaera dela	Calcidiscus protoannulus	Bramletteius serraculoides	Sphenolithus pseudoradians	Nannotetrina austriacus	Nannotetrina alata	Discoaster nodifer	Cruciplacolithus cruciformis	Pontosphaera scissura	Markalius sp. 2	Helicosphaera heezenii	Ericsonia pacifica	Discoaster tanii	Toweius? sp. 1	Discoaster deflandrei	Cyclolithella kalianata	Chiasmolithus medius	Chiasmolithus consuetus	Discoaster bifax	Chiasmolithus expansus	Calcidiscus kingii	Dictyococcites scrippsae	Cruciplacolithus cf. tarquinius	Helicosphaera reticulata	Reticulofenestra umbilica	Braarudosphaera bigelowii	Cribrocentrum reticulatum	Sphenolithus intercalaris	Helicosphaera compacta	Sphenolithus predistentus	Dictyococcites bisectus	Sphenolithus obtusus	Coronocyclus nitescens	Helicosphaera intermedia	Hayella situliformis	Helicosphaera euphratis	Isthmolithus recurvus	Ericsonia subdisticha	Ericsonia obruta	Cruciplacolithus tarquinius	Pedinocyclus sp.	Sphenolithus aff. distentus	Peritrachelina joidesa	Helicosphaera bramlettei	Helicosphaera perch-nielseniae	Discoaster adamanteus	Cyclicargolithus abisectus	Helicosphaera recta	Sphenolithus distentus	Sphenolithus aff. ciperoensis	Triquetrorhabdulus milowii	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Coccolithus miopelagicus	Hayaster perplexus	Sphenolithus dissimilis	Coccolithus fuscus	Catinaster umbrellus	Crassidiscus backmanii	Syracosphaera sp. 1	Thoracosphaera spp.	Sphenolithus conicus	Sphenolithus calyculus	Sphenolith (unspecified taxon or taxa)	Reticulofenestra daviesii	Cyclicargolithus abisectus (> 10 microns)	Cyclicargolithus abisectus (< 10 microns)	Clausicoccus fenestratus	Pontosphaera spp.	Discoaster woodringii	Ilselithina fusa	Sphenolithus delphix	Reticulofenestrid taxa	Reticulofenestra aff. pseudoumbilicus	Hayella aperta	Discoaster moorei	Discoaster extensus-dilatus group	Sphenolithus capricornutus	Discoaster druggii	Discoaster aff. druggii	Sphenolithus dissimilis/belemnos	Coronocyclus serratus	Sphenolithus pseudoheteromorphus	Coccolithus radiatus	Geminilithella rotula	Calcidiscus leptoporus	Dictyococcites spp.	Sphenolithus multispinatus	Triquetrorhabdulus protodecimae	Sphenolithus belemnos	Sphenolithus heteromorphus	Discoaster variabilis	Helicosphaera carteri	Discoaster exilis	Triquetrorhabdulus backmanii	Discoaster formosus	Triquetrorhabdulus curvus	Sphenolithus milanettii	Discoaster signus-tuberi	Discoaster subsurculus	Calcidiscus premacintyrei	Reticulofenestra pseudoumbilicus	Discoaster musicus	Triquetrorhabdulus rugosus/rioensis	Scyphosphaera spp.	Syracosphaera spp.	Discoaster brouweri	Discoaster aff. calcaris	Discoaster kugleri	Calcidiscus macintyrei	Discoaster aulakos	Catinaster coalitus	Discoaster pseudovariabilis	Discoaster hamatus	Discoaster bollii	Discoaster bellus	Catinaster calyculus	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Discoaster surculus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster asymmetricus	Discoaster sp. 1	Discoaster sp. 2	Discoaster quinqueramus/berggrenii	Discoaster pansus	Discoaster tamalis	Discoaster loeblichii	Discoaster icarus	Discoaster triradiatus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Amaurolithus tricorniculatus	Umbilicosphaera spp.	Ceratolithus rugosus	Ceratolithus acutus	Ceratolithus armatus	Discoaster tristellifer	Helicosphaera sellii	Pseudoemiliania lacunosa	Ceratolithus cristatus	Comment



  SR	                 	                 	CN12a             	              	115	 709	C	  4	H	 6	  60.00	     33.2000	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                    	                       	                             	                            	                         	                                 	                     	                    	                     	                        	               	                  	                    	                    	                       	                     	                 	                      	                       	                           	                          	                         	                     	                	                     	                       	                   	                     	                     	                   	                   	                        	                          	                          	                       	                  	                  	                            	                     	               	                      	                  	                	              	                     	                       	                    	                       	                	                      	                  	                        	                               	                        	                         	                         	                         	                         	                      	                         	                       	                    	                      	                        	                    	                       	                     	                     	                	                           	                	                           	                      	                        	                              	                     	                          	                   	                      	                             	                          	                            	                        	                        	                  	                       	                  	                    	                      	                   	F                  	                    	                      	                                      	                         	                                         	                                         	                        	                 	                     	                	                    	A                     	                                     	              	                 	                                 	                          	                  	                       	                                	                     	                                	F                   	                     	C                     	                   	                          	                               	                     	                          	R                    	C                    	                 	                            	                   	                         	                       	                        	                      	                         	                                	                  	                                   	                  	F                 	A                  	                        	                  	C                     	                  	                   	                           	                  	                 	                 	                    	                   	                           	                     	F                  	C                       	                       	                       	                	                	                                  	                 	R                 	                     	                 	                      	                   	                      	                       	                            	                    	C                   	                   	                    	                       	F                   	C                       	F                     	from 115 SR. Chapter 15. Table 11. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 709	C	  5	H	 1	  60.00	     35.3000	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                    	                       	                             	                            	                         	                                 	                     	                    	                     	                        	               	                  	                    	                    	                       	                     	                 	                      	                       	                           	                          	                         	                     	                	                     	                       	                   	                     	                     	                   	                   	                        	                          	                          	                       	                  	                  	                            	                     	               	                      	                  	                	              	                     	                       	                    	                       	                	                      	                  	                        	                               	                        	                         	                         	                         	                         	                      	                         	                       	                    	                      	                        	                    	                       	                     	                     	                	                           	                	                           	                      	                        	                              	                     	                          	                   	                      	                             	                          	                            	                        	                        	                  	                       	                  	                    	                      	                   	F                  	                    	                      	C                                     	                         	                                         	                                         	                        	                 	                     	                	                    	C                     	                                     	              	                 	                                 	                          	                  	                       	                                	                     	                                	                    	                     	C                     	                   	                          	                               	                     	                          	C                    	C                    	                 	                            	                   	                         	                       	                        	                      	                         	                                	                  	                                   	                  	                  	C                  	                        	                  	C                     	                  	                   	                           	                  	                 	                 	                    	                   	                           	                     	F                  	C                       	                       	F                      	                	                	                                  	                 	R                 	                     	                 	R                     	                   	                      	                       	                            	                    	C                   	                   	                    	                       	F                   	A                       	                      	from 115 SR. Chapter 15. Table 11. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 709	C	  5	H	 2	  60.00	     36.8000	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                    	                       	                             	                            	                         	                                 	                     	                    	                     	                        	               	                  	                    	                    	                       	                     	                 	                      	                       	                           	                          	                         	                     	                	                     	                       	                   	                     	                     	                   	                   	                        	                          	                          	                       	                  	                  	                            	                     	               	                      	                  	                	              	                     	                       	                    	                       	                	                      	                  	                        	                               	                        	                         	                         	                         	                         	                      	                         	                       	                    	                      	                        	                    	                       	                     	                     	                	                           	                	                           	                      	                        	                              	                     	                          	                   	                      	                             	                          	                            	                        	                        	                  	                       	                  	                    	                      	                   	R                  	                    	                      	A                                     	                         	                                         	                                         	                        	                 	                     	                	                    	A                     	                                     	              	                 	                                 	                          	                  	                       	                                	                     	                                	                    	F                    	C                     	                   	                          	                               	                     	                          	C                    	C                    	                 	                            	                   	                         	                       	                        	                      	                         	C                               	                  	                                   	                  	F                 	C                  	                        	                  	F                     	                  	                   	                           	                  	                 	                 	                    	                   	                           	                     	C                  	C                       	                       	F                      	                	                	                                  	F                	                  	                     	                 	                      	                   	                      	                       	                            	                    	C                   	                   	                    	                       	                    	C                       	                      	from 115 SR. Chapter 15. Table 11. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 709	C	  5	H	 3	  60.00	     38.3000	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                    	                       	                             	                            	                         	                                 	                     	                    	                     	                        	               	                  	                    	                    	                       	                     	                 	                      	                       	                           	                          	                         	                     	                	                     	                       	                   	                     	                     	                   	                   	                        	                          	                          	                       	                  	                  	                            	                     	               	                      	                  	                	              	                     	                       	                    	                       	                	                      	                  	                        	                               	                        	                         	                         	                         	                         	                      	                         	                       	                    	                      	                        	                    	                       	                     	                     	                	                           	                	                           	                      	                        	                              	                     	                          	                   	                      	                             	                          	                            	                        	                        	                  	                       	                  	                    	                      	                   	R                  	                    	                      	A                                     	                         	                                         	                                         	                        	                 	                     	                	                    	                      	                                     	              	                 	                                 	                          	                  	                       	                                	                     	                                	                    	                     	C                     	                   	                          	                               	                     	                          	                     	C                    	                 	                            	                   	                         	                       	                        	                      	                         	C                               	                  	                                   	                  	                  	C                  	                        	                  	F                     	                  	                   	                           	                  	                 	                 	                    	                   	                           	                     	F                  	C                       	                       	F                      	                	                	                                  	                 	                  	                     	                 	R                     	                   	                      	                       	                            	                    	F                   	                   	                    	                       	                    	cf                      	                      	from 115 SR. Chapter 15. Table 11. microfiche in back pocket.
