Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera spp.,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra spp. (small - medium),Reticulofenestra spp. (large),Pseudoemiliania lacunosa E,Pseudoemiliania lacunosa C,Oolithotus antillarum,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. 3,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Emiliania huxleyi,Discoaster brouweri,Cyclolithus annulus,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 880,A,  1,H, 1,   0.00,      0.0000,Erba     ,Nannofossils                                 ,               ,                  ,.0%0                      ,.2%1               ,.0%0              ,.0%0                 ,.2%1              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,9.5%53               ,12.9%72                  ,.0%0                     ,.0%0              ,18.5%103                  ,5.0%28                   ,42.3%236         ,.0%0               ,1.8%10             ,.2%1                 ,.0%0                  ,9.5%53                ,Total count = 558; from Leg 144 SR; Chapter 1; Table 2; p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 880,A,  1,H, 1,  20.00,      0.2000,Erba     ,Nannofossils                                 ,               ,                  ,.4%2                      ,.0%0               ,.8%4              ,.2%1                 ,.6%3              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,2.5%13               ,6.3%33                   ,.0%0                     ,.0%0              ,6.9%36                    ,1.7%9                    ,72.7%380         ,.0%0               ,1.7%9              ,.6%3                 ,.0%0                  ,5.7%30                ,Total count = 523; from Leg 144 SR; Chapter 1; Table 2; p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 880,A,  1,H, 1,  40.00,      0.4000,Erba     ,Nannofossils                                 ,               ,                  ,.2%1                      ,.0%0               ,.2%1              ,.0%0                 ,1.2%6             ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,2.4%12               ,19.3%98                  ,.0%0                     ,.0%0              ,12.4%63                   ,.8%4                     ,58.2%295         ,.0%0               ,1.4%7              ,.4%2                 ,.0%0                  ,3.6%18                ,Total count = 507; from Leg 144 SR; Chapter 1; Table 2; p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 880,A,  1,H, 1,  59.00,      0.5900,Erba     ,Nannofossils                                 ,               ,                  ,.3%2                      ,.2%1               ,.0%0              ,.0%0                 ,.0%0              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,13.9%82              ,17.5%103                 ,.0%0                     ,.0%0              ,17.1%101                  ,7.0%41                   ,32.0%189         ,.0%0               ,1.5%9              ,1.5%9                ,.0%0                  ,9.0%53                ,Total count = 590; from Leg 144 SR; Chapter 1; Table 2; p 6-9
