Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Discoaster surculus	Calcidiscus macintyrei (>11 um)	Calcidiscus leptoporus	Amaurolithus spp.	Reticulofenestra pseudoumbilicus	Discoaster pentaradiatus	Discoaster brouweri	Sphenolithus spp.	Helicosphaera carteri	Coccolithus pelagicus	Ceratolithus spp.	Amaurolithus primus	Pseudoemiliania lacunosa	Helicosphaera sellii	Discoaster tamalis	Discoaster triradiatus	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa sp. 3	Gephyrocapsa (small)	Comment



  IR	                 	                 	CN14b             	CN15          	167	1016	B	  1	H	CC	  12.00	      1.7700	Fornaciari	Nannofossils                                 	R/F            	P                 	                   	                               	                      	                 	                                	                        	                   	                 	                     	+                    	                 	                   	                        	                    	                  	                      	+                         	                  	                  	                    	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1016	B	  3	H	CC	  13.00	     21.0000	Fornaciari	Nannofossils                                 	A              	G                 	                   	                               	                      	                 	                                	                        	                   	                 	R                    	C                    	                 	                   	                        	                    	                  	                      	C                         	                  	R                 	A                   	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1016	B	  4	H	 1	 136.00	     22.1600	Fornaciari	Nannofossils                                 	R              	P                 	                   	                               	                      	                 	                                	                        	                   	                 	                     	                     	                 	                   	                        	                    	                  	                      	+                         	                  	                  	+                   	questionable zonal assignment. from IR. Ch 10. Table 5.

  IR	                 	                 	CN14a             	              	167	1016	B	  4	H	 2	  60.00	     22.9000	Fornaciari	Nannofossils                                 	C              	M/G               	                   	                               	                      	                 	                                	                        	                   	                 	                     	                     	                 	                   	F/C                     	                    	                  	                      	R/F                       	                  	                  	A                   	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14a             	              	167	1016	B	  4	H	 2	 136.00	     23.6600	Fornaciari	Nannofossils                                 	C              	G                 	                   	                               	                      	                 	                                	                        	                   	                 	F                    	                     	                 	                   	R/F                     	                    	                  	                      	+                         	                  	                  	C/A                 	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14a             	              	167	1016	B	  4	H	 3	 114.00	     24.9400	Fornaciari	Nannofossils                                 	C/A            	G                 	                   	                               	                      	                 	                                	                        	                   	                 	R                    	                     	                 	                   	R/F                     	                    	                  	                      	C                         	                  	                  	A                   	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14a             	              	167	1016	B	  4	H	 4	  74.00	     26.0400	Fornaciari	Nannofossils                                 	F              	M                 	                   	                               	                      	                 	                                	                        	                   	                 	R                    	                     	                 	                   	+                       	                    	                  	                      	                          	                  	                  	+                   	from IR. Ch 10. Table 5.

  IR	                 	                 	CN14a             	              	167	1016	B	  4	H	 6	  56.00	     28.8600	Fornaciari	Nannofossils                                 	F              	M                 	                   	                               	                      	                 	                                	                        	                   	                 	                     	                     	                 	                   	+                       	                    	                  	                      	                          	                  	R                 	C                   	from IR. Ch 10. Table 5.

