Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sclerochilus contortus,Rabilimis sp.,Cytheropteron inflatum,Muellerina abyssicola,Cytheropteron pseudoinflatum,Sarsicytheridea punctillata,Elofsonella concinna,Krithe glacialis,Cytheropteron carolinae,Sarsicytheridea bradii,Pseudocythere caudata,Polycope spp.,Cytheropteron testudo,Eucytherura delineata,Cytheropteron alatum,Cytheropteron paralatissimum,Cytheropteron simplex,Cytheropteron arcuatum,Thaerocythere crenulata,Cytheropteron hamatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  1,H, 3,  28.00,      3.2800,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,                     ,                            ,                           ,                    ,                ,                       ,                      ,                     ,             ,                     ,                     ,                    ,                            ,                     ,                      ,1                      ,1                    ,From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  1,H, 3, 104.00,      4.0400,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,                     ,                            ,                           ,                    ,2               ,                       ,                      ,                     ,             ,                     ,                     ,1                   ,                            ,                     ,                      ,                       ,                     ,From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  1,H, 4,  28.00,      4.7800,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,                     ,                            ,                           ,                    ,                ,                       ,                      ,                     ,             ,1                    ,                     ,                    ,                            ,1                    ,2                     ,                       ,                     ,From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  2,H, 1,  93.00,      6.4300,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,             ,                      ,2                    ,                            ,                           ,                    ,                ,                       ,                      ,                     ,             ,                     ,                     ,                    ,1                           ,                     ,                      ,                       ,                     ,From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,A,  2,H, 3,  93.00,      9.4300,Cronin   ,Ostracodes                                   ,               ,                  ,                      ,1            ,                      ,                     ,                            ,                           ,                    ,                ,                       ,                      ,                     ,             ,                     ,                     ,                    ,                            ,                     ,                      ,                       ,                     ,From Leg 151; Ch 11; Table 1; p. 198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
