Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. (small),Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Dictyococcites spp. (small),Coccolithus pelagicus,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Gephyrocapsa parallela,Helicosphaera carteri,Comment
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  2,H,CC,  33.00,     14.4200,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,                           ,                     ,+                     ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  3,H, 1,  45.00,     15.4500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,+                          ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  3,H, 1,  95.00,     15.9500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,                           ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  3,H, 2,  45.00,     16.9500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,                           ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  3,H, 2,  95.00,     17.4500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,                           ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  3,H, 3,  45.00,     18.4500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,                     ,+                        ,                           ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  3,H, 3,  95.00,     18.9500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,                     ,                         ,                           ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  3,H,CC,  47.00,     19.4800,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,+                          ,+                    ,+                     ,+                       ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  4,H, 1,  45.00,     19.9500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,+                        ,+                    ,+                        ,+                          ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  4,H, 1,  95.00,     20.4500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,                     ,+                        ,+                          ,+                    ,                      ,+                       ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  4,H, 2,  45.00,     21.4500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                         ,                     ,                         ,+                          ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  4,H, 2,  95.00,     21.9500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                         ,                     ,+                        ,                           ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  4,H, 3,  95.00,     23.4500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,+                          ,+                    ,                      ,+                       ,+                     ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  4,H, 3, 129.00,     23.7900,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,+                          ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  4,H,CC,  27.00,     24.5000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,+                          ,+                    ,+                     ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
