Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius gammation,Sphenolithus pseudoradians,Sphenolithus primus,Neococcolithes dubius,Helicosphaera seminulum,Ericsonia formosa,Discoaster salisburgensis,Coronocyclus prionion,Coccolithus pelagicus,Campylosphaera dela,Blackites cf. spinosus (base),Sphenolithus moriformis,Discoaster wemmelensis,Discoaster lodoensis,Discoaster barbadiensis,Chiasmolithus titus,Chiasmolithus grandis,Clausicoccus fenestratus,Chiasmolithus solitus,Sphenolithus radians,Cruciplacolithus vanheckae,Chiasmolithus modestus,Cyclicargolithus floridanus,Zygrhablithus bijugatus,Sphenolithus spiniger,Sphenolithus furcatolithoides,Helicosphaera bramlettei,Cribrocentrum coenurum,Calcidiscus protoannulus,Sphenolithus orphanknollensis,Reticulofenestra callida,Discoaster deflandrei,Cruciplacolithus cruciformis,Reticulofenestra umbilica,Helicosphaera lophota,Discoaster saipanensis,Lanternithus minutus,Helicosphaera salebrosa,Dictyococcites scrippsae,Dictyococcites bisectus,Discoaster tanii nodifer,Helicosphaera dinesenii,Rhabdosphaera tenuis,Cribrocentrum reticulatum,Discoaster tanii tanii,Helicosphaera wilcoxonii,Sphenolithus predistentus,Sphenolithus obtusus,Reticulofenestra hillae,Helicosphaera compacta,Sphenolithus intercalaris,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 26,R, 1,  23.00,    298.5300,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,A                ,                         ,                     ,A                    ,                   ,                             ,F                      ,                      ,                    ,F                      ,                   ,                     ,                        ,                     ,                    ,                          ,                      ,A                          ,F                      ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,R                        ,                     ,F                     ,                    ,                       ,                        ,C                      ,F                       ,                       ,                    ,C                        ,                      ,                        ,F                        ,                    ,                       ,R                     ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 26,R, 1,  58.00,    298.8800,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,A                    ,                   ,                             ,C                      ,                      ,                    ,R                      ,                   ,F                    ,                        ,                     ,                    ,                          ,                      ,A                          ,                       ,                     ,                             ,                        ,F                     ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,F                     ,                    ,                       ,                        ,C                      ,F                       ,                       ,                    ,A                        ,                      ,                        ,F                        ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 26,R, 2,   3.00,    299.0900,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,                   ,                             ,C                      ,                      ,                    ,                       ,                   ,                     ,                        ,                     ,                    ,                          ,                      ,C                          ,                       ,                     ,                             ,                        ,                      ,                        ,                             ,                        ,                     ,                            ,                         ,                     ,R                     ,                    ,                       ,                        ,C                      ,R                       ,                       ,                    ,F                        ,                      ,                        ,                         ,                    ,                       ,                      ,                         ,from Leg 160SR Ch 31 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14b             ,              ,160, 966,F, 26,R, 2, 115.00,    300.2100,Staerker ,Nannofossils                                 ,               ,                  ,                 ,                          ,                   ,                     ,                       ,C                ,                         ,                     ,C                    ,                   ,                             ,C                      ,                      ,                    ,F                      ,                   ,R                    ,                        ,                     ,                    ,                          ,                      ,C                          ,C                      ,F                    ,                             ,R                       ,F                     ,                        ,                             ,                        ,                     ,                            ,R                        ,                     ,F                     ,                    ,                       ,                        ,F                      ,                        ,                       ,                    ,F                        ,                      ,                        ,F                        ,                    ,                       ,R                     ,R                        ,from Leg 160SR Ch 31 Table 1
