Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Coccolithus pelagicus	Sphenolithus heteromorphus	Discoaster druggii	Discoaster deflandrei	Reticulofenestra minuta	Reticulofenestra haqii	Cyclicargolithus floridanus	Reticulofenestra pseudoumbilicus	Reticulofenestra gelida	Discoaster variabilis	Sphenolithus verensis	Catinaster coalitus	Calcidiscus leptoporus	Discoaster pentaradiatus	Sphenolithus abies	Discoaster brouweri	Minylitha convallis	Discoaster berggrenii	Reticulofenestra minutula	Discoaster quinqueramus	Calcidiscus macintyrei	Helicosphaera kamptneri	Ceratolithus acutus	Discoaster neorectus	Discoaster intercalaris	Discoaster surculus	Pseudoemiliania lacunosa	Gephyrocapsa parallela	Gephyrocapsa oceanica	Gephyrocapsa ericsonii	Gephyrocapsa caribbeanica	Discoaster exilis	Ceratolithus rugosus	Helicosphaera sellii	Discoaster tamalis	Discoaster triradiatus	Discoaster asymmetricus	Comment



  IR	                 	Pleistocene      	CN14a             	CN14a         	186	1151	A	  2	R	CC	   5.00	     82.0800	Li       	Nannofossils                                 	C              	G                 	A                    	                          	                  	                     	                       	F                     	                           	                                	                       	                     	                     	                   	A                     	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	A                       	C                     	C                    	C                     	C                        	                 	                    	                    	                  	                      	                       	       

  IR	                 	Pleistocene      	CN14a             	CN13b         	186	1151	A	  3	R	CC	   0.00	     92.5000	Li       	Nannofossils                                 	B              	                  	                     	                          	                  	                     	F                      	F                     	                           	                                	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	R                       	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	                 	Pleistocene      	CN13b             	CN13a         	186	1151	A	  4	R	CC	  15.00	     99.5100	Li       	Nannofossils                                 	T              	P                 	                     	                          	                  	                     	F                      	F                     	                           	                                	                       	                     	                     	                   	                      	                        	                  	                   	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	R                       	                      	                     	                      	                         	                 	                    	                    	                  	                      	                       	       

  IR	Pleistocene      	Late Pliocene    	CN13a             	CN12d         	186	1151	A	  6	R	CC	   8.00	    118.0700	Li       	Nannofossils                                 	C              	G                 	A                    	                          	                  	                     	                       	                      	                           	                                	                       	                     	                     	                   	C                     	                        	                  	F                  	                   	                     	A                        	                       	C                     	                       	                   	                    	                       	                   	A                       	                      	                     	                      	                         	                 	                    	R                   	                  	R                     	                       	       

  IR	                 	Late Pliocene    	CN12d             	CN12d         	186	1151	A	  7	R	CC	  14.00	    126.4500	Li       	Nannofossils                                 	C              	M                 	A                    	                          	                  	                     	                       	                      	                           	                                	                       	                     	                     	                   	A                     	                        	                  	F                  	                   	                     	                         	                       	                      	                       	                   	                    	                       	                   	                        	                      	                     	                      	                         	                 	                    	C                   	                  	R                     	F                      	       

