Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia tumida flexuosa	Globorotalia tumida (right)	Globorotalia tumida (left)	Globorotalia scitula	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerinoides ruber (high)	Globigerinoides conglobatus	Globigerinita glutinata	Globigerina rubescens	Globigerina quinqueloba	Globigerina calida	Globigerina bulloides	Comment



  IR	Holocene         	                 	Z                 	              	155	 930	B	  1	H	 1	   0.00	      0.0000	Showers  	Planktonic Foraminifers                      	A              	G                 	-                                    	-                                    	R                           	F                	-                                      	-                                    	F                         	-                           	-                          	F                         	R                   	F                    	-                   	R                     	R                                	F                                  	A                            	R                           	R                           	-                          	F                      	-                    	-                      	-                 	R                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	Z                 	              	155	 930	B	  1	H	CC	  22.00	      5.6400	Showers  	Planktonic Foraminifers                      	C              	M                 	-                                    	F                                    	R                           	R                	-                                      	-                                    	F                         	-                           	R                          	R                         	R                   	F                    	R                   	R                     	F                                	F                                  	A                            	F                           	R                           	F                          	F                      	-                    	-                      	-                 	R                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	Z                 	              	155	 930	B	  2	H	CC	  22.00	     14.9300	Showers  	Planktonic Foraminifers                      	C              	G                 	R                                    	R                                    	R                           	R                	-                                      	-                                    	F                         	-                           	-                          	R                         	-                   	R                    	R                   	R                     	F                                	F                                  	A                            	F                           	-                           	-                          	R                      	-                    	-                      	R                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	  3	H	CC	  25.00	     25.4900	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	-                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	C                                	F                                  	A                            	R                           	-                           	R                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	B	  4	H	CC	  35.00	     35.1000	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	-                                    	-                           	-                	-                                      	R                                    	C                         	-                           	-                          	-                         	-                   	-                    	R                   	-                     	A                                	R                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

