Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Azpeitia nodulifera,Chaetoceros messanensis,Thalassiothrix longissima,Thalassiosira sp.,Thalassiosira oestrupii,Nitzschia marina,Nitzschia interruptestriata,Ethmodiscus sp. (fragments),Thalassiosira leptopus,Thalassiosira eccentrica,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Thalassionema bacillaris,Roperia tesselata,Rhizosolenia hebetata,Rhizosolenia bergonii,Pseudotriceratium sp.,Planktoniella  sol,Paralia sulcata,Nitzschia bicapitata,Hemidiscus cuneiformis,Fragilariopsis doliolus,Coscinodiscus radiatus,Coscinodiscus pacificus,Coscinodiscus asteromphalus,Coscinodiscus argus,Azpeitia neocrenulata,Azpeitia africana,Asteromphalus ornithopus,Asteromphalus hiltonianus,Asterolampra marylandica,Actinocyclus ehrenbergii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 878,A,  1,R, 1,   0.00,      0.0000,Fenner   ,Diatoms                                      ,               ,                  ,F                  ,R                      ,S                        ,S                ,R                      ,F               ,                           ,S                          ,R                     ,S                       ,R                                      ,S                          ,S                       ,S                ,S                    ,S                    ,S                    ,F                 ,S              ,R                   ,R                     ,S                      ,S                     ,S                      ,S                          ,S                  ,S                    ,R                ,S                       ,S                        ,S                       ,R                       ,from ODP Leg 144; Ch 3; Table 5; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 878,A,  1,R, 1,  12.00,      0.1200,Fenner   ,Diatoms                                      ,               ,                  ,S                  ,S                      ,S                        ,S                ,S                      ,S               ,S                          ,S                          ,                      ,                        ,                                       ,                           ,                        ,                 ,                     ,                     ,                     ,                  ,               ,                    ,                      ,                       ,                      ,                       ,                           ,                   ,                     ,                 ,                        ,                         ,                        ,                        ,from ODP Leg 144; Ch 3; Table 5; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 878,A,  1,R, 1,  93.00,      0.9300,Fenner   ,Diatoms                                      ,               ,                  ,S                  ,S                      ,                         ,                 ,                       ,                ,                           ,                           ,                      ,                        ,                                       ,                           ,                        ,                 ,                     ,                     ,                     ,                  ,               ,                    ,                      ,                       ,                      ,                       ,                           ,                   ,                     ,                 ,                        ,                         ,                        ,                        ,from ODP Leg 144; Ch 3; Table 5; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 878,A,  1,R, 2,  21.00,      1.2700,Fenner   ,Diatoms                                      ,               ,                  ,S                  ,                       ,                         ,                 ,                       ,                ,                           ,                           ,                      ,                        ,                                       ,                           ,                        ,                 ,                     ,                     ,                     ,                  ,               ,                    ,                      ,                       ,                      ,                       ,                           ,                   ,                     ,                 ,                        ,                         ,                        ,                        ,from ODP Leg 144; Ch 3; Table 5; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
