Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys wolffii	Stichocorys delmontensis	Siphostichartus corona	Lithopera thornburgi	Diartus petterssoni	Cyrtocapsella japonica	Carpocanopsis cristata	Calocycletta caepa	Botryostrobus miralestensis	Stichocorys johnsoni	Diartus hughesi	Solenosphaera omnitubus omnitubus	Stichocorys peregrina	Stylatractus universus	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Theocorythium vetulum	Pterocanium prismatium	Spongaster tetras	Amphirhopalum ypsilon	Lamprocyrtis heteroporos	Lamprocyrtis neoheteroporos	Theocalyptra davisiana	Anthocyrtidium angulare	Theocorythium trachelium trachelium	Pterocorys minythorax	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment



  SR	                 	                 	RN16              	              	138	 849	B	  1	H	 1	  10.00	      0.1000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	                      	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	                       	R                                  	R                    	R                     	R                    	from ODP Leg 138 ST Chapter 11 Fig 6 p 208-209

  SR	                 	                 	RN16              	              	138	 849	B	  1	H	CC	  13.00	      6.7800	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	                      	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	                       	R                                  	R                    	R                     	R                    	from ODP Leg 138 ST Chapter 11 Fig 6 p 208-209

  SR	                 	                 	RN16              	              	138	 849	B	  2	H	 3	 110.00	     10.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	-                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	                       	R                                  	R                    	R                     	R                    	from ODP Leg 138 ST Chapter 11 Fig 6 p 208-209

  SR	                 	                 	P12               	              	138	 849	B	  2	H	 5	 110.00	     13.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	R                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	                       	R                                  	R                    	R                     	R                    	from ODP Leg 138 ST Chapter 11 Fig 6 p 208-209

  SR	                 	                 	P12               	              	138	 849	B	  2	H	CC	  15.00	     15.6300	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                      	                    	                   	                      	                      	                  	                           	                    	               	                                 	                     	R                     	                         	                          	                   	                      	                         	                       	                     	                      	R                	R                    	                        	                           	R                     	                       	R                                  	R                    	R                     	R                    	from ODP Leg 138 ST Chapter 11 Fig 6 p 208-209

