Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Votadinium calvum,Trinovantedinium capitatum,Spiny forms,Spiniferites spp.,Spiniferites ramosus,Spiniferites mirabilis,Selenopemphix quanta,Selenopemphix nephroides,Quinquecuspis concreta,Protoperidinium americanum,Polykrikos schwartzii,Operculodinium centrocarpum,Nematosphaeropsis labyrinthea,Melitasphaeridium choanophorum,Lingulodinium machaerophorum,Brigantedinium spp.,Spiniferites membranaceus,Spiniferites hyperacanthus,Scrippsiella spp.,Peridinium faeroense,Impagidinium aculeatum,Spiniferites pachyderma,Dubridinium caperatum,Votadinium spinosum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 679,D,  1,H, 1,  25.00,      0.2500,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,                          ,F          ,                 ,R                   ,R                     ,                    ,                        ,R                     ,F                         ,                     ,R                          ,R                            ,                              ,                            ,A                  ,                         ,                          ,R                ,                    ,R                     ,                       ,R                    ,R                  ,unidentified forms=R from ODP Leg 112 SR Chapter 17 Table 6 p 305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 679,D,  1,H, 1,  73.00,      0.7300,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,                          ,R          ,F                ,A                   ,R                     ,R                   ,                        ,R                     ,R                         ,                     ,                           ,F                            ,                              ,                            ,A                  ,R                        ,R                         ,                 ,                    ,                      ,                       ,R                    ,                   ,unidentified forms=R from ODP Leg 112 SR Chapter 17 Table 6 p 305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 679,D,  1,H, 2, 131.00,      2.8100,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,R                         ,R          ,R                ,F                   ,                      ,F                   ,                        ,R                     ,                          ,                     ,                           ,R                            ,                              ,                            ,A                  ,                         ,R                         ,R                ,                    ,                      ,R                      ,R                    ,                   ,unidentified forms=R from ODP Leg 112 SR Chapter 17 Table 6 p 305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 679,D,  1,H, 4,  88.00,      5.3800,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                 ,                          ,F          ,R                ,F                   ,R                     ,R                   ,                        ,R                     ,                          ,                     ,F                          ,                             ,                              ,                            ,A                  ,                         ,R                         ,R                ,F                   ,                      ,F                      ,R                    ,                   ,from ODP Leg 112 SR Chapter 17 Table 6 p 305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 679,D,  2,H, 2,  48.00,      9.8800,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                 ,F                         ,R          ,F                ,A                   ,F                     ,F                   ,                        ,R                     ,                          ,                     ,                           ,R                            ,                              ,                            ,A                  ,R                        ,R                         ,                 ,                    ,R                     ,                       ,                     ,                   ,unidentified forms=F from ODP Leg 112 SR Chapter 17 Table 6 p 305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 679,D,  5,H, 2, 111.00,     39.0100,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                 ,R                         ,R          ,R                ,A                   ,                      ,A                   ,                        ,R                     ,R                         ,                     ,                           ,                             ,                              ,                            ,A                  ,R                        ,R                         ,C                ,R                   ,                      ,                       ,                     ,                   ,unidentified forms=R from ODP Leg 112 SR Chapter 17 Table 6 p 305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,112, 679,D,  9,H, 1,  59.00,     74.9900,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,F                         ,R          ,R                ,C                   ,R                     ,F                   ,R                       ,R                     ,R                         ,R                    ,R                          ,R                            ,R                             ,R                           ,A                  ,                         ,                          ,                 ,                    ,                      ,                       ,                     ,                   ,unidentified forms=F from ODP Leg 112 SR Chapter 17 Table 6 p 305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
