Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sponge spicules,Coscinodiscus spp.,Distephanosira architecturalis,Stephanopyxis turris,Pyxilla fragments,Hemiaulus spp.,Coscinodiscus oculus-iridis,Arachnoidiscus oamaruensis,Silicoflagellate tests,Paralia sulcata var. crenulata,Triceratium spp.,Chaetoceros spp. (resting spores),Xanthiopyxis spp.,Actinoptychus senarius,Sceptroneis spp.,Cocconeis spp.,Podosira spp.,Triceratium pulvinar,Triceratium morlandii,Synedra jouseana,Rossiella spp.,Rocella vigilans,Rocella gelida  var. schraderi,Rocella gelida,Coscinodiscus rhombicus,Asteromphalus spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  1,R,CC,  15.00,    250.2700,diatoms  ,Diatoms                                      ,A              ,G                 ,A              ,D                 ,C                             ,C                   ,                 ,              ,R                          ,R                         ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,             ,C                   ,                     ,A               ,C             ,C               ,A                             ,A             ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  2,R,CC,  17.00,    260.6800,diatoms  ,Diatoms                                      ,A              ,G                 ,A              ,C                 ,C                             ,C                   ,                 ,              ,                           ,                          ,A                     ,R                             ,                ,                                 ,                 ,                      ,                ,              ,             ,                    ,                     ,A               ,R             ,F               ,A                             ,A             ,R                      ,A                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  3,R,CC,  14.00,    271.3400,diatoms  ,Diatoms                                      ,C              ,M                 ,A              ,C                 ,C                             ,C                   ,C                ,C             ,F                          ,R                         ,F                     ,C                             ,F               ,C                                ,A                ,C                     ,F               ,              ,A            ,R                   ,                     ,+               ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  4,R,CC,  15.00,    280.5900,diatoms  ,Diatoms                                      ,C              ,P                 ,A              ,R                 ,A                             ,A                   ,                 ,              ,                           ,R                         ,F                     ,A                             ,                ,                                 ,C                ,                      ,                ,              ,A            ,R                   ,R                    ,                ,              ,                ,                              ,              ,                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  5,R,CC,  15.00,    287.5300,diatoms  ,Diatoms                                      ,R              ,P                 ,T              ,R                 ,R                             ,R                   ,R                ,              ,R                          ,                          ,                      ,                              ,                ,                                 ,                 ,                      ,                ,              ,R            ,                    ,                     ,                ,              ,                ,                              ,              ,                       ,                  ,       
