Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Krithe spp.,Henryhowella? reticulata,Cytherella spp.,Bradleya gr. johnsoni,Bairdioidea (inspecified taxon or taxa),Argillocea? sp.,Actinocythereis orientalis,Poseidonamicus? sp.,Bradleya ossa,Abyssocypris sp.,Rockallia sp.,Pelecocythere sp.,Macrocypris? sp.,Bythoceratina sp.,Henryhowella sp.,Cytheropteron spp.,Actinocythereis orientalis orientalis,Bythocythere sp.,Bradleya cf. B. thomasi,Bradleya sp.,Xestoleberis sp.,Parakrithe sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  2,H, 2,  67.00,      6.5700,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,+              ,                     ,                                       ,               ,                          ,                   ,             ,                ,+            ,                 ,                ,                 ,+               ,                  ,                                     ,                ,                       ,            ,                ,+             ,questionable identity of Henryhowella? sp.;  from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  2,H, 5,  67.00,     11.0700,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,+                                      ,               ,+                         ,                   ,             ,                ,             ,+                ,                ,                 ,                ,                  ,                                     ,                ,+                      ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  3,H, 2,  21.00,     15.6100,Guernet  ,Ostracodes                                   ,               ,                  ,           ,                        ,               ,+                    ,+                                      ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,+               ,              ,questionable identity of B.gr. Johnsoni;  from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  3,H, 5,  22.00,     20.1200,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,                          ,                   ,             ,                ,+            ,+                ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 762,B,  4,H, 2,  88.00,     25.7800,Guernet  ,Ostracodes                                   ,               ,                  ,+          ,                        ,               ,                     ,                                       ,               ,                          ,                   ,             ,                ,             ,                 ,                ,                 ,                ,                  ,                                     ,                ,                       ,            ,                ,              ,from ODP Leg 122 SR Chapter 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
