Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Thoracosphaera saxea,Sphenolithus moriformis,Reticulofenestra umbilica,Pontosphaera versa,Pontosphaera multipora,Pontosphaera enormis,Lanternithus minutus,Isthmolithus recurvus,Helicosphaera intermedia,Helicosphaera compacta,Ericsonia formosa,Discoaster tanii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus eopelagicus,Braarudosphaera bigelowii,Blackites spinosus/B. tenuis,Blackites spinosus,Helicosphaera reticulata,Discoaster barbadiensis,Chiasmolithus oamaruensis,Bramletteius serraculoides,Sphenolithus predistentus,Scyphosphaera apsteinii,Rhabdosphaera vitrea,Peritrachelina joidesa,Helicosphaera euphratis,Ericsonia subdisticha,Braarudosphaera discula,Braarudosphaera (unspecified taxon or taxa),Chiasmolithus altus,Sphenolithus pseudoradians,Scyphosphaera expansa,Discoaster saipanensis,Discoaster nodifer,Coronocyclus nitescens,Thoracosphaera sp. A,Thoracosphaera prolata,Helicosphaera perch-nielseniae,Dictyococcites callidus,Triquetrorhabdulus carinatus,Sphenolithus distentus,Discoaster variabilis,Calcidiscus protoannulus,Sphenolithus ciperoensis,Sphenolithus dissimilis,Scyphosphaera conica,Hayaster perplexus,Sphenolithus grandis,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Umbilicosphaera sibogae,Micrantholithus pinguis,Calcidiscus leptoporus,Sphenolithus belemnos,Discoaster druggii,Pontosphaera sp. B,Sphenolithus heteromorphus,Scyphosphaera piriformis,Helicosphaera carteri,Reticulofenestra pseudoumbilica,Helicosphaera granulata,Discoaster signus,Discoaster exilis,Scyphosphaera pulcherrima,Helicosphaera obliqua,Triquetrorhabdulus rugosus,Scyphosphaera recurvata,Scyphosphaera cylindrica,Scyphosphaera recta,Scyphosphaera intermedia,Discoaster kugleri,Discoaster braarudii,Scyphosphaera tubifera,Scyphosphaera ampla,Discoaster neohamatus,Discoaster hamatus,Discoaster brouweri,Catinaster coalitus,Catinaster calyculus,Scyphosphaera procera,Scyphosphaera lagena,Scyphosphaera globulosa,Scyphosphaera deflandrei,Scyphosphaera campanula,Scyphosphaera amphora,Discoaster calcaris,Sphenolithus abies/neoabies,Discoaster quinqueramus,Amaurolithus primus,Discoaster surculus,Discoaster pentaradiatus,Discoaster challengeri,Scyphosphaera penna,Reticulofenestra haqii/R. minutula/R. minuta,Discoaster decorus,Amaurolithus delicatus,Amaurolithus amplificus,Discoaster blackstockae,Scyphosphaera globulata,Scyphosphaera aranta,Pontosphaera spp.,Amaurolithus tricorniculatus,Rhabdosphaera procera,Ceratolithus acutus,Amaurolithus bizarrus,Scyphosphaera oremesa,Scyphosphaera ventriosa,Ceratolithus rugosus,Scyphosphaera canescens,Scyphosphaera apsteinii  dilatata,Thoracosphaera operculata,Scyphosphaera kamptneri,Scyphosphaera porosa,Discoaster asymmetricus,Ceratolithus armatus,Pseudoemiliania lacunosa,Discoaster tamalis,Scapholithus fossilis,Calcidiscus macintyrei,Rhabdosphaera clavigera,Discosphaera tubifera,Scyphosphaera turris,Scyphosphaera gladstonensis,Rhabdosphaera longistylis,Syracosphaera sp.,Ceratolithus cristatus,Scyphosphaera pacifica,Pontosphaera discopora,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Helicosphaera wallichii,Scyphosphaera abelei,Emiliania huxleyi,Cruciplacolithus tenuis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,NN21          ,122, 762,B,  1,H, 1, 110.00,      1.1000,Siesser  ,Nannofossils                                 ,               ,                  ,                       ,R                   ,                       ,                         ,                  ,                      ,                    ,                    ,                     ,                        ,                      ,                 ,                ,                     ,                       ,                           ,                     ,                       ,                         ,                            ,                  ,                        ,                       ,                         ,                          ,                         ,                       ,                    ,                      ,                       ,                     ,                       ,                                           ,                   ,                          ,                     ,                      ,                  ,                      ,                    ,                      ,                              ,                       ,                            ,                      ,                     ,                        ,                        ,                       ,                    ,                  ,                    ,                          ,                              ,                       ,                       ,F                     ,                     ,                  ,                  ,                          ,                        ,C                    ,                               ,                       ,                 ,                 ,                         ,                     ,                          ,                       ,                        ,                   ,                        ,                  ,                    ,R                     ,                   ,                     ,                  ,R                  ,                   ,                    ,R                    ,                    ,                       ,                        ,                       ,                     ,                   ,                           ,                       ,                   ,                   ,VR                      ,                      ,                   ,C                                           ,                  ,                      ,                       ,                       ,                       ,                    ,R                ,                            ,                     ,                   ,                     ,                     ,                       ,                    ,                       ,                                 ,                         ,                       ,                    ,                       ,                    ,                        ,                  ,F                    ,VR                    ,F                      ,                     ,                    ,                           ,F                        ,                 ,R                     ,                      ,                      ,A                        ,A                    ,R                      ,                    ,A                ,R                      ,from ODP Leg 122 SR Chapter 36 Table 3 p 604-607 & Fig 4 p 620
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,NN21          ,122, 762,B,  1,H, 2, 110.00,      2.6000,Siesser  ,Nannofossils                                 ,               ,                  ,                       ,                    ,                       ,                         ,                  ,                      ,                    ,                    ,                     ,                        ,                      ,                 ,                ,                     ,                       ,                           ,                     ,                       ,                         ,                            ,                  ,                        ,                       ,                         ,                          ,                         ,                       ,                    ,                      ,                       ,                     ,                       ,                                           ,                   ,                          ,                     ,                      ,                  ,                      ,                    ,                      ,                              ,                       ,                            ,                      ,                     ,                        ,                        ,                       ,                    ,                  ,                    ,                          ,                              ,                       ,                       ,F                     ,                     ,                  ,                  ,                          ,                        ,F                    ,                               ,                       ,                 ,                 ,                         ,                     ,                          ,                       ,                        ,                   ,                        ,                  ,                    ,                      ,                   ,                     ,                  ,                   ,                   ,                    ,                     ,                    ,                       ,                        ,                       ,                     ,                   ,                           ,                       ,                   ,                   ,                        ,                      ,                   ,C                                           ,                  ,                      ,                       ,                       ,                       ,                    ,                 ,                            ,                     ,                   ,                     ,                     ,                       ,                    ,                       ,                                 ,                         ,                       ,                    ,                       ,                    ,                        ,                  ,R                    ,R                     ,R                      ,                     ,                    ,                           ,R                        ,                 ,R                     ,                      ,                      ,A                        ,A                    ,R                      ,                    ,R                ,                       ,from ODP Leg 122 SR Chapter 36 Table 3 p 604-607 & Fig 4 p 620
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,NN21          ,122, 762,B,  1,H, 3, 110.00,      4.1000,Siesser  ,Nannofossils                                 ,               ,                  ,                       ,                    ,                       ,                         ,                  ,                      ,                    ,                    ,                     ,                        ,                      ,                 ,                ,                     ,                       ,                           ,                     ,                       ,                         ,                            ,                  ,                        ,                       ,                         ,                          ,                         ,R                      ,                    ,                      ,                       ,                     ,                       ,                                           ,                   ,                          ,                     ,                      ,                  ,                      ,                    ,                      ,                              ,                       ,                            ,                      ,                     ,                        ,                        ,                       ,                    ,                  ,                    ,                          ,                              ,                       ,                       ,F                     ,                     ,                  ,                  ,                          ,                        ,F                    ,                               ,                       ,                 ,                 ,                         ,                     ,                          ,                       ,                        ,                   ,                        ,                  ,                    ,                      ,                   ,                     ,                  ,                   ,                   ,                    ,                     ,                    ,                       ,                        ,                       ,                     ,                   ,                           ,                       ,                   ,                   ,                        ,                      ,                   ,C                                           ,                  ,                      ,                       ,                       ,                       ,                    ,                 ,                            ,                     ,                   ,                     ,                     ,                       ,                    ,                       ,                                 ,                         ,                       ,VR                  ,                       ,                    ,                        ,                  ,F                    ,R                     ,                       ,                     ,                    ,                           ,R                        ,R                ,R                     ,                      ,                      ,A                        ,A                    ,R                      ,                    ,                 ,                       ,from ODP Leg 122 SR Chapter 36 Table 3 p 604-607 & Fig 4 p 620
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,NN21          ,122, 762,B,  1,H,CC,  10.00,      4.3700,Siesser  ,Nannofossils                                 ,               ,                  ,                       ,R                   ,                       ,                         ,                  ,                      ,                    ,                    ,                     ,                        ,                      ,                 ,                ,                     ,                       ,                           ,                     ,                       ,                         ,                            ,                  ,                        ,                       ,                         ,                          ,                         ,                       ,                    ,                      ,                       ,                     ,                       ,                                           ,                   ,                          ,                     ,                      ,                  ,                      ,                    ,                      ,                              ,                       ,                            ,                      ,                     ,                        ,                        ,                       ,                    ,                  ,                    ,                          ,                              ,                       ,                       ,F                     ,                     ,                  ,                  ,                          ,                        ,F                    ,                               ,                       ,                 ,                 ,                         ,                     ,                          ,                       ,                        ,                   ,                        ,                  ,                    ,                      ,                   ,                     ,                  ,                   ,                   ,                    ,                     ,                    ,                       ,                        ,                       ,                     ,                   ,                           ,                       ,                   ,                   ,                        ,                      ,                   ,F                                           ,                  ,                      ,                       ,                       ,                       ,                    ,                 ,                            ,                     ,                   ,                     ,                     ,                       ,                    ,                       ,                                 ,                         ,                       ,                    ,                       ,                    ,R                       ,                  ,F                    ,R                     ,                       ,                     ,                    ,                           ,                         ,                 ,R                     ,                      ,                      ,A                        ,A                    ,R                      ,                    ,                 ,                       ,from ODP Leg 122 SR Chapter 36 Table 3 p 604-607 & Fig 4 p 620
