genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
Sphenolithus,255390,Sphenolithus,genus
Cyclicargolithus,366219,Cyclicargolithus,genus
Pyrgupyxis,,,
Nonionella,1956,Nonionella,genus
Theophormis,683,Theophormis,genus
Hemiaulus,71255,Hemiaulus,genus
Cerobertina,1078,Cerobertina,genus
Cyclotella,82154,Cyclotella,genus
Francesita,1452,Francesita,genus
Hastigerina,1587,Hastigerina,genus
Pterycorys,,,
Loxostomum,1795,Loxostomum,genus
Marginulinopsis,1812,Marginulinopsis,genus
Paralia,71263,Paralia,genus
Calocyclas,446,Calocyclas,genus
Ranunculaceae,55402,Ranunculaceae,family
Laevigatosporites,250523,Laevigatosporites,genus
Frondicularia,1454,Frondicularia,genus
Thalassiosira,82177,Thalassiosira,genus
Chiastozygus,87867,Chiastozygus,genus
Plectofrondicularia,2154,Plectofrondicularia,genus
Anthocyrtidium,417,Anthocyrtidium,genus
Cambretaceae,,,
Cytheropteron,24031,Cytheropteron,genus
Truncorotaloides,2729,Truncorotaloides,genus
Lygodium,54565,Lygodium,genus
Pentadinium,412407,Pentadinium,genus
Stainforthia,2606,Stainforthia,genus
Cyclococcolithina,,,
Eribotrys,511,Eribotrys,genus
Lithopilium,,,
Candiena,,,
Siphogenerina,2538,Siphogenerina,genus
Deflandrius,87711,Deflandrius,genus
Arachnocorys,85717,Arachnocorys,genus
Cyrtophormis,,,
Mediaria,82164,Mediaria,genus
Polycolpites,277160,Polycolpites,genus
Podocyrtis,613,Podocyrtis,genus
Spiniferites,264663,Spiniferites,genus
Hypericum,345975,Hypericum,genus
Anomalina,86769,Anomalina,genus
Actiniscus,434218,Actiniscus,genus
Baculatisporites,252529,Baculatisporites,genus
Florilus,82212,Florilus,genus
Podosira,71264,Podosira,genus
Botryocella,437,Botryocella,genus
Dictyococcites,255393,Dictyococcites,genus
Neocrepidolithus,87865,Neocrepidolithus,genus
Arachnodiscus,,,
Pyrulinoides,2337,Pyrulinoides,genus
Hystrichokolpoma,323245,Hystrichokolpoma,genus
Valvulineria,2771,Valvulineria,genus
Phyllocladidites,251907,Phyllocladidites,genus
Mesocena,82181,Mesocena,genus
Bulimina,1032,Bulimina,genus
Stylotrochus,6906,Stylotrochus,genus
Ammodochium,436068,Ammodochium,genus
Zygocircus,714,Zygocircus,genus
Siphonosphaera,298,Siphonosphaera,genus
Zygodiscus,87678,Zygodiscus,genus
Coccolithis,,,
Eunotia,433419,Eunotia,genus
Carpenteria,383509,Carpenteria,genus
Globigerinita,1503,Globigerinita,genus
Paramesocena,,,
Liriogramma,,,
Lithamphora,,,
Luehea,,,
Cymatiosphaera,170215,Cymatiosphaera,genus
Globorotaloides,1523,Globorotaloides,genus
Cecryphalium,85908,Cecryphalium,genus
Bairdia,23919,Bairdia,genus
Marthasterites,87728,Marthasterites,genus
Thalassiothrix,82178,Thalassiothrix,genus
Cosmiodiscus,82152,Cosmiodiscus,genus
Rhabdothorax,,,
Archaeodictyomitra,421,Archaeodictyomitra,genus
Theocamptra,,,
Chiloguembelina,1091,Chiloguembelina,genus
Dicolpopollis,308624,Dicolpopollis,genus
Mastogloia,,,
Ehrenbergina,1327,Ehrenbergina,genus
Giraffospyris,523,Giraffospyris,genus
Staurodictya,335,Staurodictya,genus
Recurvoides,2389,Recurvoides,genus
Rhabdolithus,87679,Rhabdolithus,genus
Macrora,82163,Macrora,genus
Craspedodiscus,14728,Craspedodiscus,genus
Cannartus,50,Cannartus,genus
Operculodinium,264651,Operculodinium,genus
Eucampia,387078,Eucampia,genus
Rzehakina,2448,Rzehakina,genus
Siphotextularia,2550,Siphotextularia,genus
Artostrobium,427,Artostrobium,genus
Catinaster,319905,Catinaster,genus
Vaginulina,2762,Vaginulina,genus
Ceratobulimina,1075,Ceratobulimina,genus
Foliatiniscus,,,
Hexapyle,84813,Hexapyle,genus
Rhabdammina,2410,Rhabdammina,genus
Turborotalita,2740,Turborotalita,genus
Ommatartus,207,Ommatartus,genus
Asteromphalus,82148,Asteromphalus,genus
Stylodictya,349,Stylodictya,genus
Navicula,61324,Navicula,genus
Dicksonia,277341,Dicksonia,genus
Hastigerinella,1588,Hastigerinella,genus
Parhabdolithus,87852,Parhabdolithus,genus
Stylosphaera,350,Stylosphaera,genus
Tetralithus,87692,Tetralithus,genus
Heterolepa,1621,Heterolepa,genus
Cepekiella,,,
Textularia,2661,Textularia,genus
Carduifolia,,,
Pteriptera,,,
Stichopodium,,,
Gondwanaria,432661,Gondwanaria,genus
Dictyocoryne,99,Dictyocoryne,genus
Gomphonema,433679,Gomphonema,genus
