verbatim_name,taxon_group,genus name,simplified_name,species name,subspecies name,_merge_approved
Reticulofenestra minutulus (q),nannofossils,Reticulofenestra,Reticulofenestra minutulus,minutulus,,left_only
Theocotyle alpha,radiolarians,Theocotyle,Theocotyle alpha,alpha,,left_only
Coscinodiscus kuetzingii,diatoms,Coscinodiscus,Coscinodiscus kuetzingii,kuetzingii,,left_only
Fragilaria hirosakiensis,diatoms,Fragilaria,Fragilaria hirosakiensis,hirosakiensis,,left_only
Globorotalia truncatulinoides (sin),planktic_forams,Globorotalia,Globorotalia truncatulinoides,truncatulinoides,,both
Bachmannocena apiculata inflata,silicoflagellates,Bachmannocena,Bachmannocena apiculata inflata,apiculata,inflata,left_only
Globotruncana conica,planktic_forams,Globotruncana,Globotruncana conica,conica,,left_only
Ceratolithus atlanticus,nannofossils,Ceratolithus,Ceratolithus atlanticus,atlanticus,,both
Sphenolithus dissimilis,nannofossils,Sphenolithus,Sphenolithus dissimilis,dissimilis,,both
Globorotalia continuosa,planktic_forams,Globorotalia,Globorotalia continuosa,continuosa,,both
Fissurina laevigata,benthic_forams,Fissurina,Fissurina laevigata,laevigata,,left_only
Coscinodiscus elongatus,diatoms,Coscinodiscus,Coscinodiscus elongatus,elongatus,,left_only
Bolivina marginata,benthic_forams,Bolivina,Bolivina marginata,marginata,,left_only
Micrantholithus flos,nannofossils,Micrantholithus,Micrantholithus flos,flos,,both
Rhabdolithus vitrea,nannofossils,Rhabdolithus,Rhabdolithus vitrea,vitrea,,left_only
Elphidium magellanicum,benthic_forams,Elphidium,Elphidium magellanicum,magellanicum,,both
Spongomelissa sp.,radiolarians,Spongomelissa,Spongomelissa sp.,sp.,,left_only
Thalassocythere acanthoderma,ostracods,Thalassocythere,Thalassocythere acanthoderma,acanthoderma,,left_only
Nummulites burdigalensis minor,benthic_forams,Nummulites,Nummulites burdigalensis minor,burdigalensis,minor,left_only
Bolivina acuminata,benthic_forams,Bolivina,Bolivina acuminata,acuminata,,left_only
Artostrobus sp.,radiolarians,Artostrobus,Artostrobus sp.,sp.,,left_only
Globigerinita dissimilis dissimilis,planktic_forams,Globigerinita,Globigerinita dissimilis dissimilis,dissimilis,dissimilis,left_only
Stylosphaera goruna,radiolarians,Stylosphaera,Stylosphaera goruna,goruna,,left_only
Globorotalia fohsi,planktic_forams,Globorotalia,Globorotalia fohsi,fohsi,,left_only
Neococcolithes protenus (q),nannofossils,Neococcolithes,Neococcolithes protenus,protenus,,both
Operculina sp.,benthic_forams,Operculina,Operculina sp.,sp.,,both
Eucyrtidium hexastichum,radiolarians,Eucyrtidium,Eucyrtidium hexastichum,hexastichum,,left_only
Lithodesmium minusculum (q),diatoms,Lithodesmium,Lithodesmium minusculum,minusculum,,left_only
Myrtaceidites mesonesus (q),pollen,Myrtaceidites,Myrtaceidites mesonesus,mesonesus,,left_only
Tricolpites alveolatus,pollen,Tricolpites,Tricolpites alveolatus,alveolatus,,left_only
Globoquadrina humerosa,planktic_forams,Globoquadrina,Globoquadrina humerosa,humerosa,,left_only
Entapium chaenapium,radiolarians,Entapium,Entapium chaenapium,chaenapium,,left_only
Campylosphaera sp.,nannofossils,Campylosphaera,Campylosphaera sp.,sp.,,left_only
Lychnocanium grande (q),radiolarians,Lychnocanium,Lychnocanium grande,grande,,both
Globorotalia akersi,planktic_forams,Globorotalia,Globorotalia akersi,akersi,,left_only
Rosalina columbiensis,benthic_forams,Rosalina,Rosalina columbiensis,columbiensis,,left_only
Acrosphaera murrayana,radiolarians,Acrosphaera,Acrosphaera murrayana,murrayana,,both
Tholospyris anthopora,radiolarians,Tholospyris,Tholospyris anthopora,anthopora,,left_only
Globorotalia topilensis,planktic_forams,Globorotalia,Globorotalia topilensis,topilensis,,left_only
Globorotalia praefohsi,planktic_forams,Globorotalia,Globorotalia praefohsi,praefohsi,,left_only
Dictyocha fibula formicata,silicoflagellates,Dictyocha,Dictyocha fibula formicata,fibula,formicata,left_only
Ericsonia fenestra (small),nannofossils,Ericsonia,Ericsonia fenestra,fenestra,,left_only
Neomonoceratina microreticulata,ostracods,Neomonoceratina,Neomonoceratina microreticulata,microreticulata,,left_only
Epistominella obesa (q),benthic_forams,Epistominella,Epistominella obesa,obesa,,left_only
Abutilon sp. (q),pollen,Abutilon,Abutilon sp.,sp.,,left_only
Siphotextularia catenata,benthic_forams,Siphotextularia,Siphotextularia catenata,catenata,,left_only
Micrhystridium sp.,dinoflagellates,Micrhystridium,Micrhystridium sp.,sp.,,left_only
Plectofrondicularia vaughni,benthic_forams,Plectofrondicularia,Plectofrondicularia vaughni,vaughni,,both
Globorotalia tadjikistanensis,planktic_forams,Globorotalia,Globorotalia tadjikistanensis,tadjikistanensis,,left_only
Zygocircus productus,radiolarians,Zygocircus,Zygocircus productus,productus,,both
Lithomesites nodosum,phytoliths,Lithomesites,Lithomesites nodosum,nodosum,,left_only
Spongoplegma sp.,radiolarians,Spongoplegma,Spongoplegma sp.,sp.,,both
Sphaeroidinellopsis disjuncta,planktic_forams,Sphaeroidinellopsis,Sphaeroidinellopsis disjuncta,disjuncta,,both
Nitzschia granulata hispanica,diatoms,Nitzschia,Nitzschia granulata hispanica,granulata,hispanica,left_only
Tholospyris tripodiscus,radiolarians,Tholospyris,Tholospyris tripodiscus,tripodiscus,,left_only
Huttonia punctata,diatoms,Huttonia,Huttonia punctata,punctata,,left_only
Triquetrorhabdulus striatus,nannofossils,Triquetrorhabdulus,Triquetrorhabdulus striatus,striatus,,both
Nitzschia miocenica,diatoms,Nitzschia,Nitzschia miocenica,miocenica,,both
Globigerina ciperoensis ciperoensis (q),planktic_forams,Globigerina,Globigerina ciperoensis ciperoensis,ciperoensis,ciperoensis,left_only
Nannotetrina swasticoides,nannofossils,Nannotetrina,Nannotetrina swasticoides,swasticoides,,left_only
Tricolocapsa papillosa,radiolarians,Tricolocapsa,Tricolocapsa papillosa,papillosa,,left_only
Globigerina ciperoensis angustiumbilicata,planktic_forams,Globigerina,Globigerina ciperoensis angustiumbilicata,ciperoensis,angustiumbilicata,left_only
Disolenia zanguebarica,radiolarians,Disolenia,Disolenia zanguebarica,zanguebarica,,left_only
Bachmannocena apiculata inflata (q),silicoflagellates,Bachmannocena,Bachmannocena apiculata inflata,apiculata,inflata,left_only
Globigerinoides primitiva (q),planktic_forams,Globigerinoides,Globigerinoides primitiva,primitiva,,left_only
Micromarsupium sp. (q),ebridians,Micromarsupium,Micromarsupium sp.,sp.,,left_only
Baggina dominicana,benthic_forams,Baggina,Baggina dominicana,dominicana,,left_only
