verbatim_name,taxon_group,genus name,_simplified_name,species name,subspecies name,_merge_approved
Pseudotriceratium cinnamomeum,diatoms,Pseudotriceratium,Pseudotriceratium cinnamomeum,cinnamomeum,,both
Globigerinoides quadrilobatus,planktic_foraminfera,Globigerinoides,Globigerinoides quadrilobatus,quadrilobatus,,both
Lamptonium fabaeforme chaunothorax (q),radiolarians,Lamptonium,Lamptonium fabaeforme chaunothorax,fabaeforme,chaunothorax,both
Rucinolithus hayi (q),nannofossils,Rucinolithus,Rucinolithus hayi,hayi,,left_only
Melosira granulata curvata,diatoms,Melosira,Melosira granulata curvata,granulata,curvata,left_only
Dictyophyllidites sp.,pollen,Dictyophyllidites,Dictyophyllidites sp.,sp.,,left_only
Cassidulinella renulinoformis,benthic_foraminfera,Cassidulinella,Cassidulinella renulinoformis,renulinoformis,,left_only
Bulimina inflata,benthic_foraminfera,Bulimina,Bulimina inflata,inflata,,both
Conococcolithus minutus,nannofossils,Conococcolithus,Conococcolithus minutus,minutus,,left_only
Reticulofenestra gartneri,nannofossils,Reticulofenestra,Reticulofenestra gartneri,gartneri,,left_only
Pterocorys sabae,radiolarians,Pterocorys,Pterocorys sabae,sabae,,left_only
Helicopontosphaera ampliaperta,nannofossils,Helicopontosphaera,Helicopontosphaera ampliaperta,ampliaperta,,left_only
Hantkenina suprasuturalis,planktic_foraminfera,Hantkenina,Hantkenina suprasuturalis,suprasuturalis,,left_only
Lophophaena cylindrica,radiolarians,Lophophaena,Lophophaena cylindrica,cylindrica,,left_only
Pontosphaera syracusana,nannofossils,Pontosphaera,Pontosphaera syracusana,syracusana,,left_only
Ceratolithus amplificus,nannofossils,Ceratolithus,Ceratolithus amplificus,amplificus,,left_only
Lithochytris tripodium (q),radiolarians,Lithochytris,Lithochytris tripodium,tripodium,,left_only
Thalassiphora velata (q),dinoflagellates,Thalassiphora,Thalassiphora velata,velata,,left_only
Plagiacantha panarium,radiolarians,Plagiacantha,Plagiacantha panarium,panarium,,left_only
Gephyrocapsa ericsonia,nannofossils,Gephyrocapsa,Gephyrocapsa ericsonia,ericsonia,,left_only
Reticulofenestra umbilica,nannofossils,Reticulofenestra,Reticulofenestra umbilica,umbilica,,left_only
Globigerina connecta,planktic_foraminfera,Globigerina,Globigerina connecta,connecta,,both
Gyroidina soldani,benthic_foraminfera,Gyroidina,Gyroidina soldani,soldani,,left_only
Engelhardtia sp.(q),pollen,Engelhardtia,Engelhardtia sp.,sp.,,left_only
Corbisema bimucronata rotatoria,silicoflagellates,Corbisema,Corbisema bimucronata rotatoria,bimucronata,rotatoria,left_only
Micrascidites vulgaris (tunicate),nannofossils,Micrascidites,Micrascidites vulgaris,vulgaris,,left_only
Discoaster nonaradiatus,nannofossils,Discoaster,Discoaster nonaradiatus,nonaradiatus,,left_only
Bolivina granti,benthic_foraminfera,Bolivina,Bolivina granti,granti,,left_only
Theoconus junonis,radiolarians,Theoconus,Theoconus junonis,junonis,,left_only
Siphocampe acephala,radiolarians,Siphocampe,Siphocampe acephala,acephala,,left_only
Miogypsinoides grandipustula,benthic_foraminfera,Miogypsinoides,Miogypsinoides grandipustula,grandipustula,,left_only
Distephanus longispinus (q),silicoflagellates,Distephanus,Distephanus longispinus,longispinus,,left_only
Cannopilus binoculus,silicoflagellates,Cannopilus,Cannopilus binoculus,binoculus,,left_only
Amphora coffeaeformis,diatoms,Amphora,Amphora coffeaeformis,coffeaeformis,,left_only
Leiotriletes microadriennis,pollen,Leiotriletes,Leiotriletes microadriennis,microadriennis,,left_only
Lamprocyclas margatensis,radiolarians,Lamprocyclas,Lamprocyclas margatensis,margatensis,,left_only
Globoquadrina galavisi,planktic_foraminfera,Globoquadrina,Globoquadrina galavisi,galavisi,,left_only
Biplanispira sp. (q),benthic_foraminfera,Biplanispira,Biplanispira sp.,sp.,,left_only
Ceratospyris sp.,radiolarians,Ceratospyris,Ceratospyris sp.,sp.,,left_only
Spiroclypeus vermicularis,benthic_foraminfera,Spiroclypeus,Spiroclypeus vermicularis,vermicularis,,left_only
Lagena vulgaris (q),benthic_foraminfera,Lagena,Lagena vulgaris,vulgaris,,left_only
Pleurostomella subcylindrica,benthic_foraminfera,Pleurostomella,Pleurostomella subcylindrica,subcylindrica,,left_only
Markalius astroporus (q),nannofossils,Markalius,Markalius astroporus,astroporus,,both
Areosphaeridium diktyoplokus (q),dinoflagellates,Areosphaeridium,Areosphaeridium diktyoplokus,diktyoplokus,,left_only
Operculina sp.,benthic_foraminfera,Operculina,Operculina sp.,sp.,,both
Stylacontarium bispiculum (q),radiolarians,Stylacontarium,Stylacontarium bispiculum,bispiculum,,left_only
Islandiella helenae,benthic_foraminfera,Islandiella,Islandiella helenae,helenae,,left_only
Nitzschia californica,diatoms,Nitzschia,Nitzschia californica,californica,,left_only
Oolina apiculata (q),benthic_foraminfera,Oolina,Oolina apiculata,apiculata,,left_only
Stilostomella adolphina,benthic_foraminfera,Stilostomella,Stilostomella adolphina,adolphina,,left_only
Corbisema bimucronata (q),silicoflagellates,Corbisema,Corbisema bimucronata,bimucronata,,left_only
Globigerinoides quadrilobatus quadrilobatus,planktic_foraminfera,Globigerinoides,Globigerinoides quadrilobatus quadrilobatus,quadrilobatus,quadrilobatus,left_only
Helicosphaera minuta,nannofossils,Helicosphaera,Helicosphaera minuta,minuta,,left_only
Pullenia quadriloba,benthic_foraminfera,Pullenia,Pullenia quadriloba,quadriloba,,left_only
Cribrosphaerella sp.,nannofossils,Cribrosphaerella,Cribrosphaerella sp.,sp.,,left_only
Denticula seminae,diatoms,Denticula,Denticula seminae,seminae,,left_only
Cibicidoides centralis,benthic_foraminfera,Cibicidoides,Cibicidoides centralis,centralis,,left_only
Tricolpites brevicolpus,pollen,Tricolpites,Tricolpites brevicolpus,brevicolpus,,left_only
Crucella sp.,radiolarians,Crucella,Crucella sp.,sp.,,left_only
Lenticulina subgaultina,benthic_foraminfera,Lenticulina,Lenticulina subgaultina,subgaultina,,left_only
Cocconeis scuttellum stauroneiformis,diatoms,Cocconeis,Cocconeis scuttellum stauroneiformis,scuttellum,stauroneiformis,left_only
Carpocanopsis cingulatum,radiolarians,Carpocanopsis,Carpocanopsis cingulatum,cingulatum,,left_only
Cassidulina angulosa,benthic_foraminfera,Cassidulina,Cassidulina angulosa,angulosa,,left_only
Epithemia argus,diatoms,Epithemia,Epithemia argus,argus,,both
Tholodiscus ocellatus,radiolarians,Tholodiscus,Tholodiscus ocellatus,ocellatus,,left_only
Anthocyrtella spatiosa,radiolarians,Anthocyrtella,Anthocyrtella spatiosa,spatiosa,,left_only
Theocorythium sp.(q),radiolarians,Theocorythium,Theocorythium sp.,sp.,,left_only
Epithemia turgida,diatoms,Epithemia,Epithemia turgida,turgida,,both
Rhizosolenia praebergonii robusta,diatoms,Rhizosolenia,Rhizosolenia praebergonii robusta,praebergonii,robusta,left_only
Corbisema triacantha (q),silicoflagellates,Corbisema,Corbisema triacantha,triacantha,,left_only
Chiasmolithus bidens,nannofossils,Chiasmolithus,Chiasmolithus bidens,bidens,,both
Melonis zaandami,benthic_foraminfera,Melonis,Melonis zaandami,zaandami,,left_only
Nitzschia suikoensis,diatoms,Nitzschia,Nitzschia suikoensis,suikoensis,,left_only
Dorcadospyris brevispina,radiolarians,Dorcadospyris,Dorcadospyris brevispina,brevispina,,left_only
Stephanopyxis hannai,diatoms,Stephanopyxis,Stephanopyxis hannai,hannai,,left_only
Globigerinoides obliqus (q),planktic_foraminfera,Globigerinoides,Globigerinoides obliqus,obliqus,,left_only
Eouvigerina sp.,benthic_foraminfera,Eouvigerina,Eouvigerina sp.,sp.,,both
Globigerina fringa (q),planktic_foraminfera,Globigerina,Globigerina fringa,fringa,,left_only
Pseudopyxilla dubia,diatoms,Pseudopyxilla,Pseudopyxilla dubia,dubia,,left_only
Spirillina vivipara,benthic_foraminfera,Spirillina,Spirillina vivipara,vivipara,,left_only
Triloculina sp. (q),benthic_foraminfera,Triloculina,Triloculina sp.,sp.,,both
Asterolampra hyalinas (q),diatoms,Asterolampra,Asterolampra hyalinas,hyalinas,,left_only
Ellipsoidella pleurostomelloides (q),benthic_foraminfera,Ellipsoidella,Ellipsoidella pleurostomelloides,pleurostomelloides,,left_only
Dictyocha pentagonus (q),silicoflagellates,Dictyocha,Dictyocha pentagonus,pentagonus,,left_only
Compositae (high-spined),pollen,Compositae,Compositae,,,left_only
Eucyrtidium indiensis,radiolarians,Eucyrtidium,Eucyrtidium indiensis,indiensis,,left_only
Deltoidospora delicata (q),pollen,Deltoidospora,Deltoidospora delicata,delicata,,left_only
Coscinodiscus vetustissimus (q),diatoms,Coscinodiscus,Coscinodiscus vetustissimus,vetustissimus,,left_only
Dictyophimus babylonis,radiolarians,Dictyophimus,Dictyophimus babylonis,babylonis,,left_only
Dentalina eocenica (q),benthic_foraminfera,Dentalina,Dentalina eocenica,eocenica,,left_only
Cenosphaera minuta,radiolarians,Cenosphaera,Cenosphaera minuta,minuta,,left_only
Globorotalia pusilla pusilla,planktic_foraminfera,Globorotalia,Globorotalia pusilla pusilla,pusilla,pusilla,left_only
