Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira inura	Thalassionema nitzschioides	Stephanopyxis turris	Paralia sulcata	Nitzschia weaveri	Nitzschia praeinterfrigidaria	Nitzschia interfrigidaria	Nitzschia barronii	Cosmiodiscus insignis	Eucampia antarctica	Actinocyclus ingens	Thalassiosira symbolophora	Thalassiosira lentiginosa var. obovatus	Rhizosolenia hebetata	Thalassiothrix longissima	Thalassiosira oestrupii	Nitzschia kerguelenis	Thalassiosira torokina	Hemidiscus karstenii	Thalassionema nitzschioides  var. parva	Rhizosolenia styliformis	Coscinodiscus vulnificus	Rouxia naviculoides	Rhizosolenia barboi	Nitzschia cylindrus	Asteromphalus (all generic taxa)	Comment



  SR	                 	                 	                  	              	119	 736	C	  2	R	 1	  58.00	    207.4800	Baldauf  	Diatoms                                      	A              	M                 	C                        	F                   	                   	F                          	                    	F              	                 	                             	                         	F                 	                     	                   	                   	F                         	                                       	                     	F                        	                       	F                    	                      	                    	                                       	                        	F                       	R                  	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  2	R	CC	   0.00	    209.8700	Baldauf  	Diatoms                                      	A              	M                 	C                        	                    	                   	A                          	                    	F              	                 	                             	                         	C                 	                     	F                  	R                  	                          	                                       	                     	F                        	R                      	A                    	                      	                    	                                       	                        	                        	R                  	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  4	R	CC	   0.00	    226.1800	Baldauf  	Diatoms                                      	A              	P                 	R                        	R                   	R                  	A                          	                    	F              	                 	                             	                         	F                 	                     	R                  	                   	R                         	                                       	                     	R                        	R                      	R                    	R                     	                    	                                       	R                       	R                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  5	R	CC	   0.00	    241.9200	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	R                  	A                          	R                   	               	                 	                             	R                        	R                 	R                    	                   	                   	R                         	                                       	                     	R                        	R                      	                     	                      	                    	                                       	                        	R                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  6	R	CC	   0.00	    245.4000	Baldauf  	Diatoms                                      	A              	M                 	R                        	R                   	R                  	A                          	R                   	R              	R                	                             	                         	R                 	R                    	                   	                   	                          	                                       	                     	R                        	R                      	                     	                      	                    	                                       	                        	R                       	                   	                   	                   	                                	from 119 SR Chapter 29 Table 4 page 560 -561.

  SR	                 	                 	                  	              	119	 736	C	  7	R	 2	  58.00	    257.0800	Baldauf  	Diatoms                                      	A              	M                 	F                        	R                   	F                  	F                          	F                   	F              	F                	                             	R                        	F                 	F                    	                   	                   	R                         	                                       	R                    	F                        	R                      	                     	                      	                    	                                       	R                       	R                       	F                  	                   	                   	R                               	from 119 SR Chapter 29 Table 4 page 560 -561.

