Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina acostaensis	Globorotalia plesiotumida	Globoturborotalita nepenthes	Globorotalia lenguaensis	Globoquadrina dehiscens	Sphaeroidinellopsis seminulina	Menardella miocenica	Dentoglobigerina altispira	Globorotalia pseudomiocenica	Truncorotalia tosaensis	Globigerinoides fistulosus	Truncorotalia truncatulinoides	Comment



  IR	                 	Pleistocene      	                  	Pt1a          	194	1192	A	  1	H	CC	  19.00	      9.5500	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	                       	                              	                    	                          	                            	R                      	                          	A                             	N22-N23. Up to base of N23.

  IR	                 	Pleistocene      	                  	Pt1a          	194	1192	A	  2	H	CC	  14.00	     14.4200	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	                       	                              	                    	                          	                            	R                      	                          	                              	N22-N23

  IR	                 	Late Pliocene    	PL6 - IndoPac     	PL3           	194	1192	A	  3	H	CC	  12.00	     28.6100	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	                       	                              	                    	                          	                            	R                      	F                         	                              	N21. No Gr. trunc.

  IR	                 	Late Pliocene    	PL6 - IndoPac     	PL3           	194	1192	A	  5	H	CC	  19.00	     38.6700	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	                       	                              	                    	                          	                            	R                      	F                         	                              	N21. No trunc.

  IR	                 	Late Pliocene    	PL6 - IndoPac     	PL3           	194	1192	A	  6	H	CC	  19.00	     48.9800	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	                       	                              	R                   	A                         	                            	R                      	                          	                              	N21. D.altispira FA

  IR	                 	Late Pliocene    	                  	              	194	1192	A	  7	H	CC	  18.00	     58.3800	planks   	Planktonic Foraminifers                      	A              	G                 	                            	F                        	                            	                        	                       	                              	                    	A                         	F                           	R                      	                          	                              	N21-N20

  IR	                 	Late Pliocene    	PL6 - IndoPac     	PL3           	194	1192	A	  8	H	CC	  16.00	     68.0300	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	                       	                              	R                   	A                         	R                           	                       	                          	                              	N20

  IR	Late Pliocene    	Early Pliocene   	PL3               	Pl1b          	194	1192	A	  9	H	 1	  80.00	     68.3000	planks   	Planktonic Foraminifers                      	C              	M                 	                            	                         	P                           	                        	                       	                              	                    	                          	                            	                       	                          	                              	N19

  IR	Late Pliocene    	Early Pliocene   	PL6 - IndoPac     	Pl1b          	194	1192	A	  9	H	CC	  15.00	     76.9900	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	                            	                        	                       	F                             	F                   	A                         	                            	                       	                          	                              	N19-N20? No Berggren ZF found.

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1192	A	 10	H	CC	  10.00	     86.6800	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                         	R                           	                        	                       	                              	                    	                          	                            	                       	                          	                              	N19

