Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,A,  1,H, 1,  20.00,      0.2000,paleo    ,Planktonic Foraminifers                      ,               ,                  ,+                          ,       
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,A,  1,H, 8,  17.00,      3.6700,paleo    ,Planktonic Foraminifers                      ,               ,                  ,+                          ,       
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,A,  1,H,CC,  11.00,      5.3300,paleo    ,Planktonic Foraminifers                      ,               ,                  ,P                          ,       
,,,,,,,,,,,,,,,,,,
