Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster binodosus,Reticulofenestra umbilica,Discoaster saipanensis,Dictyococcites bisectus,Coccolithus pelagicus,Thoracosphaera spp.,Sphenolithus radians,Discoaster barbadiensis,Dictyococcites scrippsae,Coccolithus eopelagicus,Chiasmolithus grandis,Sphenolithus obtusus,Ericsonia formosa,Discoaster tanii nodifer,Discoaster tanii,Sphenolithus moriformis,Sphenolithus predistentus,Coronocyclus nitescens,Reticulofenestra spp.,Cyclicargolithus floridanus,Sphenolithus distentus,Pedinocyclus larvalis,Helicosphaera reticulata,Helicosphaera compacta,Ericsonia subdisticha,Ericsonia obruta,Discoaster deflandrei,Bramletteius serraculoides,Helicosphaera recta,Helicosphaera euphratis,Cyclicargolithus abisectus,Sphenolithus pseudoradians,Triquetrorhabdulus carinatus,Lanternithus minutus,Sphenolithus ciperoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,124, 770,B, 11,R, 1,  70.00,    369.6000,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,                      ,R                      ,                     ,                   ,                    ,                       ,                        ,F                      ,                     ,                    ,                 ,                        ,                ,F                      ,R                        ,                      ,                     ,C                          ,                      ,                     ,                        ,                      ,                     ,                ,F                    ,                          ,R                  ,                       ,F                         ,                          ,                            ,                    ,R                       ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,124, 770,B, 11,R, 1,  80.00,    369.7000,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,VR                    ,F                      ,                     ,                   ,                    ,                       ,R                       ,R                      ,                     ,                    ,                 ,R                       ,R               ,R                      ,                         ,                      ,                     ,R                          ,                      ,                     ,                        ,                      ,                     ,                ,R                    ,                          ,                   ,                       ,F                         ,                          ,R                           ,R                   ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,124, 770,B, 13,R, 1, 114.00,    389.3400,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,                      ,VR                     ,R                    ,                   ,                    ,                       ,R                       ,F                      ,                     ,                    ,                 ,R                       ,F               ,F                      ,C                        ,                      ,                     ,A                          ,R                     ,                     ,                        ,                      ,                     ,                ,R                    ,                          ,                   ,                       ,VR                        ,R                         ,VR                          ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP23              ,NP24          ,124, 770,B, 13,R, 2,  40.00,    390.1000,Shyu     ,Nannofossils                                 ,               ,                  ,                    ,                         ,                      ,VR                     ,R                    ,                   ,                    ,                       ,F                       ,F                      ,                     ,                    ,                 ,R                       ,R               ,F                      ,C                        ,                      ,VR                   ,A                          ,R                     ,                     ,                        ,                      ,                     ,                ,R                    ,VR                        ,                   ,                       ,VR                        ,VR                        ,                            ,                    ,                        ,from ODP Leg 124 SR Chapter 10 Table 3 p 139
