Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pullenia spp.	Nuttallides umbonifera	Miliolids species	Eponides tumidulus	Epistominella exigua	Eggerella bradyi	Oridorsalis umbonatus	Gyroidinoides lamarckianus	Gyroidinoides laevigatus ex. gr.	Dentalina/Nodosaria spp.	Textularia taxa	Ammonia beccarii	Uvigerinid taxa	Pullenia bulloides	Melonis pompilioides	Laticarinina pauperata	Lagena taxa	Globocassidulina subglobosa	Pyrgo spp.	Planulina wuellerstorfi	Hoeglundina elegans	Reussella spinulosa	Nonionella spp.	Hyalina balthica	Gyroidinoides spp.	Cibicidoides bradyi	Buliminid taxa	Buliminella spp.	Bolivinid taxa	Melonis nicobarense	Cibicidoides spp.	Pleurostomella spp.	Lenticulina spp.	Rosalina globularis	Hanzawaia boueana	Fursenkoina spp.	Florilus boueanus	Cassidulina spp.	Stainforthia spp.	Gyroidinoides altiformis	Cibicidoides kullenbergi	Karreriella sp.	Anomalinoides spp.	Gyroidinoides umbonatus ex. gr.	Gyroidinoides neosoldanii	Sphaeroidina bulloides	Heterolepa spp.	Bolivinita quadrilatera	Comment
  SR	                 	                 	                  	              	116	 719	A	 16	X	 5	  68.00	    143.8800	Iaccarino	Benthic Foraminifers                         	               	                  	14           	219                   	                 	                  	38                  	13              	52                   	13                        	                                	                        	               	                	               	9                 	21                  	                      	13         	3                          	          	28                     	                   	                   	               	                	5                 	                   	              	                	              	6                  	2                	                   	2               	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 17	X	 3	 122.00	    150.9200	Iaccarino	Benthic Foraminifers                         	               	                  	             	16                    	                 	                  	2                   	1               	10                   	3                         	5                               	                        	               	                	               	1                 	2                   	                      	2          	                           	          	3                      	                   	                   	               	                	                  	                   	              	                	              	7                  	                 	                   	                	                   	                 	                	                 	                	                 	1                       	1                       	               	                  	                               	                         	1                     	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 17	X	 5	  87.00	    153.5700	Iaccarino	Benthic Foraminifers                         	               	                  	24           	158                   	                 	                  	21                  	12              	67                   	                          	19                              	                        	               	                	               	24                	8                   	1                     	9          	13                         	          	15                     	                   	                   	               	                	16                	5                  	              	                	              	11                 	6                	                   	                	                   	                 	                	                 	                	2                	                        	                        	               	                  	                               	2                        	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 17	X	 6	 136.00	    155.5600	Iaccarino	Benthic Foraminifers                         	               	                  	1            	3                     	                 	                  	3                   	                	1                    	                          	                                	                        	               	                	               	2                 	1                   	                      	2          	                           	          	                       	                   	                   	               	                	2                 	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 17	X	 7	  30.00	    156.0000	Iaccarino	Benthic Foraminifers                         	               	                  	             	20                    	                 	                  	4                   	                	2                    	                          	                                	1                       	               	                	               	4                 	3                   	                      	1          	7                          	7         	3                      	                   	                   	               	                	2                 	                   	              	                	              	3                  	2                	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 18	X	 5	 101.00	    163.2100	Iaccarino	Benthic Foraminifers                         	               	                  	             	35                    	                 	                  	6                   	1               	8                    	                          	6                               	5                       	               	                	               	8                 	4                   	1                     	2          	2                          	          	14                     	                   	                   	               	                	                  	1                  	              	                	              	4                  	                 	                   	                	                   	                 	                	                 	                	                 	2                       	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

